SRS,Clonal complex,Sequence type,O,H,eae,Ertapenem (ETP 0.064/0.05) Phenotype,Ampicillin (AMP 8) Ceftazidime (CAZ 1/2) Cefotaxime (CTX 0.25/0.5/1) Cefpirome (CPR 1) Cefoxitin (FOX 8) Temocillin (TEM 128) Phenotype,Gentamycin (GEN 2) Tobamycin (TOB 2) Amikacin (AMK 8) Streptomycin (STR 8/16) Phenotype,Ciprofloxacin (CIP 0.064/0.5) Nalidixic acid (NAL 16) Phenotype,Azithromycin (16) Phenotype,Trimethoprim (TMP 2 ) Phenotype,Tetracycline (TET 8) Phenotype,Sulphonamide (SUL 256) Phenotype,Chloramphenicol (CHL 8/16) Phenotype
SRR3241855,CC21,21,O26,H11,+,S,AMP8 (MIC - ≥64) ,STR8 intermediate,S,S,TMP2,S,SUL256,"CHL8,16"
SRR3578990,CC21,21,O26,H11,+,S,AMP8 (MIC - ≥64),S,S,S,S,S,S,"CHL8,16"
SRR7230346,CC21,21,O26,H11,+,S,AMP8 (MIC - ≥64),"STR8,16",S,S,S,S,SUL256,S
SRR3241986,CC21,21,O26,H11,+,S,AMP8 (MIC - ≥64),"STR8,16",S,S,S,S,SUL256,S
SRR4788079,CC504,504,O117,H7,-,S,AMP8 (MIC - ≥64),"STR8,16",S,S,TMP2,TET8,SUL256,S
SRR4897641,CC21,1732,O26,H11,+,S,AMP8 (MIC - ≥64,"STR8,16",S,S,S,S,SUL256,CHL8 Intermediate
SRR4787729,CC504,504,O117,H7,-,S,AMP8 (MIC - ≥64),"STR8,16",S,S,TMP2,TET8,SUL256,CHL8 Intermediate
SRR5023717,CC165,301,O80,H2,21,S,AMP8,"STR8,16",CIP0.064,S,TMP2,TET8,SUL256,S
SRR3240964,CC165,301,O80,H2,+,S,AMP8,"GEN2. TOB2. STR8,16",CIP0.064,S,TMP2 (repeat same) MIC - ≥32,TET8,SUL256,"CHL8,16"
SRR5023728,CC504,504,O117,H7,-,S,AMP8,"STR8,16",CIP0.064,S,TMP2,TET8,SUL256,CHL8 Intermediate
SRR7286517,CC25,25,O128ac,H2,-,S,AMP8,"STR8,16",S,1-2 mg/L,TMP2,TET8,SUL256,S
SRR3241981,CC17,386,O103,H2,+,S,AMP8,"STR8,16",S,S,S,TET8,SUL256,CHL8 Intermediate
SRR5023699,CC504,504,O117,H7,-,S,AMP8,"STR8,16",CIP0.064,S,TMP2,TET8,SUL256,CHL8 Intermediate
SRR3240984,CC17,17,O103,H2,+,S,AMP8,"STR8,16",S,S,TMP2,TET8,SUL256,S
SRR5023784,CC504,504,O117,H7,-,S,AMP8,"STR8,16",S,S,S,TET8,SUL256,CHL8 Intermediate
SRR5023771,CC33,33,O91,H14,-,S,AMP8,"STR8,16",S,S,TMP2,S,SUL256 (repeat same)  MIC ≥1024,S
SRR6008944,CC504,504,O117,H7,-,S,AMP8,"STR8,16",S,S,S,TET8,SUL256,S
SRR7184325,CC504,504,O117,H7,-,S,AMP8,"STR8,16",S,S,TMP2 (repeat same) MIC - ≥32,TET8,SUL256,CHL8 Intermediate
SRR7401612,CC21,21,O26,H11,+,S,AMP8,"STR8,16",S,S,S,TET8,SUL256,S
SRR5018375,CC21,21,O26,H11,+,S,AMP8,"STR8,16",S,S,S,TET8,SUL256,"CHL8,16"
SRR4897156,CC21,21,O26,H11,+,S,AMP8,"STR8,16",S,S,S,S,SUL256,CHL8 Intermediate (repeat sensitive)  MIC - ≥8
SRR3578955,CC165,301,O80,H2,+,S,AMP8,"GEN2. TOB2. STR8,16",CIP0.064,S,TMP2 (repeat same) MIC - ≥32,TET8,SUL256,"CHL8,16"
SRR4786590,CC21,21,O26,H11,+,S,AMP8,"STR8,16",S,S,TMP2,S,SUL256,"CHL8,16"
SRR5023790,CC165,301,O80,H2,+,S,AMP8,"STR8,16",CIP0.067,S,TMP2,S,SUL256,S
