Isolate Number,Oxacillin,Clindamycin,Rifampicin,Trimethoprim-Sulfamethoxazole,Mupirocin,Minocycline,Vancomycin,Daptomycin,Ceftaroline,Levofloxacin
SRR5486247,S,S,S,S,S,S,S,S,S,S
SRR5486248,R,R,S,S,S,S,S,S,S,R
SRR5486249,S,R,S,S,S,S,S,S,S,R
SRR5486250,S,S,S,S,S,S,S,S,S,S
SRR5486251,S,R,S,S,S,S,S,S,S,S
SRR5486252,S,S,S,S,S,S,S,S,S,S
SRR5486253,R,R,S,S,S,S,S,S,S,S
SRR5486254,R,S,S,S,S,S,S,S,S,R
SRR5486255,S,S,S,S,S,S,S,S,S,S
SRR5486256,S,S,S,S,S,S,S,S,S,S
SRR5486257,S,S,S,S,S,S,S,S,S,S
SRR5486258,S,S,S,S,S,S,S,S,S,S
SRR5486259,S,S,S,S,S,S,S,S,S,S
SRR5486260,S,S,S,S,S,S,S,S,S,S
SRR5486261,S,S,S,S,S,S,S,S,S,S
SRR5486262,R,R,S,S,S,S,S,S,S,R
SRR5486263,S,S,S,S,S,S,S,S,S,S
SRR5486264,S,S,S,S,S,S,S,S,S,S
SRR5486265,R,R,S,S,S,S,S,S,S,R
SRR5486266,R,R,S,S,S,S,S,S,S,R
SRR5486267,S,S,S,S,S,S,S,S,S,S
SRR5486268,R,R,S,S,S,S,S,S,S,R
SRR5486269,R,R,S,S,S,S,S,S,S,R
SRR5486270,S,S,S,S,S,I,S,S,S,S
SRR5486271,S,S,S,S,S,S,S,S,S,R
SRR5486272,S,S,S,S,S,S,S,S,S,S
SRR5486273,S,R,S,S,S,S,S,S,S,S
SRR5486274,S,S,S,S,S,S,S,S,S,S
SRR5486275,S,S,S,S,S,S,S,S,S,S
SRR5486276,S,S,S,S,S,S,S,S,S,S
SRR5486277,S,S,S,S,S,S,S,S,S,S
SRR5486278,S,S,S,S,S,S,S,S,S,S
SRR5486279,S,S,S,S,S,S,S,S,S,S
SRR5486280,S,S,S,S,S,S,S,S,S,S
SRR5486281,S,S,S,S,R,S,S,S,S,S
SRR5486282,S,S,S,S,S,S,S,S,S,S
SRR5486283,R,R,S,S,S,S,S,S,S,R
SRR5486284,R,S,S,S,S,S,S,S,S,R
SRR5486285,S,R,S,S,S,R,S,S,S,S
SRR5486286,R,R,S,S,S,S,S,S,S,S
SRR5486287,S,S,S,S,S,S,S,S,S,S
SRR5486288,S,S,S,S,S,S,S,S,S,S
SRR5486289,S,S,S,S,S,S,S,S,S,S
SRR5486290,S,S,S,S,S,S,S,S,S,R
SRR5486291,R,S,S,S,S,S,S,S,S,R
SRR5486292,S,S,S,S,S,S,S,S,S,S
SRR5486293,S,S,S,S,S,S,S,S,S,S
SRR5486294,S,S,S,S,S,S,S,S,S,S
SRR5486295,R,R,S,S,S,I,S,S,S,R
SRR5486296,S,R,S,S,S,S,S,S,S,S
SRR5486297,R,R,S,S,S,S,S,S,S,R
SRR5486298,S,S,S,S,S,S,S,S,S,S
SRR5486299,R,R,S,S,S,S,S,S,S,R
SRR5486300,R,R,S,S,S,S,S,S,S,R
SRR5486301,R,S,S,S,S,S,S,S,S,S
SRR5486302,R,S,S,S,S,S,S,S,S,S
SRR5486303,S,R,S,S,S,S,S,S,S,S
SRR5486305,R,R,S,S,S,S,S,S,S,R
SRR5486306,R,S,S,S,S,S,S,S,S,S
SRR5486307,S,S,S,S,S,S,S,S,S,S
SRR5486308,S,R,S,S,S,S,S,S,S,R
SRR5486309,S,R,S,S,S,S,S,S,S,S
SRR5486310,S,R,S,S,S,S,S,S,S,S
SRR5486311,S,S,S,S,S,S,S,S,S,S
SRR5486312,R,R,S,S,S,S,S,S,S,R
SRR5486313,S,S,S,S,S,S,S,S,S,R
SRR5486314,R,S,S,S,S,S,S,S,S,S
SRR5486315,S,S,S,S,S,S,S,S,S,S
SRR5486316,S,S,S,S,S,S,S,S,S,S
SRR5486317,R,S,S,S,S,S,S,S,S,S
SRR5486318,S,S,S,S,S,S,S,S,S,S
SRR5486319,S,S,S,S,S,S,S,S,S,S
SRR5486320,R,R,S,S,S,S,S,S,S,R
SRR5486321,S,R,S,S,S,S,S,S,S,S
SRR5486322,S,S,S,S,S,S,S,S,S,S
SRR5486323,R,S,S,S,S,S,S,S,S,R
SRR5486324,S,R,S,S,S,S,S,S,S,R
SRR5486325,S,R,S,S,S,S,S,S,S,R
SRR5486326,S,S,S,S,S,S,S,S,S,S
SRR5486327,S,S,S,S,S,S,S,S,S,S
SRR5486328,S,S,S,S,S,S,S,S,S,R
SRR5486329,R,R,S,S,S,S,S,S,S,R
SRR5486330,S,S,S,S,S,S,S,S,S,S
SRR5486331,R,S,S,S,S,S,S,S,S,R
SRR5486332,R,S,S,S,S,S,S,S,S,R
SRR5486333,S,S,S,S,S,S,S,S,S,S
SRR5486334,S,S,S,S,S,S,S,S,S,S
SRR5486335,S,S,S,S,S,S,S,S,S,R
SRR5486336,S,S,S,S,S,S,S,S,S,S
SRR5486337,S,S,S,S,S,S,S,S,S,S
SRR5486338,S,S,S,S,S,S,S,S,S,S
SRR5486339,S,S,S,S,S,S,S,S,S,S
SRR5486340,S,S,S,S,S,S,S,S,S,S
SRR5486341,R,R,S,R,S,S,S,S,S,S
SRR5486342,S,S,S,S,S,S,S,S,S,S
SRR5486343,R,R,S,S,S,S,S,S,S,R
SRR5486344,S,S,S,S,S,S,S,S,S,S
SRR5486345,S,S,S,S,S,S,S,S,S,R
SRR5486346,S,S,S,S,S,S,S,S,S,S
SRR5486347,S,S,S,S,S,S,S,S,S,S
SRR5486348,S,S,S,S,S,S,S,S,S,S
SRR5486349,R,R,S,S,S,S,S,S,S,S
