PATRIC ID,Run Accession,Genome Name,Publication (pubmed ID),amikacin,capreomycin,ethambutol,ethionamide,isoniazid,kanamycin,moxifloxacin,ofloxacin,pyrazinamide,rifampin,streptomycin
1773.199,"SRR1577810,SRR1577835,SRR1577836",Mycobacterium tuberculosis strain MAL010075,-,S,S,S,S,S,S,,,R,S,S
1773.2,"SRR1577821,SRR1577824,SRR1577829",Mycobacterium tuberculosis strain MAL010077,-,S,S,S,S,R,S,,,S,R,S
1773.201,"SRR1577808,SRR1577822,SRR1577832",Mycobacterium tuberculosis strain MAL010119,-,S,S,S,S,S,S,,,S,S,S
1773.202,"SRR1577811,SRR1577823,SRR1577825",Mycobacterium tuberculosis strain MAL020139,-,S,S,S,S,R,S,,,S,R,S
1773.203,"SRR1577809,SRR1577826,SRR1577827",Mycobacterium tuberculosis strain MAL020151,-,S,S,S,S,S,S,,,S,S,S
1773.204,"SRR1577806,SRR1577830",Mycobacterium tuberculosis strain MAL020165,-,R,S,R,R,R,R,,,R,R,S
1773.2436,ERR551223,Mycobacterium tuberculosis 10054-10,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2437,ERR552204,Mycobacterium tuberculosis 10056-06,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2438,ERR551085,Mycobacterium tuberculosis 10016-05,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2439,ERR551150,Mycobacterium tuberculosis 10057-10,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.244,ERR553349,Mycobacterium tuberculosis 10058-10,"2,668,688,026,116,180",,,S,,R,,,,S,S,R
1773.2441,ERR552113,Mycobacterium tuberculosis 10091-01,"2,668,688,026,116,180",,,R,,R,,,,R,R,R
1773.2442,ERR552505,Mycobacterium tuberculosis 10093-08,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2443,ERR552942,Mycobacterium tuberculosis 10094-12,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2444,ERR552440,Mycobacterium tuberculosis 10098-05,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2445,ERR550647,Mycobacterium tuberculosis 10108-01,"2,668,688,026,116,180",,,S,,R,,,,R,R,R
