id,publication,project,date,country,lineage,sublineage,ethambutol,isoniazid,pyrazinamide,rifampicin,streptomycin
ERR2512419,cryptic_nejm_2018,cryptic_nejm_2018,,United Kingdom,lineage2,lineage2.2.1,1,1,1,1,
ERR2512432,cryptic_nejm_2018,cryptic_nejm_2018,,United Kingdom,lineage2,lineage2.2.1,0,0,0,0,
ERR2512444,cryptic_nejm_2018,cryptic_nejm_2018,,United Kingdom,lineage2,lineage2.2.1.1,0,0,0,0,
SRR6046861,cryptic_nejm_2018,cryptic_nejm_2018,,United Kingdom,lineage2,lineage2.2.1,0,0,0,0,
ERR2512448,cryptic_nejm_2018,cryptic_nejm_2018,,United Kingdom,lineage2,lineage2.2.1,0,0,0,0,
ERR2512616,cryptic_nejm_2018,cryptic_nejm_2018,,United Kingdom,lineage2,lineage2.2.1.1,0,0,0,0,
ERR2512464,cryptic_nejm_2018,cryptic_nejm_2018,,United Kingdom,lineage2,lineage2.2.1,0,0,0,0,
ERR2512467,cryptic_nejm_2018,cryptic_nejm_2018,,United Kingdom,lineage2,lineage2.2.1,0,1,1,1,
ERR2512468,cryptic_nejm_2018,cryptic_nejm_2018,,United Kingdom,lineage2,lineage2.2.1,0,,0,0,
SRR6046574,cryptic_nejm_2018,cryptic_nejm_2018,2016,United Kingdom,lineage2,lineage2.2.1,1,1,,1,
ERR2512481,cryptic_nejm_2018,cryptic_nejm_2018,,United Kingdom,lineage2,lineage2.2.1,0,0,0,0,
ERR2512506,cryptic_nejm_2018,cryptic_nejm_2018,,United Kingdom,lineage2,lineage2.2.1.1,0,0,0,0,
ERR2512539,cryptic_nejm_2018,cryptic_nejm_2018,,United Kingdom,lineage2,lineage2.2.1,0,0,0,0,
SRR6045085,cryptic_nejm_2018,cryptic_nejm_2018,2016,United Kingdom,lineage2,lineage2.2.1,,1,1,1,
ERR2512542,cryptic_nejm_2018,cryptic_nejm_2018,,United Kingdom,lineage2,lineage2.2.1.1,0,0,0,0,
ERR2512546,cryptic_nejm_2018,cryptic_nejm_2018,,United Kingdom,lineage2,lineage2.2.1,0,0,0,0,
SRR6045433,cryptic_nejm_2018,cryptic_nejm_2018,2016,United Kingdom,lineage2,lineage2.2.1,0,0,0,0,
ERR2512550,cryptic_nejm_2018,cryptic_nejm_2018,,United Kingdom,lineage2,lineage2.2.1,0,0,0,0,
ERR2512552,cryptic_nejm_2018,cryptic_nejm_2018,,United Kingdom,lineage2,lineage2.2.1,0,0,0,0,
ERR2512562,cryptic_nejm_2018,cryptic_nejm_2018,,United Kingdom,lineage2,lineage2.2.1,0,0,0,0,
ERR2512591,cryptic_nejm_2018,cryptic_nejm_2018,,United Kingdom,lineage2,lineage2.2.1,1,1,1,1,
ERR2512592,cryptic_nejm_2018,cryptic_nejm_2018,,United Kingdom,lineage2,lineage2.2.1,0,0,0,0,
ERR2512596,cryptic_nejm_2018,cryptic_nejm_2018,,United Kingdom,lineage2,lineage2.2.1.2,0,1,,1,
ERR2512607,cryptic_nejm_2018,cryptic_nejm_2018,,United Kingdom,lineage2,lineage2.2.1,0,0,0,0,
SRR6046297,cryptic_nejm_2018,cryptic_nejm_2018,2016,United Kingdom,lineage2,lineage2.2.1,0,0,0,0,
ERR2512635,cryptic_nejm_2018,cryptic_nejm_2018,,United Kingdom,lineage2,lineage2.2.1,0,0,0,0,
SRR6046243,cryptic_nejm_2018,cryptic_nejm_2018,2016,United Kingdom,lineage2,lineage2.2.1,0,1,0,1,
SRR6046269,cryptic_nejm_2018,cryptic_nejm_2018,2016,United Kingdom,lineage2,lineage2.2.1,0,1,,0,
ERR2512653,cryptic_nejm_2018,cryptic_nejm_2018,,United Kingdom,lineage2,lineage2.2.1,0,0,0,0,
