Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,Experiment,External_Id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),host_health_state,host_scientific_name,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Isolate,Isolation_Source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,Sample_Name,SRA Study,Submitter_Id,Rifampicin
ERR6358705,WGS,296,1357642820,PRJEB43270,SAMEA8994004,630997538,INSTITUTE OF TROPICAL MEDICINE,1992,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",26/07/2021,26/07/2021,26/07/2021,26/07/2021,ERX5990239,SAMEA8994004,Rwanda,Africa,Rwanda,diseased,Homo sapiens,Institute of tropical medicine,Institute of tropical medicine,2021-07-26T00:27:03Z,2021-07-26T00:27:03Z,public,Illumina HiSeq 2500,1992-07856,sputum,unspecified,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2021-09-27T00:00:00Z,SAMEA8994004,1992-07856,ERP127219,1992-07856,R
ERR6358706,WGS,298,887190926,PRJEB43270,SAMEA8994005,417585885,INSTITUTE OF TROPICAL MEDICINE,1992,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",26/07/2021,26/07/2021,26/07/2021,26/07/2021,ERX5990240,SAMEA8994005,Rwanda,Africa,Rwanda,diseased,Homo sapiens,Institute of tropical medicine,Institute of tropical medicine,2021-07-26T00:27:03Z,2021-07-26T00:27:03Z,public,Illumina HiSeq 2500,1992-08341,sputum,unspecified,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2021-09-27T00:00:00Z,SAMEA8994005,1992-08341,ERP127219,1992-08341,R
ERR6358707,WGS,300,902408529,PRJEB43270,SAMEA8994006,421150476,INSTITUTE OF TROPICAL MEDICINE,1993,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",26/07/2021,26/07/2021,26/07/2021,26/07/2021,ERX5990241,SAMEA8994006,Rwanda,Africa,Rwanda,diseased,Homo sapiens,Institute of tropical medicine,Institute of tropical medicine,2021-07-26T00:27:03Z,2021-07-26T00:27:03Z,public,Illumina HiSeq 2500,1993-09256,sputum,unspecified,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2021-09-27T00:00:00Z,SAMEA8994006,1993-09256,ERP127219,1993-09256,R
ERR6358708,WGS,298,1474994619,PRJEB43270,SAMEA8994007,682514861,INSTITUTE OF TROPICAL MEDICINE,1993,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",26/07/2021,26/07/2021,26/07/2021,26/07/2021,ERX5990242,SAMEA8994007,Rwanda,Africa,Rwanda,diseased,Homo sapiens,Institute of tropical medicine,Institute of tropical medicine,2021-07-26T00:27:03Z,2021-07-26T00:27:03Z,public,Illumina HiSeq 2500,1993-09347,sputum,unspecified,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2021-09-27T00:00:00Z,SAMEA8994007,1993-09347,ERP127219,1993-09347,R
ERR6358709,WGS,299,1124104038,PRJEB43270,SAMEA8994008,521252613,INSTITUTE OF TROPICAL MEDICINE,1993,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",26/07/2021,26/07/2021,26/07/2021,26/07/2021,ERX5990243,SAMEA8994008,Rwanda,Africa,Rwanda,diseased,Homo sapiens,Institute of tropical medicine,Institute of tropical medicine,2021-07-26T00:27:03Z,2021-07-26T00:27:03Z,public,Illumina HiSeq 2500,1993-09409,sputum,unspecified,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2021-09-27T00:00:00Z,SAMEA8994008,1993-09409,ERP127219,1993-09409,R
ERR6358710,WGS,298,982097983,PRJEB43270,SAMEA8994009,458194210,INSTITUTE OF TROPICAL MEDICINE,1993,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",26/07/2021,26/07/2021,26/07/2021,26/07/2021,ERX5990244,SAMEA8994009,Rwanda,Africa,Rwanda,diseased,Homo sapiens,Institute of tropical medicine,Institute of tropical medicine,2021-07-26T00:27:03Z,2021-07-26T00:27:03Z,public,Illumina HiSeq 2500,1993-09582,sputum,unspecified,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2021-09-27T00:00:00Z,SAMEA8994009,1993-09582,ERP127219,1993-09582,R
ERR6358711,WGS,299,1285060065,PRJEB43270,SAMEA8994010,595067627,INSTITUTE OF TROPICAL MEDICINE,1994,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",26/07/2021,26/07/2021,26/07/2021,26/07/2021,ERX5990245,SAMEA8994010,Rwanda,Africa,Rwanda,diseased,Homo sapiens,Institute of tropical medicine,Institute of tropical medicine,2021-07-26T00:27:03Z,2021-07-26T00:27:03Z,public,Illumina HiSeq 2500,1994-00039,sputum,unspecified,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2021-09-27T00:00:00Z,SAMEA8994010,1994-00039,ERP127219,1994-00039,R
ERR6358712,WGS,299,886012606,PRJEB43270,SAMEA8994011,413348043,INSTITUTE OF TROPICAL MEDICINE,1994,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",26/07/2021,26/07/2021,26/07/2021,26/07/2021,ERX5990246,SAMEA8994011,Rwanda,Africa,Rwanda,diseased,Homo sapiens,Institute of tropical medicine,Institute of tropical medicine,2021-07-26T00:27:03Z,2021-07-26T00:27:03Z,public,Illumina HiSeq 2500,1994-00106,sputum,unspecified,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2021-09-27T00:00:00Z,SAMEA8994011,1994-00106,ERP127219,1994-00106,R
ERR6358713,WGS,297,1549813343,PRJEB43270,SAMEA8994012,712863718,INSTITUTE OF TROPICAL MEDICINE,1998,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",26/07/2021,26/07/2021,26/07/2021,26/07/2021,ERX5990247,SAMEA8994012,Rwanda,Africa,Rwanda,diseased,Homo sapiens,Institute of tropical medicine,Institute of tropical medicine,2021-07-26T00:27:03Z,2021-07-26T00:27:03Z,public,Illumina HiSeq 2500,1998-01064,sputum,unspecified,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2021-09-27T00:00:00Z,SAMEA8994012,1998-01064,ERP127219,1998-01064,R
ERR6358714,WGS,298,952151706,PRJEB43270,SAMEA8994013,445851198,INSTITUTE OF TROPICAL MEDICINE,1998,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",26/07/2021,26/07/2021,26/07/2021,26/07/2021,ERX5990248,SAMEA8994013,Rwanda,Africa,Rwanda,diseased,Homo sapiens,Institute of tropical medicine,Institute of tropical medicine,2021-07-26T00:27:03Z,2021-07-26T00:27:03Z,public,Illumina HiSeq 2500,1998-01091,sputum,unspecified,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2021-09-27T00:00:00Z,SAMEA8994013,1998-01091,ERP127219,1998-01091,R
