run_accession,study_accession,SRA_BioSample,tax_id,scientific_name,submitted_ftp,strain_id,sequencing_instrument,MLST,Resistant phenotype,SRA_BioProject
SRR7867434,PRJNA491594,SAMN10080619,1280,Staphylococcus aureus,NA,gs11008,Illumina Nextseq 550,239,MRSA,PRJNA491594
SRR7867435,PRJNA491594,SAMN10080622,1280,Staphylococcus aureus,NA,zj11098,Illumina Nextseq 550,239,MRSA,PRJNA491594
SRR7867436,PRJNA491594,SAMN10080717,1280,Staphylococcus aureus,NA,C10,Illumina Nextseq 550,59,MRSA,PRJNA491594
SRR7867445,PRJNA491594,SAMN10080618,1280,Staphylococcus aureus,NA,br11048,Illumina Nextseq 550,239,MRSA,PRJNA491594
SRR7867448,PRJNA491594,SAMN10080703,1280,Staphylococcus aureus,NA,lc071,Illumina Nextseq 550,59,MRSA,PRJNA491594
SRR7867449,PRJNA491594,SAMN10080702,1280,Staphylococcus aureus,NA,lc065,Illumina Nextseq 550,59,MRSA,PRJNA491594
SRR7867450,PRJNA491594,SAMN10080701,1280,Staphylococcus aureus,NA,lc064,Illumina Nextseq 550,59,MRSA,PRJNA491594
SRR7867451,PRJNA491594,SAMN10080700,1280,Staphylococcus aureus,NA,lc059,Illumina Nextseq 550,59,MRSA,PRJNA491594
SRR7867452,PRJNA491594,SAMN10080699,1280,Staphylococcus aureus,NA,lc056,Illumina Nextseq 550,59,MRSA,PRJNA491594
SRR7867453,PRJNA491594,SAMN10080698,1280,Staphylococcus aureus,NA,lc055,Illumina Nextseq 550,59,MRSA,PRJNA491594
SRR7867454,PRJNA491594,SAMN10080697,1280,Staphylococcus aureus,NA,lc051,Illumina Nextseq 550,59,MRSA,PRJNA491594
SRR7867455,PRJNA491594,SAMN10080696,1280,Staphylococcus aureus,NA,lc050,Illumina Nextseq 550,59,MRSA,PRJNA491594
SRR7867456,PRJNA491594,SAMN10080695,1280,Staphylococcus aureus,NA,lc048,Illumina Nextseq 550,59,MRSA,PRJNA491594
