Assembly,Level,WGS,BioSample,Isolate,Taxonomy,Sequencing Platform*,Year w,Country,City,Anatomical Site,Meropenem+,Levofloxacin +,Amikacin+,Colistin+,MLSTǂ
GCA_000789495.1,Scaffold,JTNL00000000,SAMN03105732,AZPAE15035,Pseudomonas aeruginosa,MiSeq,2011,Spain,Bilbao,RTI,8,16,2,0.5,560
GCA_000789485.1,Scaffold,JTMX00000000,SAMN03105746,AZPAE15049,Pseudomonas aeruginosa,MiSeq,2012,Germany,München,UTI,0.12,0.5,2,1,569
GCA_000789535.1,Scaffold,JTRM00000000,SAMN03105627,AZPAE14929,Pseudomonas aeruginosa,MiSeq,2009,Germany,Aachen,UTI,>32,32,128,1,233
GCA_000789525.1,Scaffold,JTSG00000000,SAMN03105607,AZPAE14909,Pseudomonas aeruginosa,MiSeq,2008,Spain,Palma de Mallorca,IAI,8,>32,4,2,175
GCA_000793585.1,Scaffold,JTRF00000000,SAMN03105634,AZPAE14936,Pseudomonas aeruginosa,MiSeq,2008,Brazil,Curitiba,IAI,2,>32,0.5,2,1745
GCA_000789705.1,Scaffold,JTUP00000000,SAMN03105546,AZPAE14845,Pseudomonas aeruginosa,MiSeq,2006,Germany,Koln,RTI,0.12,1,1,1,253
GCA_000789685.1,Scaffold,JTUQ00000000,SAMN03105545,AZPAE14844,Pseudomonas aeruginosa,MiSeq,2006,United States,Roseburg,IAI,0.25,0.25,2,1,27
GCA_000789635.1,Scaffold,JTUR00000000,SAMN03105544,AZPAE14843,Pseudomonas aeruginosa,MiSeq,2006,United States,Roseburg,UTI,1,>32,4,1,235
GCA_000789645.1,Scaffold,JTNK00000000,SAMN03105733,AZPAE15036,Pseudomonas aeruginosa,MiSeq,2012,China,Shatin,IAI,0.12,0.5,1,1,406
GCA_000789625.1,Scaffold,JTUS00000000,SAMN03105543,AZPAE14842,Pseudomonas aeruginosa,MiSeq,2006,United States,Roseburg,UTI,1,>32,4,1,235
GCA_000789605.1,Scaffold,JTUT00000000,SAMN03105542,AZPAE14841,Pseudomonas aeruginosa,MiSeq,2006,China,Beijing,IAI,0.5,0.25,1,1,244
GCA_000789555.1,Scaffold,JTUU00000000,SAMN03105541,AZPAE14840,Pseudomonas aeruginosa,MiSeq,2006,China,Beijing,UTI,2,4,32,1,1729
GCA_000789545.1,Scaffold,JTRX00000000,SAMN03105616,AZPAE14918,Pseudomonas aeruginosa,MiSeq,2008,Spain,Bilbao,IAI,1,0.5,2,1,1741
GCA_000789785.1,Scaffold,JTUL00000000,SAMN03105550,AZPAE14850,Pseudomonas aeruginosa,MiSeq,2006,France,Nantes Cedex,UTI,2,2,1,1,253
GCA_000789745.1,Scaffold,JTUO00000000,SAMN03105547,AZPAE14846,Pseudomonas aeruginosa,MiSeq,2006,France,Nantes Cedex,RTI,32,8,8,0.5,1762
GCA_000789755.1,Scaffold,JTUN00000000,SAMN03105548,AZPAE14847,Pseudomonas aeruginosa,MiSeq,2006,France,Nantes Cedex,RTI,0.12,0.25,2,1,1763
GCA_000789725.1,Scaffold,JTRA00000000,SAMN03105639,AZPAE14941,Pseudomonas aeruginosa,MiSeq,2009,China,Hong Kong,IAI,0.12,1,1,1,1747
GCA_000789835.1,Scaffold,JTUK00000000,SAMN03105551,AZPAE14851,Pseudomonas aeruginosa,MiSeq,2006,France,Nantes Cedex,IAI,1,0.5,2,1,395
GCA_000789805.1,Scaffold,JTUM00000000,SAMN03105549,AZPAE14848,Pseudomonas aeruginosa,MiSeq,2006,France,Nantes Cedex,IAI,0.06,0.5,0.5,1,1764
GCA_000789815.1,Scaffold,JTRW00000000,SAMN03105617,AZPAE14919,Pseudomonas aeruginosa,MiSeq,2008,Spain,Bilbao,RTI,0.12,0.25,1,0.5,369
GCA_000789845.1,Scaffold,JTUJ00000000,SAMN03105552,AZPAE14852,Pseudomonas aeruginosa,MiSeq,2005,Brazil,Sao Paulo,RTI,32,>32,64,1,639
GCA_000789925.1,Scaffold,JTUH00000000,SAMN03105554,AZPAE14855,Pseudomonas aeruginosa,MiSeq,2007,France,Paris,RTI,2,2,2,2,1731
GCA_000789935.1,Scaffold,JTNJ00000000,SAMN03105734,AZPAE15037,Pseudomonas aeruginosa,MiSeq,2012,France,Paris,IAI,0.5,1,8,1,395
GCA_000789905.1,Scaffold,JTUI00000000,SAMN03105553,AZPAE14853,Pseudomonas aeruginosa,MiSeq,2007,Brazil,Curitiba,RTI,>32,32,>128,1,277
GCA_000789885.1,Scaffold,JTSA00000000,SAMN03105613,AZPAE14915,Pseudomonas aeruginosa,MiSeq,2008,Spain,Santander,UTI,0.5,>32,16,1,267
GCA_000789965.1,Scaffold,JTUG00000000,SAMN03105555,AZPAE14856,Pseudomonas aeruginosa,MiSeq,2007,France,Paris,RTI,0.12,1,4,1,108
GCA_000789975.1,Scaffold,JTSF00000000,SAMN03105608,AZPAE14910,Pseudomonas aeruginosa,MiSeq,2008,India,Mumbai,IAI,0.5,1,4,1,241
GCA_000790025.1,Scaffold,JTUE00000000,SAMN03105557,AZPAE14858,Pseudomonas aeruginosa,MiSeq,2007,France,Paris,IAI,0.25,0.25,2,1,1284
GCA_000789995.1,Scaffold,JTUF00000000,SAMN03105556,AZPAE14857,Pseudomonas aeruginosa,MiSeq,2007,France,Paris,IAI,0.12,0.25,2,1,17
GCA_000790505.1,Scaffold,JTTK00000000,SAMN03105577,AZPAE14878,Pseudomonas aeruginosa,MiSeq,2007,United States,Roseburg,IAI,>32,32,0.25,0.5,606
GCA_000790485.1,Scaffold,JTTL00000000,SAMN03105576,AZPAE14877,Pseudomonas aeruginosa,MiSeq,2007,United States,Roseburg,RTI,0.5,4,8,0.5,1734
GCA_000790305.1,Scaffold,JTTS00000000,SAMN03105569,AZPAE14870,Pseudomonas aeruginosa,MiSeq,2007,Argentina,Victoria,IAI,>32,>32,>128,1,298
GCA_000790285.1,Scaffold,JTNA00000000,SAMN03105743,AZPAE15046,Pseudomonas aeruginosa,MiSeq,2012,Argentina,Victoria,UTI,16,8,16,2,1399
GCA_000790265.1,Scaffold,JTTT00000000,SAMN03105568,AZPAE14869,Pseudomonas aeruginosa,MiSeq,2007,Argentina,Victoria,UTI,2,32,4,1,319
GCA_000790245.1,Scaffold,JTTU00000000,SAMN03105567,AZPAE14868,Pseudomonas aeruginosa,MiSeq,2007,Argentina,Victoria,IAI,0.12,0.25,2,1,1733
GCA_000790205.1,Scaffold,JTTW00000000,SAMN03105565,AZPAE14866,Pseudomonas aeruginosa,MiSeq,2007,China,Shatin,RTI,0.12,0.5,2,1,1101
GCA_000790215.1,Scaffold,JTTV00000000,SAMN03105566,AZPAE14867,Pseudomonas aeruginosa,MiSeq,2007,China,Shatin,RTI,0.03,0.015,0.5,0.5,244
GCA_000790065.1,Scaffold,JTUC00000000,SAMN03105559,AZPAE14860,Pseudomonas aeruginosa,MiSeq,2007,Spain,Bilbao,IAI,1,>32,0.5,0.5,308
GCA_000790035.1,Scaffold,JTUD00000000,SAMN03105558,AZPAE14859,Pseudomonas aeruginosa,MiSeq,2007,Spain,Bilbao,UTI,0.12,0.5,2,1,640
GCA_000790185.1,Scaffold,JTTX00000000,SAMN03105564,AZPAE14865,Pseudomonas aeruginosa,MiSeq,2007,India,Chennai,RTI,>32,>32,>128,1,357
GCA_000790145.1,Scaffold,JTTZ00000000,SAMN03105562,AZPAE14863,Pseudomonas aeruginosa,MiSeq,2007,India,Chennai,RTI,0.25,>32,2,1,357
GCA_000790155.1,Scaffold,JTTY00000000,SAMN03105563,AZPAE14864,Pseudomonas aeruginosa,MiSeq,2007,India,Chennai,RTI,0.12,0.5,2,1,16
GCA_000790115.1,Scaffold,JTNI00000000,SAMN03105735,AZPAE15038,Pseudomonas aeruginosa,MiSeq,2012,France,Paris,IAI,4,0.5,4,1,116
GCA_000790105.1,Scaffold,JTUA00000000,SAMN03105561,AZPAE14862,Pseudomonas aeruginosa,MiSeq,2007,India,Chennai,UTI,2,>32,8,1,621
GCA_000790085.1,Scaffold,JTUB00000000,SAMN03105560,AZPAE14861,Pseudomonas aeruginosa,MiSeq,2007,Spain,Bilbao,IAI,0.06,4,4,1,132
