SRA_run,BioSample_ID,isolate_name,isolation_latitude,isolation_longitude,ERS Number,MLST,spa,SCCMec,isolation_country,city,source,HosCom,mrsa,mrsa__groupcolour,PEN_phenotype,FOX_phenotype,CIP_phenotype,MFX_phenotype,AMK_phenotype,GEN_phenotype,TOB_phenotype,ERY_phenotype,CLI_phenotype,TCY_phenotype,FUS_phenotype,MUP_phenotype,RIF_phenotype,TMP_phenotype
ERR033337,SAMEA698455,10_BG_121,43.27731,26.92871,ERS026699,121,t809,,Bulgaria,Shumen,PF,CO,0,#76F013,resistant,,,,,,,,,,,,,
ERR033276:ERR033354,SAMEA698303,100_BE_22,50.85128,2.884192,ERS026683,22,t709,,Belgium,IEPER,BC,CO,0,#FFF734,,,,,,,,,,,,,,
ERR033503:ERR038660,SAMEA698468,101_FR_2877,48.7991,2.262465,ERS026773,2877,t2062,,France,CLAMART,PF,HA,0,#FFF734,resistant,,,,,,,,,,,,,
ERR033445:ERR033639,SAMEA698164,102_FR_22,48.00772,0.198579,ERS026755,22,t790,,France,LE MANS,PF,CO,0,#FFF734,resistant,,,,,,,,,,,,,
ERR045842:ERR045849,SAMEA1028338,105_UK_22,53.19146,-2.895007,ERS026920,22,t032,IVh,United Kingdom,Chester,BC,HA,1,#ED462F,resistant,resistant,resistant,resistant,,,,resistant,resistant,,,,,
ERR033569,SAMEA698270,11_SE_395,59.37816,13.50427,ERS027012,395,t2650,,Sweden,Karlstad,BC,,0,#76F013,,,,,,,,,,,,,,
ERR033399:ERR033645,SAMEA698196,110_DE_22,52.518,13.38229,ERS026834,22,t032,IVh,Germany,Berlin,BC,CO,1,#ED462F,resistant,resistant,resistant,resistant,,,,,,,,,,
ERR033473,SAMEA698288,111_DE_22,52.52348,13.41149,ERS026800,22,t032,IVh,Germany,Berlin,BC,HA,1,#FFF734,resistant,resistant,resistant,resistant,,,,resistant,resistant,,,,,
ERR033465,SAMEA698247,112_DE_22,52.52348,13.41149,ERS026797,22,t032,IVh,Germany,Berlin,BC,HA,1,#FFF734,resistant,resistant,resistant,resistant,,,,,,,,,,
ERR033475,SAMEA698287,113_DE_22,54.32269,10.13586,ERS026801,22,t032,IVh,Germany,Kiel,BC,,1,#FFF734,resistant,resistant,resistant,resistant,,,,resistant,resistant,,,,,
ERR033466,SAMEA698248,114_DE_22,52.52348,13.41149,ERS026796,22,t032,IVh,Germany,Berlin,BC,CO,1,#FFF734,resistant,resistant,resistant,resistant,,,,,,,,,,
ERR033486,SAMEA698440,115_DE_22,52.34715,14.55047,ERS026812,22,t032,IVh,Germany,FRANKFURT AN DER ODER,BC,,1,#FFF734,resistant,resistant,resistant,resistant,,,,,,,,,,
ERR033402:ERR033648,SAMEA698201,116_DE_22,52.37207,9.735686,ERS026831,22,t032,IVh,Germany,Hannover,BC,HA,1,#FFF734,resistant,resistant,resistant,resistant,,,,,,,,,,
ERR033488,SAMEA698571,117_DE_22,52.13095,11.6367,ERS026823,22,t032,IVh,Germany,Magdeburg,BC,HA,1,#FFF734,resistant,resistant,resistant,resistant,,,,resistant,resistant,,,,,
ERR033477,SAMEA698442,118_DE_22,52.37207,9.735686,ERS026810,22,t032,IVh,Germany,Hannover,BC,HA,1,#FFF734,resistant,resistant,resistant,resistant,,,,resistant,resistant,,,,,
ERR033476,SAMEA698443,119_DE_22,54.32269,10.13586,ERS026811,22,t1956,IVh,Germany,Kiel,PF,,1,#FFF734,resistant,resistant,resistant,resistant,,,,resistant,resistant,,,,,
ERR033434:ERR033628,SAMEA698171,12_DK_45,55.67629,12.56812,ERS026752,45,t2727,,Denmark,Copenhagen,BC,HA,0,#76F013,,,,,,,,,,,,,,
ERR033511,SAMEA698583,128_PT_22,41.55176,-8.422891,ERS026944,22,t032,IVh,Portugal,Braga,BC,CO,1,#FFF734,resistant,resistant,resistant,resistant,,,,resistant,resistant,,,,,
ERR033512,SAMEA698585,129_PT_22,38.73521,-9.14027,ERS026946,22,t022,IVh,Portugal,Lisbon,BC,,1,#ED462F,resistant,resistant,resistant,resistant,,,,,,,,,,
ERR033699,SAMEA698315,13_NO_45,59.92894,10.95493,ERS026892,45,t065,,Norway,Lorenskog,BC,CO,0,#76F013,resistant,,,,,,,,,,,,,
ERR033514,SAMEA698446,130_PT_22,38.74825,-9.16391,ERS026955,22,t747,IVh,Portugal,Lisbon,BC,HA,1,#ED462F,resistant,resistant,resistant,resistant,,,,resistant,resistant,,,,,
ERR033555,SAMEA698580,131_PT_22,38.74825,-9.16391,ERS026941,22,t747,IVh,Portugal,Lisbon,BC,CO,1,#ED462F,resistant,resistant,resistant,resistant,,,,resistant,resistant,,,,,
