Genome,SRA ID,PATRIC ID,Ceftriaxone,Cefuroxime sodium,Levofloxacin,Gentamicin,Imipenem,Trimethoprim/Sulfamethoxazole,Amikacin,Ampicillin/Sulbactam,Ciprofloxacin,Ampicillin,Ceftazidime,Nitrofurantoin,Tobramycin,Piperacillin/Tazobactam,Cefazolin,Cefoxitin,Cefepime,Meropenem,Aztreonam,Tetracycline
KPN123,SRR5386858,573.1322,>32,>16,>4,>8,>8,>2/38,<=8,>16/8,>2,>16,>16,NA,8,>64/4,>16,>16,>16,>8,>16,4
KPN124,SRR5386458,573.1323,>32,>16,>4,<=2,<=1,>2/38,<=8,>16/8,>2,>16,>16,>64,<=2,32/4,>16,>16,>16,<=1,>16,8
KPN125,SRR5386457,573.13238,>32,>16,>4,<=2,>8,Jan-19,32,>16/8,>2,>16,>16,NA,>8,>64/4,>16,>16,<=1,>8,NA,4
KPN126,SRR5386456,573.13248,>32,>16,>4,>8,<=1,<=0.5/9,<=8,>16/8,>2,>16,>16,>64,8,>64/4,>16,8,>16,<=1,>16,<=2
KPN128,SRR5386454,573.13266,>32,>16,>4,<=2,<=1,>2/38,<=8,>16/8,>2,>16,>16,NA,<=2,>64/4,>16,8,<=1,<=1,8,4
KPN130,SRR5386452,573.13274,>32,>16,>4,<=2,8,>2/38,<=8,>16/8,>2,>16,>16,NA,<=2,>64/4,>16,>16,<=1,>8,>16,<=2
KPN133,SRR5386449,573.133,>32,>16,>4,<=2,<=1,>2/38,16,>16/8,>2,>16,>16,>64,>8,08-Apr,>16,8,>16,<=1,>16,<=2
KPN134,SRR5386448,573.1331,>32,>16,>4,<=2,<=1,>2/38,<=8,>16/8,>2,>16,>16,>64,>8,04-Apr,>16,<=4,>16,<=1,>16,>8
KPN140,SRR5386442,573.13353,>32,>16,>4,<=2,<=1,Jan-19,16,>16/8,>2,>16,>16,NA,>8,>64/4,>16,>16,>16,<=1,>16,8
KPN141,SRR5386441,573.13361,>32,>16,>4,4,8,>2/38,>32,>16/8,>2,>16,>16,>64,>8,>64/4,>16,>16,>16,8,>16,4
KPN142,SRR5386440,573.13371,>32,>16,>4,>8,<=1,<=0.5/9,<=8,>16/8,>2,>16,>16,NA,8,>64/4,>16,>16,>16,<=1,>16,4
KPN143,SRR5386439,573.13381,>32,>16,>4,>8,<=1,>2/38,<=8,>16/8,>2,>16,>16,NA,>8,08-Apr,>16,<=4,8,<=1,16,>8
KPN144,SRR5386438,573.13391,>32,>16,>4,<=2,<=1,>2/38,<=8,>16/8,>2,>16,>16,>64,8,32/4,>16,<=4,>16,<=1,>16,>8
KPN145,SRR5386437,573.13399,>32,>16,>4,4,>8,<=0.5/9,>32,>16/8,>2,>16,>16,>64,>8,>64/4,>16,>16,>16,>8,>16,4
KPN146,SRR5386436,573.13407,>32,>16,>4,>8,<=1,>2/38,<=8,>16/8,>2,>16,>16,NA,8,>64/4,>16,8,>16,<=1,>16,<=2
KPN151,SRR5386433,573.13452,>32,>16,>4,>8,<=1,>2/38,<=8,>16/8,>2,>16,>16,>64,>8,16-Apr,>16,<=4,16,<=1,>16,>8
KPN154,SRR5386432,573.13479,>32,>16,>4,<=2,<=1,>2/38,<=8,>16/8,>2,>16,>16,>64,8,16-Apr,>16,8,16,<=1,>16,>8
KPN155,SRR5386431,573.13488,>32,>16,>4,<=2,<=1,>2/38,<=8,>16/8,>2,>16,>16,>64,8,32/4,>16,8,>16,<=1,>16,4
KPN157,SRR5386430,573.13505,>32,>16,>4,>8,<=1,<=0.5/9,16,>16/8,>2,>16,>16,>64,>8,>64/4,>16,>16,>16,<=1,>16,>8
KPN159,SRR5386429,573.13523,>32,>16,>4,4,8,>2/38,>32,>16/8,>2,>16,>16,NA,>8,>64/4,>16,>16,>16,2,>16,4
KPN161,SRR5386427,573.13538,>32,>16,>4,>8,<=1,Feb-38,<=8,>16/8,>2,>16,>16,NA,8,>64/4,>16,16,>16,<=1,>16,8
