Run,ArrayExpress-SPECIES,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA_last_update,Experiment,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,Sample_Name,SRA Study,STRAIN,Submitter_Id,ShortName,NAME,Azithromycin,Ceftriaxone,Cefixime,Ciprofloxacin,Penicillin,Sulfonamides,Spectinomycin,Tetracycline
ERR1680294,Neisseria gonorrhoeae,WGS,BioProject23,250,755939000,PRJEB9227,SAMEA3390219,157497007,THE WELLCOME TRUST SANGER INSTITUTE,public,"sra,cram","ena,s3","ena,s3.us-east-1",2016-10-11,2016-10-11,2018-11-16,2018-03-09,ERX1749911,SAMEA3390219,SC,Wellcome Sanger Institute,2016-10-11T16:22:19Z,2018-03-09T13:23:23Z,public,Illumina HiSeq 2000,15088128,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-10-12T00:00:00Z,SAMEA3390219,AT13_532-sc-2286915,ERP010312,AT13_532,AT13_532-sc-2286915,AT13_532,ECDC_AT13_532,0,0,0,1,1,1,0,1
ERR1680296,Neisseria gonorrhoeae,WGS,BioProject23,250,279711250,PRJEB9227,SAMEA3390246,53645673,THE WELLCOME TRUST SANGER INSTITUTE,public,"sra,cram","ena,s3","ena,s3.us-east-1",2016-10-11,2016-10-11,2018-11-16,2018-03-09,ERX1749913,SAMEA3390246,SC,Wellcome Sanger Institute,2016-10-11T16:22:19Z,2018-03-09T13:24:57Z,public,Illumina HiSeq 2000,15088152,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-10-12T00:00:00Z,SAMEA3390246,IT2945-sc-2286956,ERP010312,IT2945,IT2945-sc-2286956,IT2945,ECDC_IT2945,0,0,0,1,1,1,0,1
ERR1680297,Neisseria gonorrhoeae,WGS,BioProject23,250,863779750,PRJEB9227,SAMEA3390248,169704763,THE WELLCOME TRUST SANGER INSTITUTE,public,"cram,sra","ena,s3","ena,s3.us-east-1",2016-10-11,2016-10-11,2018-11-16,2018-03-09,ERX1749914,SAMEA3390248,SC,Wellcome Sanger Institute,2016-10-11T16:22:19Z,2018-03-09T13:24:46Z,public,Illumina HiSeq 2000,15088164,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-10-12T00:00:00Z,SAMEA3390248,IT2952-sc-2286960,ERP010312,IT2952,IT2952-sc-2286960,IT2952,ECDC_IT2952,0,0,1,1,1,1,0,1
ERR1680298,Neisseria gonorrhoeae,WGS,BioProject23,250,895508250,PRJEB9227,SAMEA3390252,172402494,THE WELLCOME TRUST SANGER INSTITUTE,public,"sra,cram","s3,ena","s3.us-east-1,ena",2016-10-11,2016-10-11,2018-11-16,2018-03-09,ERX1749915,SAMEA3390252,SC,Wellcome Sanger Institute,2016-10-11T16:22:19Z,2018-03-09T13:24:58Z,public,Illumina HiSeq 2000,15088176,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-10-12T00:00:00Z,SAMEA3390252,IT2956-sc-2286969,ERP010312,IT2956,IT2956-sc-2286969,IT2956,ECDC_IT2956,0,0,0,1,1,1,0,1
ERR1680299,Neisseria gonorrhoeae,WGS,BioProject23,250,931747750,PRJEB9227,SAMEA3390283,181182858,THE WELLCOME TRUST SANGER INSTITUTE,public,"cram,sra","ena,s3","s3.us-east-1,ena",2016-10-11,2016-10-11,2018-11-16,2018-03-09,ERX1749916,SAMEA3390283,SC,Wellcome Sanger Institute,2016-10-11T16:22:19Z,2018-03-09T13:24:42Z,public,Illumina HiSeq 2000,15088093,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-10-12T00:00:00Z,SAMEA3390283,SK13_063-sc-2287013,ERP010312,SK13_063,SK13_063-sc-2287013,SK13_063,ECDC_SK13_063,0,0,1,1,1,1,0,1
ERR1680300,Neisseria gonorrhoeae,WGS,BioProject23,250,891282000,PRJEB9227,SAMEA3390285,169687146,THE WELLCOME TRUST SANGER INSTITUTE,public,"sra,cram","s3,ena","ena,s3.us-east-1",2016-10-11,2016-10-11,2018-11-16,2018-03-09,ERX1749917,SAMEA3390285,SC,Wellcome Sanger Institute,2016-10-11T16:22:19Z,2018-03-09T13:24:14Z,public,Illumina HiSeq 2000,15088105,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-10-12T00:00:00Z,SAMEA3390285,SK13_065-sc-2287017,ERP010312,SK13_065,SK13_065-sc-2287017,SK13_065,ECDC_SK13_065,0,0,1,1,1,1,0,1
ERR1680301,Neisseria gonorrhoeae,WGS,BioProject23,250,803763750,PRJEB9227,SAMEA3374708,163567120,THE WELLCOME TRUST SANGER INSTITUTE,public,"cram,sra","ena,s3","ena,s3.us-east-1",2016-10-11,2016-10-11,2018-11-16,2018-03-09,ERX1749918,SAMEA3374708,SC,Wellcome Sanger Institute,2016-10-11T16:22:19Z,2018-03-09T13:23:28Z,public,Illumina HiSeq 2000,15088117,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-10-12T00:00:00Z,SAMEA3374708,GC_087-sc-2286776,ERP010312,GC_087,GC_087-sc-2286776,GC_087,ECDC_GC_087,0,0,0,1,1,1,0,1
ERR1680302,Neisseria gonorrhoeae,WGS,NC_002946.2,250,798917500,PRJEB9227,SAMEA3431689,171316995,THE WELLCOME TRUST SANGER INSTITUTE,public,"sra,cram","s3,ena","ena,s3.us-east-1",2016-10-11,2016-10-11,2018-11-16,2018-03-09,ERX1749919,SAMEA3431689,SC,Wellcome Sanger Institute,2016-10-11T16:22:19Z,2018-03-09T13:24:30Z,public,Illumina HiSeq 2000,15088129,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-10-12T00:00:00Z,SAMEA3431689,SI13_076-sc-2286993,ERP010312,SI13_076,SI13_076-sc-2286993,SI13_076,ECDC_SI13_076,0,0,0,1,1,1,0,1
ERR1680303,Neisseria gonorrhoeae,WGS,BioProject23,250,909734500,PRJEB9227,SAMEA3431696,169581882,THE WELLCOME TRUST SANGER INSTITUTE,public,"cram,sra","s3,ena","s3.us-east-1,ena",2016-10-11,2016-10-11,2018-11-16,2018-03-09,ERX1749920,SAMEA3431696,SC,Wellcome Sanger Institute,2016-10-11T16:22:19Z,2018-03-09T13:23:58Z,public,Illumina HiSeq 2000,15088141,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-10-12T00:00:00Z,SAMEA3431696,HU13_095-sc-2287008,ERP010312,HU13_095,HU13_095-sc-2287008,HU13_095,ECDC_HU13_095,0,0,0,0,1,1,0,1
ERR1680304,Neisseria gonorrhoeae,WGS,BioProject23,250,252777000,PRJEB9227,SAMEA3431697,47717328,THE WELLCOME TRUST SANGER INSTITUTE,public,"sra,cram","ena,s3","ena,s3.us-east-1",2016-10-11,2016-10-11,2018-11-16,2018-03-09,ERX1749921,SAMEA3431697,SC,Wellcome Sanger Institute,2016-10-11T16:22:19Z,2018-03-09T13:25:03Z,public,Illumina HiSeq 2000,15088153,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-10-12T00:00:00Z,SAMEA3431697,HU13_094-sc-2287010,ERP010312,HU13_094,HU13_094-sc-2287010,HU13_094,ECDC_HU13_094,0,0,0,1,1,1,0,1
ERR1680305,Neisseria gonorrhoeae,WGS,BioProject23,250,731823750,PRJEB9227,SAMEA3431704,139162247,THE WELLCOME TRUST SANGER INSTITUTE,public,"cram,sra","s3,ena","ena,s3.us-east-1",2016-10-11,2016-10-11,2018-11-16,2018-03-09,ERX1749922,SAMEA3431704,SC,Wellcome Sanger Institute,2016-10-11T16:22:19Z,2018-03-09T13:24:37Z,public,Illumina HiSeq 2000,15088165,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-10-12T00:00:00Z,SAMEA3431704,HU13_089-sc-2287025,ERP010312,HU13_089,HU13_089-sc-2287025,HU13_089,ECDC_HU13_089,0,0,1,1,1,1,0,1
