PATRIC ID,Isolation Source,Isolation Date,Serotype,US State of Isolation,SRA Run Accession,AUG,AMP,AXO,AZI,CHL,CIP,COT,FIS,FOX,GEN,NAL,STR,TET,TIO,KAN
590.11954,Hogs,2014,Derby,NC,SRR3295894,<=1,<=1,<=0.25,4,8,<=0.015,0.25,>256,4,0.5,2,>64,<=4,1,NA
590.11958,Animal-Swine-Sow,2014,Worthington,TN,SRR3295677,<=1,<=1,<=0.25,8,8,<=0.015,<=0.125,<=16,4,0.5,4,8,>32,0.5,NA
590.11959,Hogs,2014,Derby,IA,SRR3295678,<=1,<=1,<=0.25,8,8,<=0.015,0.5,>256,4,0.5,4,>64,>32,1,NA
590.1196,Animal-Swine-Sow,2014,Johannesburg,IA,SRR3295680,<=1,<=1,<=0.25,8,8,0.03,<=0.125,32,4,0.5,4,4,>32,0.5,NA
590.11961,Hogs,2014,Anatum,CA,SRR3295679,<=1,<=1,<=0.25,8,8,0.03,<=0.125,32,4,<=0.25,4,8,32,1,NA
590.11962,Animal-Swine-Sow,2014,Muenchen,TN,SRR3295681,<=1,<=1,<=0.25,4,8,0.5,<=0.125,64,2,0.5,32,4,<=4,0.5,NA
590.11963,Animal-Swine-Sow,2014,Anatum,CA,SRR3295682,<=1,<=1,<=0.25,8,8,0.03,<=0.125,64,4,<=0.25,4,8,>32,1,NA
590.12048,Dairy Cattle,2014,Meleagridis,TN,SRR3295683,<=1,<=1,<=0.25,4,4,<=0.015,<=0.125,32,4,0.5,4,4,>32,1,NA
590.12049,Animal-Swine-Sow,2014,"I 4,[5],12:i:-",VA,SRR3295684,8,>32,<=0.25,4,8,0.03,<=0.125,>256,4,1,4,>64,>32,1,NA
590.1205,Hogs,2014,"I 4,[5],12:i:-",OR,SRR3295685,16,>32,<=0.25,2,8,<=0.015,<=0.125,>256,2,1,4,>64,>32,1,NA
590.12051,Dairy Cattle,2014,Montevideo,PA,SRR3295686,<=1,<=1,<=0.25,4,4,<=0.015,<=0.125,32,2,<=0.25,2,>64,>32,0.5,NA
590.12052,Animal-Swine-Sow,2014,Johannesburg,TN,SRR3295687,8,>32,<=0.25,4,8,<=0.015,<=0.125,32,4,>16,4,32,>32,1,NA
590.12053,Hogs,2014,Derby,VA,SRR3295688,8,>32,<=0.25,4,8,<=0.015,<=0.125,>256,4,0.5,4,>64,>32,1,NA
