Country,NCBI SRA identifier,PEN,TET,CFX,CIPRO,AZI
USA,ERR191730,4,4,0.25,16,1
USA,ERR191731,1,4,0.015,16,1
USA,ERR191732,4,4,0.25,16,1
USA,ERR191733,2,4,0.015,16,1
USA,ERR191734,4,4,0.5,16,1
USA,ERR191735,2,1,0.015,8,1
USA,ERR191736,2,2,0.25,16,0.5
USA,ERR191737,0.5,16,0.015,1,0.25
USA,ERR191738,1,2,0.063,0.004,0.25
USA,ERR191739,0.25,0.5,0.015,0.015,0.5
USA,ERR191741,1,0.5,0.06,0.015,0.25
USA,ERR355924,1,1,0.063,0.004,0.25
USA,ERR191743,2,1,0.06,0.015,0.5
USA,ERR355925,0.25,0.5,0.063,0.004,0.25
USA,ERR355926,2,0.5,0.06,0.015,0.25
USA,ERR191746,4,4,0.25,32,1
USA,ERR191747,0.25,1,0.015,0.015,8
USA,ERR191748,4,4,0.25,32,1
USA,ERR191749,1,0.5,0.015,2,0.5
USA,ERR191750,4,2,0.25,32,1
USA,ERR191751,4,4,0.06,16,0.5
USA,ERR191752,2,2,0.25,16,0.5
USA,ERR191753,16,16,0.06,4,0.5
USA,ERR855225,2,2,0.25,16,0.5
USA,ERR191755,8,4,0.06,16,0.5
USA,ERR191756,2,4,0.25,32,0.5
USA,ERR191757,0.5,2,0.015,8,1
USA,ERR855226,2,4,0.25,32,0.5
USA,ERR191759,0.5,2,0.015,8,1
USA,ERR191760,2,4,0.5,32,0.5
USA,ERR191761,4,2,0.03,16,0.5
USA,ERR191762,4,4,0.25,16,0.25
USA,ERR191763,2,2,0.06,32,1
USA,ERR191764,4,4,0.25,32,1
USA,ERR191765,2,1,0.03,16,0.5
USA,ERR191766,2,4,0.5,32,0.5
USA,ERR191767,0.5,1,0.015,0.015,8
USA,ERR191768,4,4,0.25,16,1
USA,ERR191769,16,16,0.03,16,0.125
USA,ERR191770,4,4,0.25,16,1
USA,ERR191771,4,4,0.06,8,1
USA,ERR191772,4,2,0.25,16,1
USA,ERR191773,4,4,0.06,16,0.5
USA,ERR191774,2,2,0.25,16,1
USA,ERR191775,4,4,0.125,16,1
USA,ERR191776,4,4,0.25,16,1
USA,ERR191778,2,4,0.25,16,1
USA,ERR191779,0.25,0.25,0.015,0.015,0.03
USA,ERR191780,2,2,0.25,16,0.5
USA,ERR191781,2,2,0.03,8,0.5
USA,ERR191782,2,4,0.25,16,1
USA,ERR191783,2,4,0.06,16,1
USA,ERR191784,2,2,0.25,16,1
USA,ERR191785,2,2,0.06,8,0.5
USA,ERR191786,2,2,0.25,16,0.5
USA,ERR191787,2,2,0.03,16,0.5
USA,ERR191788,4,4,0.25,16,1
USA,ERR191789,4,2,0.06,8,0.5
USA,ERR855234,4,2,0.5,32,0.5
USA,ERR191791,0.5,1,0.015,4,0.25
USA,ERR191792,2,4,0.25,16,0.5
USA,ERR191793,4,32,0.06,0.015,1
USA,ERR191794,2,4,0.25,16,0.5
USA,ERR191795,1,4,0.015,8,1
USA,ERR191796,4,2,0.25,16,0.5
USA,ERR191797,1,2,0.015,8,0.5
USA,ERR191798,4,4,0.25,16,1
USA,ERR191799,1,1,0.03,4,0.5
USA,ERR191800,0.5,1,0.25,0.015,0.5
USA,ERR191801,0.5,0.25,0.015,0.015,0.5
USA,ERR191802,1,0.5,0.25,0.015,0.25
USA,ERR191803,0.5,0.5,0.015,0.015,0.25
USA,ERR191804,2,2,0.25,8,0.5
USA,ERR191805,1,2,0.015,8,0.25
USA,ERR191806,4,2,0.25,16,1
USA,ERR191807,0.25,0.25,0.015,4,0.06
USA,ERR191808,2,1,0.25,16,0.5
USA,ERR191809,4,4,0.015,16,1
USA,ERR191810,2,1,0.25,16,0.125
USA,ERR191811,2,2,0.06,16,0.25
USA,ERR191812,2,2,0.032,0.008,0.5
USA,ERR191813,2,4,0.015,0.015,1
USA,ERR191814,2,2,0.25,32,0.5
USA,ERR191815,2,1,0.03,4,1
USA,ERR191816,2,4,0.25,32,0.5
USA,ERR191817,0.5,0.5,0.125,16,0.5
USA,ERR191818,2,16,0.25,32,1
USA,ERR191819,8,32,0.015,1,0.25
USA,ERR191820,4,4,0.25,16,1
USA,ERR191821,1,1,0.06,0.015,0.25
USA,ERR191822,4,4,0.25,16,1
USA,ERR191823,2,2,0.03,8,1
USA,ERR191824,2,4,0.25,16,1
USA,ERR191825,0.5,1,0.03,0.015,16
USA,ERR223603,2,4,0.5,16,0.5
USA,ERR223604,0.25,1,0.03,0.015,16
USA,ERR223605,4,4,0.5,16,1
USA,ERR223606,2,1,0.06,0.015,0.25
USA,ERR223607,2,2,0.25,16,0.125
USA,ERR223608,4,2,0.125,16,16
USA,ERR223609,2,4,0.25,16,0.5
USA,ERR223610,4,4,0.125,16,4
USA,ERR223611,1,2,0.25,16,0.5
USA,ERR223612,0.5,1,0.015,0.015,8
USA,ERR223613,4,4,0.25,16,0.5
USA,ERR223614,2,4,0.03,16,0.25
USA,ERR223615,4,4,0.25,32,0.5
USA,ERR223616,0.25,1,0.03,0.015,16
USA,ERR223617,4,4,0.25,32,0.5
USA,ERR355927,2,2,0.015,4,0.25
USA,ERR223619,2,4,0.25,32,0.5
USA,ERR223620,0.25,0.5,0.015,2,0.125
USA,ERR223621,4,4,0.5,16,0.5
USA,ERR223622,0.25,0.5,0.015,4,0.06
USA,ERR223623,1,2,0.25,16,0.25
USA,ERR223624,0.25,1,0.03,0.015,8
USA,ERR223625,1,2,0.25,16,0.25
USA,ERR223626,0.25,0.5,0.015,0.015,8
USA,ERR223627,2,2,0.5,16,0.5
USA,ERR223628,2,2,0.06,16,0.25
USA,ERR223629,2,2,0.25,16,0.5
USA,ERR223630,0.25,0.25,0.125,16,1
USA,ERR223631,4,2,0.25,16,0.5
USA,ERR223632,0.5,0.5,0.06,0.015,0.25
USA,ERR223633,1,0.5,0.25,8,0.25
USA,ERR223634,0.25,0.5,0.03,0.015,8
USA,ERR223635,2,4,0.25,32,0.5
USA,ERR223636,2,2,0.03,16,0.5
USA,ERR223637,2,4,0.25,32,0.5
USA,ERR223638,4,2,0.06,16,0.5
USA,ERR855245,2,2,0.25,32,0.5
USA,ERR223640,4,2,0.03,16,0.5
USA,ERR223641,2,4,0.5,16,0.5
USA,ERR223642,0.25,1,0.03,0.015,8
USA,ERR223643,2,2,0.25,32,0.5
USA,ERR223644,0.25,1,0.015,0.015,16
USA,ERR223645,4,4,0.25,32,1
USA,ERR855108,4,4,0.06,32,1
USA,ERR223647,4,4,0.25,16,0.5
USA,ERR223648,0.5,1,0.015,0.015,2
USA,ERR223649,4,2,0.25,16,0.5
USA,ERR223650,0.5,1,0.06,0.015,0.5
USA,ERR223651,4,4,0.25,16,1
USA,ERR223652,4,16,0.03,1,0.25
USA,ERR223653,2,4,0.25,16,1
USA,ERR855236,2,1,0.03,4,0.5
USA,ERR223655,1,1,0.25,0.015,0.5
USA,ERR223656,16,32,0.015,8,0.5
USA,ERR223657,2,2,0.25,16,1
USA,ERR223658,2,2,0.06,16,0.5
USA,ERR223659,0.5,0.5,0.25,0.015,0.5
USA,ERR855235,32,16,0.015,4,0.5
USA,ERR223661,4,4,0.25,16,1
USA,ERR223662,0.25,1,0.03,0.015,16
USA,ERR223663,8,4,0.25,16,1
USA,ERR223664,4,2,0.03,16,0.25
USA,ERR855291,2,2,0.25,8,0.5
USA,ERR223666,0.25,2,0.015,8,1
USA,ERR223667,0.5,0.5,0.25,0.015,0.5
USA,ERR223668,1,0.5,0.015,0.015,0.5
USA,ERR223669,4,4,0.25,16,0.5
USA,ERR223670,4,2,0.03,16,0.25
USA,ERR223671,2,4,0.25,16,1
USA,ERR223672,1,2,0.015,8,1
USA,ERR223673,1,1,0.25,0.015,0.5
USA,ERR223674,4,4,0.06,16,1
USA,ERR223675,1,1,0.25,0.015,0.5
USA,ERR223676,4,4,0.06,16,0.5
USA,ERR223677,1,1,0.25,0.015,0.5
USA,ERR223678,1,1,0.015,0.015,2
USA,ERR223679,1,1,0.25,0.015,1
USA,ERR223680,0.25,1,0.03,0.015,16
USA,ERR223681,1,1,0.25,0.015,0.5
USA,ERR223682,0.25,1,0.015,0.015,16
USA,ERR223683,1,1,0.25,4,1
USA,ERR223684,1,2,0.03,16,1
USA,ERR223685,2,2,0.5,16,0.25
USA,ERR223686,1,16,0.015,2,0.25
USA,ERR223687,1,2,0.5,16,0.25
USA,ERR223688,1,1,0.015,4,0.5
USA,ERR223689,1,2,0.25,16,0.25
USA,ERR223690,16,0.25,0.015,2,0.03
USA,ERR223691,2,2,0.25,16,0.25
USA,ERR223692,8,64,0.03,2,0.25
USA,ERR223693,2,2,0.25,16,0.25
USA,ERR223694,0.25,16,0.03,1,0.25
USA,ERR223695,4,2,0.25,16,1
USA,ERR223696,4,4,0.03,16,1
USA,ERR223697,1,1,0.25,0.015,0.5
USA,ERR223698,0.5,1,0.03,0.015,2
USA,ERR222892,0.5,1,0.25,0.015,0.5
USA,ERR222893,1,1,0.015,4,0.5
USA,ERR222894,4,2,0.25,16,0.5
USA,ERR222895,4,4,0.03,16,1
USA,ERR222896,1,1,0.25,0.004,0.5
USA,ERR222897,0.25,1,0.015,0.015,16
USA,ERR222898,1,1,0.25,0.004,0.5
USA,ERR222899,0.25,0.25,0.015,0.015,0.125
USA,ERR222900,1,1,0.25,0.004,0.5
USA,ERR222901,0.25,0.5,0.03,0.015,8
USA,ERR222902,1,1,0.25,0.015,0.5
USA,ERR222903,0.25,1,0.015,0.015,8
USA,ERR222904,4,2,0.25,16,1
USA,ERR222905,0.25,0.5,0.015,4,0.06
USA,ERR222906,1,1,0.25,0.015,0.5
USA,ERR222907,1,2,0.015,8,1
USA,ERR222908,0.5,0.5,0.25,0.015,0.5
USA,ERR222909,0.5,16,0.03,1,0.25
USA,ERR222910,0.5,0.5,0.25,0.015,0.25
USA,ERR222911,1,32,0.03,1,0.25
USA,ERR222912,1,0.5,0.5,0.004,0.5
USA,ERR222913,0.5,0.5,0.015,2,0.5
USA,ERR222914,0.5,0.5,0.25,0.015,0.25
