Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolation_Source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,STRAIN,Host_disease,Host,sub_species,Methicillin
SRR7296768,WGS,302,560293050,PRJNA475751,SAMN09401041,Pathogen.cl,240729067,UNIVERSITY OF PITTSBURGH,University of Pittsburgh Medical Center,2017,public,"sra,fastq",s3,s3.us-east-1,SRX4199605,USA,North America,"USA: Pittsburgh\, Pennsylvania",NextSeq 500,wound,40.44 N 79.97 W,MRSA10230,PAIRED,RANDOM,GENOMIC,Staphylococcus aureus,ILLUMINA,2019-06-24T00:00:00Z,MRSA10230,SRP150360,MRSA10230,not collected,Homo sapiens,NA,R
SRR7296769,WGS,302,528815288,PRJNA475751,SAMN09401064,Pathogen.cl,233833536,UNIVERSITY OF PITTSBURGH,University of Pittsburgh Medical Center,2017,public,"fastq,sra",s3,s3.us-east-1,SRX4199604,USA,North America,"USA: Pittsburgh\, Pennsylvania",NextSeq 500,wound,40.44 N 79.97 W,MRSA10254,PAIRED,RANDOM,GENOMIC,Staphylococcus aureus,ILLUMINA,2019-06-24T00:00:00Z,MRSA10254,SRP150360,MRSA10254,not collected,Homo sapiens,NA,R
SRR7296772,WGS,302,337227696,PRJNA475751,SAMN09401075,Pathogen.cl,149554905,UNIVERSITY OF PITTSBURGH,University of Pittsburgh Medical Center,2017,public,"fastq,sra",s3,s3.us-east-1,SRX4199601,USA,North America,"USA: Pittsburgh\, Pennsylvania",NextSeq 500,sputum,40.44 N 79.97 W,MRSA10265,PAIRED,RANDOM,GENOMIC,Staphylococcus aureus,ILLUMINA,2019-06-24T00:00:00Z,MRSA10265,SRP150360,MRSA10265,not collected,Homo sapiens,NA,R
SRR7296809,WGS,302,418554182,PRJNA475751,SAMN09401068,Pathogen.cl,183812943,UNIVERSITY OF PITTSBURGH,University of Pittsburgh Medical Center,2017,public,"fastq,sra",s3,s3.us-east-1,SRX4199564,USA,North America,"USA: Pittsburgh\, Pennsylvania",NextSeq 500,wound,40.44 N 79.97 W,MRSA10258,PAIRED,RANDOM,GENOMIC,Staphylococcus aureus,ILLUMINA,2019-06-24T00:00:00Z,MRSA10258,SRP150360,MRSA10258,not collected,Homo sapiens,NA,R
SRR7296811,WGS,302,592490478,PRJNA475751,SAMN09401067,Pathogen.cl,261449824,UNIVERSITY OF PITTSBURGH,University of Pittsburgh Medical Center,2017,public,"sra,fastq",s3,s3.us-east-1,SRX4199562,USA,North America,"USA: Pittsburgh\, Pennsylvania",NextSeq 500,wound,40.44 N 79.97 W,MRSA10257,PAIRED,RANDOM,GENOMIC,Staphylococcus aureus,ILLUMINA,2019-06-24T00:00:00Z,MRSA10257,SRP150360,MRSA10257,not collected,Homo sapiens,NA,R
SRR7296836,WGS,302,583288840,PRJNA475751,SAMN09401107,Pathogen.cl,247344083,UNIVERSITY OF PITTSBURGH,University of Pittsburgh Medical Center,2017,public,"fastq,sra",s3,s3.us-east-1,SRX4199537,USA,North America,"USA: Pittsburgh\, Pennsylvania",NextSeq 500,blood,40.44 N 79.97 W,MRSA10297,PAIRED,RANDOM,GENOMIC,Staphylococcus aureus,ILLUMINA,2019-06-24T00:00:00Z,MRSA10297,SRP150360,MRSA10297,not collected,Homo sapiens,NA,R
SRR7296838,WGS,302,469011738,PRJNA475751,SAMN09400900,Pathogen.cl,205474534,UNIVERSITY OF PITTSBURGH,University of Pittsburgh Medical Center,2016,public,"sra,fastq",s3,s3.us-east-1,SRX4199535,USA,North America,"USA: Pittsburgh\, Pennsylvania",NextSeq 500,sputum,40.44 N 79.97 W,MRSA10072,PAIRED,RANDOM,GENOMIC,Staphylococcus aureus,ILLUMINA,2019-06-24T00:00:00Z,MRSA10072,SRP150360,MRSA10072,not collected,Homo sapiens,NA,R
SRR7296839,WGS,302,755720572,PRJNA475751,SAMN09400899,Pathogen.cl,324299800,UNIVERSITY OF PITTSBURGH,University of Pittsburgh Medical Center,2016,public,"fastq,sra",s3,s3.us-east-1,SRX4199534,USA,North America,"USA: Pittsburgh\, Pennsylvania",NextSeq 500,sputum,40.44 N 79.97 W,MRSA10071,PAIRED,RANDOM,GENOMIC,Staphylococcus aureus,ILLUMINA,2019-06-24T00:00:00Z,MRSA10071,SRP150360,MRSA10071,not collected,Homo sapiens,NA,R
SRR7296840,WGS,302,199293726,PRJNA475751,SAMN09400902,Pathogen.cl,86576088,UNIVERSITY OF PITTSBURGH,University of Pittsburgh Medical Center,2016,public,"sra,fastq",s3,s3.us-east-1,SRX4199533,USA,North America,"USA: Pittsburgh\, Pennsylvania",NextSeq 500,blood,40.44 N 79.97 W,MRSA10075,PAIRED,RANDOM,GENOMIC,Staphylococcus aureus,ILLUMINA,2019-06-24T00:00:00Z,MRSA10075,SRP150360,MRSA10075,not collected,Homo sapiens,NA,R
SRR7296841,WGS,302,355598356,PRJNA475751,SAMN09400901,Pathogen.cl,155292423,UNIVERSITY OF PITTSBURGH,University of Pittsburgh Medical Center,2016,public,"fastq,sra",s3,s3.us-east-1,SRX4199532,USA,North America,"USA: Pittsburgh\, Pennsylvania",NextSeq 500,wound,40.44 N 79.97 W,MRSA10073,PAIRED,RANDOM,GENOMIC,Staphylococcus aureus,ILLUMINA,2019-06-24T00:00:00Z,MRSA10073,SRP150360,MRSA10073,not collected,Homo sapiens,NA,R
SRR7296842,WGS,302,110076886,PRJNA475751,SAMN09400904,Pathogen.cl,47870161,UNIVERSITY OF PITTSBURGH,University of Pittsburgh Medical Center,2016,public,"fastq,sra",s3,s3.us-east-1,SRX4199531,USA,North America,"USA: Pittsburgh\, Pennsylvania",NextSeq 500,blood,40.44 N 79.97 W,MRSA10077,PAIRED,RANDOM,GENOMIC,Staphylococcus aureus,ILLUMINA,2019-06-24T00:00:00Z,MRSA10077,SRP150360,MRSA10077,not collected,Homo sapiens,NA,R
SRR7296843,WGS,302,348024800,PRJNA475751,SAMN09400903,Pathogen.cl,153941050,UNIVERSITY OF PITTSBURGH,University of Pittsburgh Medical Center,2016,public,"fastq,sra",s3,s3.us-east-1,SRX4199530,USA,North America,"USA: Pittsburgh\, Pennsylvania",NextSeq 500,sputum,40.44 N 79.97 W,MRSA10076,PAIRED,RANDOM,GENOMIC,Staphylococcus aureus,ILLUMINA,2019-06-24T00:00:00Z,MRSA10076,SRP150360,MRSA10076,not collected,Homo sapiens,NA,R
SRR7296844,WGS,302,312112168,PRJNA475751,SAMN09400906,Pathogen.cl,136508583,UNIVERSITY OF PITTSBURGH,University of Pittsburgh Medical Center,2016,public,"sra,fastq",s3,s3.us-east-1,SRX4199529,USA,North America,"USA: Pittsburgh\, Pennsylvania",NextSeq 500,blood,40.44 N 79.97 W,MRSA10079,PAIRED,RANDOM,GENOMIC,Staphylococcus aureus,ILLUMINA,2019-06-24T00:00:00Z,MRSA10079,SRP150360,MRSA10079,not collected,Homo sapiens,NA,R
SRR7296845,WGS,302,516797802,PRJNA475751,SAMN09400905,Pathogen.cl,223831019,UNIVERSITY OF PITTSBURGH,University of Pittsburgh Medical Center,2016,public,"fastq,sra",s3,s3.us-east-1,SRX4199528,USA,North America,"USA: Pittsburgh\, Pennsylvania",NextSeq 500,wound,40.44 N 79.97 W,MRSA10078,PAIRED,RANDOM,GENOMIC,Staphylococcus aureus,ILLUMINA,2019-06-24T00:00:00Z,MRSA10078,SRP150360,MRSA10078,not collected,Homo sapiens,NA,R
