Run ID,SRA Study ID,Dataset(s),AZM MIC,CIP MIC,AST method
SRR2911724,SRP065910,A. baumannii,NA,<=0.5,BD-Phoenix
SRR2911726,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR2911739,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR2911742,SRP065910,A. baumannii,NA,1,BD-Phoenix
SRR2916633,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR2916634,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR2916635,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR2916636,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR2916656,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3130307,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3130308,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3130309,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3130310,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3130311,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131127,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131130,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131131,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131132,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131145,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131146,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131147,SRP065910,A. baumannii,NA,2,BD-Phoenix
SRR3131148,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131149,SRP065910,A. baumannii,NA,1,BD-Phoenix
SRR3131150,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131151,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131152,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131153,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131154,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131155,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131156,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131157,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131158,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131159,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131160,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131162,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131163,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131164,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131165,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131166,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131167,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131168,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131169,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131170,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131171,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131172,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131173,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131206,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131207,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131208,SRP065910,A. baumannii,NA,1,BD-Phoenix
SRR3131209,SRP065910,A. baumannii,NA,1,BD-Phoenix
SRR3131210,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131211,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131212,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131213,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131214,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131215,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131216,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131217,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131219,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131220,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131221,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131222,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131223,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131224,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131225,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131226,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131227,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131228,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131229,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131230,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131234,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131235,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131236,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131237,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131238,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131239,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3131240,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3133084,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3133085,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3133086,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3133087,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3133088,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3133089,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3133090,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3133091,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3133092,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3133093,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3133094,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3133095,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3133096,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3133097,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3133098,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3133099,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3133100,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3133101,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3133102,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3133103,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3133104,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3133105,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3133106,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3135171,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3135275,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3137567,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3137568,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3137569,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3137570,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3137571,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3137572,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3137573,SRP065910,A. baumannii,NA,<=0.05,BD-Phoenix
SRR3137574,SRP065910,A. baumannii,NA,<=0.05,BD-Phoenix
SRR3137575,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3137579,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3137580,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3137581,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3137582,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3137583,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3137584,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3137585,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3137586,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3137587,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3137588,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3137589,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3137590,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3146378,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3146379,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3146380,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3146381,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3146382,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3146383,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3146384,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3146385,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3146386,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3146387,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3151888,SRP065910,A. baumannii,NA,<=0.05,BD-Phoenix
SRR3151889,SRP065910,A. baumannii,NA,<=0.05,BD-Phoenix
SRR3151890,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3151891,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3152160,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3152161,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3152162,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3152492,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3152495,SRP065910,A. baumannii,NA,<=0.05,BD-Phoenix
SRR3152496,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3152497,SRP065910,A. baumannii,NA,<=0.05,BD-Phoenix
SRR3152498,SRP065910,A. baumannii,NA,2,BD-Phoenix
SRR3152499,SRP065910,A. baumannii,NA,<=0.05,BD-Phoenix
SRR3152500,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3152501,SRP065910,A. baumannii,NA,2,BD-Phoenix
SRR3152502,SRP065910,A. baumannii,NA,<=0.05,BD-Phoenix
SRR3152503,SRP065910,A. baumannii,NA,<=0.05,BD-Phoenix
SRR3152504,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3152505,SRP065910,A. baumannii,NA,<=0.05,BD-Phoenix
SRR3152506,SRP065910,A. baumannii,NA,<=0.05,BD-Phoenix
SRR3152507,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3152508,SRP065910,A. baumannii,NA,<=0.05,BD-Phoenix
SRR3152510,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3159147,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3159148,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3159149,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3159150,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3159151,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3159152,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3159153,SRP065910,A. baumannii,NA,>2,BD-Phoenix
SRR3159154,SRP065910,A. baumannii,NA,>2,BD-Phoenix
