Run ID,SRA Study ID,Dataset(s),AZM MIC,CIP MIC,AST method
SRR5385538,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5385695,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5385714,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5385739,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5385767,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5385962,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5385970,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5386152,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5386557,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5386754,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5386758,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5386780,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5386927,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5386930,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5387328,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5387403,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5387427,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5973252,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5973253,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5973299,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5973304,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5973325,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5973354,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5973363,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5973365,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5973366,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5973367,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5973372,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5973374,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5973385,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5973388,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5973403,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5973405,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5973409,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5385399,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5385464,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5385473,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5385506,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5385537,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5385637,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5385638,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5385701,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5385706,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5385709,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5385720,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5385725,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5385741,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5385742,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5385744,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5385775,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5385795,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5385802,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5385806,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5385886,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5385892,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5385908,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5385927,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5385960,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5385969,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5385972,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5385982,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5385991,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5385994,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5385996,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5386006,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5386037,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5386043,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5386060,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5386098,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5386124,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5386130,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5386137,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5386141,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5386144,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5386155,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5386182,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5386198,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5386226,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5386265,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5386280,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5386292,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5386314,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5386329,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5386347,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5386350,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5386364,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5386377,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5386386,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5386418,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5386423,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5386481,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5386491,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5386496,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5386515,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5386516,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5386572,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5386627,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5386651,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5386686,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5386697,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5386700,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5386708,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5386709,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5386767,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5386809,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5386849,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5386999,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5387005,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5387027,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5387031,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5387035,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5387185,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5387196,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5387197,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5387225,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5387248,SRP102664,K. pneumoniae,NA,1,BD-Phoenix
SRR5387252,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5387270,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
SRR5387279,SRP102664,K. pneumoniae,NA,<=0.5,BD-Phoenix
