Run ID,SRA Study ID,Dataset(s),AZM MIC,CIP MIC,AST method
ERR1204772,ERP011192,1,1.5,0.016,Etest
ERR1204773,ERP011192,1,0.25,1,Etest
ERR1204774,ERP011192,1,0.125,<=0.008,Etest
ERR1204775,ERP011192,1,0.19,<=0.008,Etest
ERR1204776,ERP011192,1,0.75,<=0.008,Etest
ERR1204777,ERP011192,1,0.19,3,Etest
ERR1204778,ERP011192,1,0.38,<=0.008,Etest
ERR1204779,ERP011192,1,0.38,<=0.008,Etest
ERR1204780,ERP011192,1,0.125,<=0.008,Etest
ERR1204781,ERP011192,1,<=0.03,<=0.008,Etest
ERR1204782,ERP011192,1,0.25,>=32,Etest
ERR1204783,ERP011192,1,0.25,<=0.008,Etest
ERR1204784,ERP011192,1,0.75,>=32,Etest
ERR1204785,ERP011192,1,0.5,<=0.008,Etest
ERR1204786,ERP011192,1,0.5,<=0.008,Etest
ERR1204787,ERP011192,1,<=0.03,<=0.008,Etest
ERR1204788,ERP011192,1,<=0.03,<=0.008,Etest
ERR1204789,ERP011192,1,0.064,<=0.008,Etest
ERR1204790,ERP011192,1,0.25,<=0.008,Etest
ERR1204791,ERP011192,1,0.38,<=0.008,Etest
ERR1204792,ERP011192,1,0.094,<=0.008,Etest
ERR1204793,ERP011192,1,0.125,<=0.008,Etest
ERR1204794,ERP011192,1,0.047,<=0.008,Etest
ERR1204795,ERP011192,1,<=0.03,<=0.008,Etest
ERR1204796,ERP011192,1,0.094,<=0.008,Etest
ERR1204797,ERP011192,1,0.094,<=0.008,Etest
ERR1204798,ERP011192,1,0.75,0.023,Etest
ERR1204799,ERP011192,1,0.047,<=0.008,Etest
ERR1204800,ERP011192,1,0.25,<=0.008,Etest
ERR1204801,ERP011192,1,<=0.03,<=0.008,Etest
ERR1204802,ERP011192,1,0.125,<=0.008,Etest
ERR1204803,ERP011192,1,<=0.03,4,Etest
ERR1204804,ERP011192,1,0.125,8,Etest
ERR1204805,ERP011192,1,<=0.03,<=0.008,Etest
ERR1204806,ERP011192,1,0.38,>=32,Etest
ERR1204807,ERP011192,1,0.25,<=0.008,Etest
ERR1204812,ERP011192,1,0.5,8,Etest
