run_accession,study_accession,sample_accession,tax_id,scientific_name,submitted_ftp,StrainID,AccessionIDs,ST,Cefoxitin,Erythromycin,Tetracycline,Rifampicin,FusidicAcid,Gentamicin,Chloramphenicol,Mupirocin,Linezolid,Ciprofloxacin,Trimethoprim
ERR3826069,PRJEB32286,SAMEA5672310,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826069/HICF0001rpt1_396610.pe.markdup.bam,HICF0001,ERS3476314,22,R,R,S,S,S,S,S,S,S,R,-
ERR3826070,PRJEB32286,SAMEA5672311,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826070/HICF0002rpt1_396919.pe.markdup.bam,HICF0002,ERS3476315,22,R,R,R,S,S,S,S,S,S,R,-
ERR3826071,PRJEB32286,SAMEA5672312,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826071/HICF0003rpt1_396073.pe.markdup.bam,HICF0003,ERS3476316,59,R,S,S,S,R,S,S,S,S,S,-
ERR3826072,PRJEB32286,SAMEA5672313,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826072/HICF0004rpt1_396583.pe.markdup.bam,HICF0004,ERS3476317,22,R,S,S,S,S,S,S,S,S,R,-
ERR3826073,PRJEB32286,SAMEA5672314,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826073/HICF0005rpt1_397171.pe.markdup.bam,HICF0005,ERS3476318,8,R,R,S,S,S,S,S,S,S,R,-
ERR3826074,PRJEB32286,SAMEA5672315,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826074/HICF0006rpt1_397603.pe.markdup.bam,HICF0006,ERS3476319,59,R,R,S,S,R,S,S,S,S,R,-
ERR3826075,PRJEB32286,SAMEA5672316,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826075/HICF0007rpt1_397102.pe.markdup.bam,HICF0007,ERS3476320,5,R,R,S,S,S,S,S,S,S,R,-
ERR3826076,PRJEB32286,SAMEA5672317,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826076/HICF0008rpt1_395908.pe.markdup.bam,HICF0008,ERS3476321,22,R,S,S,S,S,S,S,S,S,R,-
ERR3826077,PRJEB32286,SAMEA5672318,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826077/HICF0009rpt1_397405.pe.markdup.bam,HICF0009,ERS3476322,22,R,R,S,S,S,S,S,S,S,R,-
ERR3826078,PRJEB32286,SAMEA5672319,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826078/HICF0010rpt1_396784.pe.markdup.bam,HICF0010,ERS3476323,22,R,S,S,S,S,S,S,S,S,S,-
ERR3826079,PRJEB32286,SAMEA5672304,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826079/HICF0015rpt1_396976.pe.markdup.bam,HICF0015,ERS3476308,59,R,R,S,S,R,S,S,S,S,S,-
ERR3826080,PRJEB32286,SAMEA5672305,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826080/HICF0016rpt1_396730.pe.markdup.bam,HICF0016,ERS3476309,22,R,R,S,S,S,S,S,S,S,R,-
ERR3826081,PRJEB32286,SAMEA5672306,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826081/HICF0019rpt1_395956.pe.markdup.bam,HICF0019,ERS3476310,22,R,S,S,S,S,S,S,R,S,R,-
ERR3826082,PRJEB32286,SAMEA5672307,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826082/HICF0020rpt1_397231.pe.markdup.bam,HICF0020,ERS3476311,45*,R,S,S,S,R,S,S,S,S,S,-
ERR3826083,PRJEB32286,SAMEA5672308,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826083/HICF0021rpt1_397630.pe.markdup.bam,HICF0021,ERS3476312,45,R,S,S,S,S,S,S,S,S,S,-
