run_accession,study_accession,Sample,tax_id,scientific_name,submitted_ftp,Isolate,Supplier (Geographic origin),TOB,MIC*,CIP,MIC*2,MEM,MIC*3,CAZ,MIC*4
SRR8737281,PRJNA526797,SAMN11110719,287,Pseudomonas aeruginosa,NA,ZG301975,Private practice laboratory (Goerlitz),S,1,S,0.5,R,8,I,16
SRR8737282,PRJNA526797,SAMN11110718,287,Pseudomonas aeruginosa,NA,ZG205864,Private practice laboratory (Goerlitz),R,128,R,16,I,4,R,32
SRR8737283,PRJNA526797,SAMN11110721,287,Pseudomonas aeruginosa,NA,ZG302367,Private practice laboratory (Goerlitz),S,1,S,0.125,S,0.25,S,2
SRR8737284,PRJNA526797,SAMN11110720,287,Pseudomonas aeruginosa,NA,ZG302359,Private practice laboratory (Goerlitz),S,0.5,S,0.06,S,1,S,1
SRR8737285,PRJNA526797,SAMN11110690,287,Pseudomonas aeruginosa,NA,PSAE1647,University of Freiburg (Munich),S,1,I,2,I,4,S,1
SRR8737286,PRJNA526797,SAMN11110691,287,Pseudomonas aeruginosa,NA,PSAE1649,University of Freiburg (Munich),S,0.125,S,0.25,S,2,S,1
SRR8737287,PRJNA526797,SAMN11110672,287,Pseudomonas aeruginosa,NA,MHH17441,Hannover Medical School (Hanover),R,128,R,32,R,16,R,32
SRR8737288,PRJNA526797,SAMN11110703,287,Pseudomonas aeruginosa,NA,PSAE1975,University of Freiburg (Regensburg),S,4,S,0.5,R,32,S,8
SRR8737289,PRJNA526797,SAMN11110501,287,Pseudomonas aeruginosa,NA,ESP046,University Hospital Palma de Mallorca (Spain),S,2,S,0.125,S,0.25,S,2
SRR8737290,PRJNA526797,SAMN11110696,287,Pseudomonas aeruginosa,ftp.sra.ebi.ac.uk/vol1/run/SRR873/SRR8737290/PSAE1745.bam.bai,PSAE1745,University of Freiburg (Munich),R,64,R,4,I,4,S,4
SRR8737291,PRJNA526797,SAMN11110743,287,Pseudomonas aeruginosa,NA,ZG8038581181,Private practice laboratory (Chemnitz),R,1,R,8,R,8,R,64
SRR8737292,PRJNA526797,SAMN11110742,287,Pseudomonas aeruginosa,NA,ZG8006959,Private practice laboratory (Leipzig),R,128,R,16,R,64,R,128
SRR8737293,PRJNA526797,SAMN11110745,287,Pseudomonas aeruginosa,NA,ZG8525123,Private practice laboratory (Leipzig),R,64,R,16,R,16,R,128
SRR8737294,PRJNA526797,SAMN11110744,287,Pseudomonas aeruginosa,NA,ZG8510487,Private practice laboratory (Leipzig),R,256,R,32,R,64,R,128
SRR8737295,PRJNA526797,SAMN11110531,287,Pseudomonas aeruginosa,NA,ESP088,University Hospital Palma de Mallorca (Spain),R,256,R,256,R,8,R,64
SRR8737296,PRJNA526797,SAMN11110450,287,Pseudomonas aeruginosa,NA,CH5356,Charité Berlin (Berlin),R,256,R,16,S,2,S,4
SRR8737297,PRJNA526797,SAMN11110451,287,Pseudomonas aeruginosa,NA,CH5362,Charité Berlin (Berlin),S,0.25,I,2,I,4,S,1
SRR8737298,PRJNA526797,SAMN11110446,287,Pseudomonas aeruginosa,NA,CH5267,Charité Berlin (Berlin),S,0.5,S,0.5,R,8,I,16
SRR8737299,PRJNA526797,SAMN11110447,287,Pseudomonas aeruginosa,NA,CH5291,Charité Berlin (Berlin),S,1,S,0.5,R,8,R,32
SRR8737300,PRJNA526797,SAMN11110448,287,Pseudomonas aeruginosa,NA,CH5334,Charité Berlin (Berlin),S,0.5,R,4,R,8,S,2
SRR8737301,PRJNA526797,SAMN11110449,287,Pseudomonas aeruginosa,NA,CH5353,Charité Berlin (Berlin),S,0.5,S,0.06,R,8,I,16
SRR8737302,PRJNA526797,SAMN11110442,287,Pseudomonas aeruginosa,ftp.sra.ebi.ac.uk/vol1/run/SRR873/SRR8737302/CH5182.bam;ftp.sra.ebi.ac.uk/vol1/run/SRR873/SRR8737302/CH5182.bam.bai,CH5182,Charité Berlin (Berlin),S,1,I,2,R,16,R,32
SRR8737303,PRJNA526797,SAMN11110443,287,Pseudomonas aeruginosa,NA,CH5193,Charité Berlin (Berlin),R,1024,R,32,S,1,R,128
SRR8737304,PRJNA526797,SAMN11110444,287,Pseudomonas aeruginosa,NA,CH5206,Charité Berlin (Berlin),S,0.5,S,1,S,0.5,R,32
SRR8737305,PRJNA526797,SAMN11110445,287,Pseudomonas aeruginosa,NA,CH5262,Charité Berlin (Berlin),S,0.5,S,1,S,2,S,8
SRR8737306,PRJNA526797,SAMN11110661,287,Pseudomonas aeruginosa,NA,MHH16427,Hannover Medical School (Hanover),S,1,I,2,R,16,I,16
SRR8737307,PRJNA526797,SAMN11110660,287,Pseudomonas aeruginosa,NA,MHH16379,Hannover Medical School (Hanover),S,1,S,0.5,R,8,S,4
SRR8737308,PRJNA526797,SAMN11110659,287,Pseudomonas aeruginosa,NA,MHH16371,Hannover Medical School (Hanover),S,0.25,R,4,S,2,I,16
SRR8737309,PRJNA526797,SAMN11110658,287,Pseudomonas aeruginosa,NA,MHH16208,Hannover Medical School (Hanover),S,1,I,2,R,16,I,16
SRR8737310,PRJNA526797,SAMN11110657,287,Pseudomonas aeruginosa,NA,MHH16050,Hannover Medical School (Hanover),S,4,S,1,R,128,R,256
SRR8737311,PRJNA526797,SAMN11110656,287,Pseudomonas aeruginosa,NA,MHH15817,Hannover Medical School (Hanover),S,1,I,2,S,0.5,R,32
SRR8737312,PRJNA526797,SAMN11110655,287,Pseudomonas aeruginosa,NA,MHH15280,Hannover Medical School (Hanover),S,1,S,0.125,I,4,S,2
SRR8737313,PRJNA526797,SAMN11110654,287,Pseudomonas aeruginosa,NA,MHH15275,Hannover Medical School (Hanover),R,32,R,8,S,2,S,4
SRR8737314,PRJNA526797,SAMN11110583,287,Pseudomonas aeruginosa,NA,F2017,University Hospital Frankfurt (Frankfurt),S,1,R,32,R,16,S,4
