run_accession,study_accession,BioSample,tax_id,scientific_name,submitted_ftp,Strain_Number,Origin,Year,Phenotype,Reference
SRR5126097,PRJNA186035,SAMN06074063,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-246,Human,2006,NAL,"Campioni et al., 2012."
SRR5126098,PRJNA186035,SAMN06074065,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-242,Food,2005,Sensitive,"Campioni et al., 2012."
SRR5126099,PRJNA186035,SAMN06074064,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-244,Human,2006,NAL,"Campioni et al., 2012."
SRR5126100,PRJNA186035,SAMN06074060,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-251,Human,2006,NAL,"Campioni et al., 2012."
SRR5126101,PRJNA186035,SAMN06074062,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-247,Human,2006,Sensitive,"Campioni et al., 2012."
SRR5126102,PRJNA186035,SAMN06074061,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-249,Human,2006,NAL,"Campioni et al., 2012."
SRR5126104,PRJNA186035,SAMN06074059,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-253,Human,2009,NAL,"Campioni et al., 2012."
SRR5126105,PRJNA186035,SAMN06074057,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-260,Human,2009,NAL,"Campioni et al., 2012."
SRR5126106,PRJNA186035,SAMN06074055,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-267,Human,2009,NAL,"Campioni et al., 2012."
SRR5126107,PRJNA186035,SAMN06074058,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-255,Human,2009,NAL,"Campioni et al., 2012."
SRR5126108,PRJNA186035,SAMN06074051,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-272,Human,2010,Sensitive,"Campioni et al., 2012."
