Strain,Accession,BioSample,BioProject,Lineage                                       (Clone-ST-SCCmec),CHL,CIP,CLI,ERI,GEN,MET,OXA,RIF,SXT,TET
UB466,NZ_QEKF00000000.1,SAMN08977784,PRJNA291213,NY/JP-ST5-II,R,R,R,R,R,S,R,S,S,S
UCL436,NZ_QEKB00000000.1,SAMN08977798,PRJNA291213,CH-ST5-I,S,R,R,R,R,S,R,S,S,S
C329,NZ_LALH00000000.1,SAMN02777076,PRJNA247399,USA300-LV-ST8-IVc,S,S,S,S,S,S,R,S,S,R
E987,NZ_NMOR00000000.1,SAMN07313984,PRJNA393041,CH-ST228-I,S,R,R,R,R,S,R,S,S,S
P1108,NZ_NMOQ00000000.1,SAMN07313985,PRJNA393041,CH-ST5-I,R,R,R,R,R,S,R,S,S,S
UP106,NZ_MJIA00000000.1,SAMN05721752,PRJNA291213,CH-ST5-I,S,R,R,R,R,S,R,S,S,R
P1209,NZ_NMOP00000000.1,SAMN07313986,PRJNA393041,CH-ST5-I,S,R,R,R,R,S,R,S,S,S
UA851,JAANEO000000000,SAMN13577538,PRJNA595928,CH-ST5-I,S,R,R,R,R,S,R,S,S,S
UA859,JAANEN000000000,SAMN13577539,PRJNA595928,CH-ST5-I,S,R,R,R,R,S,R,S,S,S
UA873,JAANEM000000000,SAMN13577540,PRJNA595928,CH-ST5-I,S,R,R,R,R,S,R,S,S,S
UCL395,JAANEL000000000,SAMN13577541,PRJNA595928,CH-ST5-I,S,R,R,R,R,S,R,S,S,S
UCL361,JAANEK000000000,SAMN13577542,PRJNA595928,CH-ST5-I,S,R,R,R,R,S,R,S,S,S
UCL420,JAANEJ000000000,SAMN13577543,PRJNA595928,CH-ST5-I,S,R,R,R,R,S,R,S,S,S
UCL412,JAANEI000000000,SAMN13577544,PRJNA595928,CH-ST5-I,S,R,R,R,R,S,R,S,S,S
UCL381,JAANEH000000000,SAMN13577545,PRJNA595928,CH-ST5-I,S,R,R,R,R,S,R,S,S,S
UCL432,JAANEG000000000,SAMN13577546,PRJNA595928,CH-ST5-I,S,R,R,R,R,S,R,S,S,S
UCL752,JAANEF000000000,SAMN13577547,PRJNA595928,CH-ST5-I,S,R,R,R,R,S,R,S,S,S
UCL461,JAANEE000000000,SAMN13577548,PRJNA595928,CH-ST5-I,S,R,R,R,R,S,R,S,S,S
C591,JAANED000000000,SAMN13577549,PRJNA595928,CH-ST5-I,S,R,R,R,R,S,R,S,S,S
UE1097,JAANEC000000000,SAMN13577550,PRJNA595928,BR-ST1341-III,R,R,R,R,R,S,R,R,R,R
UP1058,JAANEB000000000,SAMN13577551,PRJNA595928,CH-ST5-I,S,R,R,R,R,S,R,R,S,S
UP1081,JAANEA000000000,SAMN13577552,PRJNA595928,CH-ST5-I,R,R,R,R,R,S,R,S,S,S
P1112,JAANDZ000000000,SAMN13577553,PRJNA595928,CH-ST5-I,R,R,R,R,R,S,R,S,S,S
UP977,JAANDY000000000,SAMN13577554,PRJNA595928,CH-ST5-I,R,R,R,R,R,S,R,S,S,S
UP1049,JAANDX000000000,SAMN13577555,PRJNA595928,CH-ST5-I,S,R,R,R,R,S,R,S,S,S
P1923,JAANDW000000000,SAMN13577556,PRJNA595928,CH-ST5-I,R,R,R,R,R,S,R,S,S,S
