pubMLST id,Strain name,aliases,country,year,month,isolation date,received date,disease,source,epidemiology,species,penner,aspA,glnA,gltA,glyA,pgm,tkt,uncA,ST,clonal complex,arsP,acr3,23S_A2075G,50S_L22_A103V,aad9,aadE,aph(3')-IIIa,blaOXA,blaOXA-184,blaOXA-193,blaOXA-447,blaOXA-449,blaOXA-460,blaOXA-461,blaOXA-489,blaOXA-577,blaOXA-580,blaOXA-591,blaOXA-603,blaOXA-631,gyrA_T86I,sat4,tet(O),Erythromycin MIC,Ery int,Streptomycin MIC,Strep int,Gentamicin MIC,Gen int,Nalidixic acid MIC,Nal int,Ciprofloxacin MIC,Cip int,Tetracycline MIC,Tet int
76153,54567,NA,Israel,2007,NA,NA,NA,NA,human blood culture,NA,Campylobacter jejuni,NA,3,1,5,17,11,11,6,49,ST-49 complex,+,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,<=       1,S,=       1,S,=    0.25,S,=       4,S,<=    0.12,S,=       8,R
76154,38345,NA,Israel,2003,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,1,2,3,4,5,9,3,42,ST-42 complex,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,<=       1,S,=       2,S,=     0.5,S,=       4,S,<=    0.12,S,=      64,R
76155,43020,NA,Israel,2004,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,3,1,5,17,11,11,6,49,ST-49 complex,+,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,<=       1,S,=       1,S,=     0.5,S,=       4,S,<=    0.12,S,=       8,R
76156,73241,NA,Israel,2010,NA,NA,NA,NA,human blood culture,NA,Campylobacter jejuni,NA,4,7,10,4,42,7,1,137,ST-45 complex,+,+,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,+,<=       1,S,>      16,R,=    0.25,S,=      64,R,=       8,R,=      64,R
76157,49467,NA,Israel,2006,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,10,2,50,62,91,73,45,468,NA,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,<=       1,S,=       2,S,=     0.5,S,=       4,S,<=    0.12,S,<=     0.5,S
76158,48795,NA,Israel,2006,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,79,55,5,10,11,1,6,3269,ST-446 complex,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,+,<=       1,S,=       1,S,=    0.25,S,>      64,R,=       8,R,=      64,R
76159,48617,NA,Israel,2006,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,1,2,8,4,5,9,3,6566,ST-42 complex,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<=       1,S,=       2,S,=     0.5,S,=       4,S,<=    0.12,S,<=     0.5,S
76160,49205,NA,Israel,2006,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,3,1,5,17,11,11,6,49,ST-49 complex,+,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,<=       1,S,=       2,S,=     0.5,S,=       4,S,<=    0.12,S,=      16,R
76161,42802,NA,Israel,2004,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,79,55,5,10,11,1,6,3269,ST-446 complex,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,<=       1,S,=       1,S,=    0.25,S,=       4,S,<=    0.12,S,>      64,R
76162,59449,NA,Israel,2008,NA,NA,NA,NA,human blood culture,NA,Campylobacter jejuni,NA,3,1,5,17,11,11,6,49,ST-49 complex,+,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,+,<=       1,S,=       1,S,=    0.25,S,=      64,R,=       8,R,>      64,R
76163,45955,NA,Israel,2005,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,1,2,8,4,5,9,3,6566,ST-42 complex,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<=       1,S,=       2,S,=     0.5,S,=       8,S,<=    0.12,S,<=     0.5,S
76164,39250,NA,Israel,2003,NA,NA,NA,NA,human blood culture,NA,Campylobacter jejuni,NA,1,2,3,4,5,9,3,42,ST-42 complex,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,<=       1,S,=       2,S,=     0.5,S,=       8,S,<=    0.12,S,<=     0.5,S
76165,54898,NA,Israel,2007,NA,NA,NA,NA,human blood culture,NA,Campylobacter jejuni,NA,3,1,5,84,11,11,6,467,ST-49 complex,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,+,<=       1,S,=       2,S,=     0.5,S,>      64,R,=      16,R,>      64,R
76166,45214,NA,Israel,2005,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,489,1,12,3,2,1,5,9232,ST-21 complex,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,+,<=       1,S,=       2,S,=     0.5,S,>      64,R,=      16,R,=       4,R
76167,73629,NA,Israel,2010,NA,NA,NA,NA,human blood culture,NA,Campylobacter jejuni,NA,1,2,5,4,5,9,3,1751,ST-42 complex,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,<=       1,S,=       2,S,=     0.5,S,>      64,R,=       8,R,>      64,R
76168,57644,NA,Israel,2008,NA,NA,NA,NA,human blood culture,NA,Campylobacter jejuni,NA,3,1,5,17,11,11,6,49,ST-49 complex,+,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,+,<=       1,S,=       2,S,=     0.5,S,>      64,R,=       8,R,=      16,R
76169,42948,NA,Israel,2004,NA,NA,NA,NA,human blood culture,NA,Campylobacter jejuni,NA,1,6,60,24,12,28,1,508,ST-508 complex,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<=       1,S,=       2,S,=     0.5,S,=       8,S,<=    0.12,S,<=     0.5,S
76170,75443,NA,Israel,2010,NA,NA,NA,NA,human blood culture,NA,Campylobacter jejuni,NA,1,2,8,4,5,9,3,6566,ST-42 complex,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,<=       1,S,>      16,R,=     0.5,S,=       4,S,<=    0.12,S,=      64,R
76171,78023,NA,Israel,2011,NA,NA,NA,NA,human blood culture,NA,Campylobacter jejuni,NA,1,2,8,4,5,9,3,6566,ST-42 complex,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<=       1,S,=       1,S,=    0.25,S,>      64,R,=      16,R,>      64,R
76172,55519,NA,Israel,2007,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,2,1,12,3,2,1,5,50,ST-21 complex,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,+,<=       1,S,=       2,S,=     0.5,S,>      64,R,=      16,R,>      64,R
76173,86664,NA,Israel,2012,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,2,1,12,3,2,1,5,50,ST-21 complex,+,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,+,<=       1,S,>      16,R,=     0.5,S,>      64,R,>      16,R,>      64,R
76174,56786,NA,Israel,2008,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,2,1,1,3,2,1,5,21,ST-21 complex,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,+,<=       1,S,=       2,S,=     0.5,S,>      64,R,=      16,R,=      64,R
76175,52041,NA,Israel,2006,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,2,1,1,3,2,1,5,21,ST-21 complex,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,+,<=       1,S,=       2,S,=     0.5,S,>      64,R,=      16,R,=      64,R
76176,52105,NA,Israel,2006,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,2,1,5,10,2,1,5,1359,ST-21 complex,+,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,+,<=       1,S,=       1,S,=    0.25,S,=      64,R,=      16,R,=      64,R
76177,43912,NA,Israel,2004,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,2,1,12,3,2,1,5,50,ST-21 complex,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,+,<=       1,S,=       2,S,=     0.5,S,>      64,R,=      16,R,=       4,R
76178,42548,NA,Israel,2004,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,2,1,12,3,2,1,5,50,ST-21 complex,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,<=       1,S,=       2,S,=     0.5,S,>      64,R,=       8,R,<=     0.5,S
76179,211p,NA,Israel,2008,NA,NA,NA,NA,chicken,NA,Campylobacter jejuni,NA,2,1,5,10,2,1,5,1359,ST-21 complex,+,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,+,<=       1,S,=       1,S,=     0.5,S,>      64,R,>      16,R,>      64,R
