Assembly,Level,WGS,BioSample,id,Taxonomy,Accession,country,source,method,amikacin,aztreonam,cefepime,cefoxitin,ceftazidime,ciprofloxacin,imipenem,meropenem,piperacillin/tazobactam,tetracycline,Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_disease,Host,Instrument,Isolation_Source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study
GCA_009825595.1,Scaffold,WUMF00000000,SAMN13675360,1305118,Klebsiella michiganensis,PRJNA597427,Senegal,bioMerieux,Vitek 2,<=2,<=1,<=1,<=4,<=1,<=0.25,<=0.25,<=0.25,<=4,<=1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009825605.1,Scaffold,WUJR00000000,SAMN13675361,1307130,Klebsiella pneumoniae,PRJNA597427,Netherland,bioMerieux,Vitek 2,<=2,>=64,32,8,>=64,>=4,<=0.25,<=0.25,>=128,>=16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009825575.1,Scaffold,WUJQ00000000,SAMN13675362,1502020,Klebsiella pneumoniae,PRJNA597427,USA,bioMerieux,Vitek 2,>=64,>=64,16,>=64,>=64,>=4,>=16,>=16,>=128,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009825505.1,Scaffold,WUJX00000000,SAMN13675354,1203047,Klebsiella pneumoniae,PRJNA597427,Greece,bioMerieux,Vitek 2,>=64,>=64,>=64,>=64,>=64,>=4,>=16,>=16,>=128,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009825515.1,Scaffold,WUKL00000000,SAMN13675340,1012150,Klebsiella pneumoniae,PRJNA597427,USA,bioMerieux,Vitek 2,>=64,>=64,>=64,>=64,>=64,>=4,>=16,>=16,>=128,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009825495.1,Scaffold,WUKJ00000000,SAMN13675342,1102103,Klebsiella pneumoniae,PRJNA597427,USA,bioMerieux,Vitek 2,>=64,>=64,>=64,>=64,>=64,>=4,>=16,>=16,>=128,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009825475.1,Scaffold,WUKK00000000,SAMN13675341,1012201,Klebsiella pneumoniae,PRJNA597427,USA,bioMerieux,Vitek 2,>=64,>=64,4,16,>=64,>=4,8,>=16,>=128,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009825485.1,Scaffold,WUJS00000000,SAMN13675359,1204113,Klebsiella pneumoniae,PRJNA597427,Greece,bioMerieux,Vitek 2,>=64,>=64,>=64,>=64,>=64,>=4,>=16,>=16,>=128,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009825455.1,Scaffold,WUKO00000000,SAMN13675337,1011214,Klebsiella pneumoniae,PRJNA597427,UK,bioMerieux,Vitek 2,4,16,>=64,>=64,>=64,1,>=16,>=16,>=128,>=16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009826835.1,Scaffold,WUMD00000000,SAMN13675295,1711075,Klebsiella pneumoniae,PRJNA597427,Greece,bioMerieux,Vitek 2,>=64,>=64,8,32,>=64,>=4,8,>=16,>=128,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
