PATRIC ID,Run Accession,Genome Name,Publication (pubmed ID),ciprofloxacin,clindamycin,erythromycin,fusidic_acid,methicillin,penicillin
1280.1,ERR419131,Staphylococcus aureus C00013237,26686880,R,,R,S,R,R
1280.10001,ERR419132,Staphylococcus aureus C00013238,26686880,S,,S,S,S,R
1280.10002,ERR419135,Staphylococcus aureus C00013241,26686880,S,,S,S,S,S
1280.10003,ERR419136,Staphylococcus aureus C00013242,26686880,S,,S,S,S,R
1280.10004,ERR419138,Staphylococcus aureus C00013244,26686880,S,,S,S,S,R
1280.10005,ERR419139,Staphylococcus aureus C00013245,26686880,S,,S,S,S,R
1280.10006,ERR419140,Staphylococcus aureus C00013246,26686880,S,,S,R,S,S
1280.10007,ERR419141,Staphylococcus aureus C00013247,26686880,R,,S,S,R,R
1280.10008,ERR419145,Staphylococcus aureus C00013251,26686880,S,,S,S,S,R
1280.10009,ERR419146,Staphylococcus aureus C00013313,26686880,S,,R,S,S,R
1280.1001,ERR419155,Staphylococcus aureus C00013322,26686880,S,,S,S,S,S
1280.10011,ERR419154,Staphylococcus aureus C00013321,26686880,S,,S,S,S,R
1280.10012,ERR419156,Staphylococcus aureus C00013323,26686880,S,,S,S,S,S
1280.10013,ERR419160,Staphylococcus aureus C00013327,26686880,S,,S,S,S,S
1280.10014,ERR419161,Staphylococcus aureus C00013328,26686880,S,,S,S,S,R
1280.10015,ERR419162,Staphylococcus aureus C00013329,26686880,S,,S,S,S,S
1280.10016,ERR419165,Staphylococcus aureus C00013332,26686880,S,,S,S,S,R
1280.10017,ERR419166,Staphylococcus aureus C00013333,26686880,S,,S,S,S,R
1280.10018,ERR419167,Staphylococcus aureus C00013334,26686880,S,,S,S,S,R
1280.10019,ERR419168,Staphylococcus aureus C00013335,26686880,S,,R,S,S,R
1280.1002,ERR419172,Staphylococcus aureus C00013339,26686880,R,,S,S,S,R
1280.10021,ERR419175,Staphylococcus aureus C00013342,26686880,S,,S,S,S,R
1280.10022,ERR419176,Staphylococcus aureus C00013343,26686880,S,,S,R,S,R
1280.10023,ERR419180,Staphylococcus aureus C00013347,26686880,S,,S,S,S,S
1280.10024,ERR419183,Staphylococcus aureus C00013350,26686880,S,,S,S,S,S
1280.10025,ERR419184,Staphylococcus aureus C00013351,26686880,S,,S,S,S,R
1280.10026,ERR419190,Staphylococcus aureus C00013357,26686880,S,,S,S,S,S
1280.10027,ERR419191,Staphylococcus aureus C00013358,26686880,S,,S,S,S,R
1280.10028,ERR419192,Staphylococcus aureus C00013359,26686880,S,,S,S,S,R
1280.10029,ERR419196,Staphylococcus aureus C00013363,26686880,S,,S,S,S,S
1280.1003,ERR419200,Staphylococcus aureus C00013367,26686880,S,,S,R,S,S
1280.10031,ERR419197,Staphylococcus aureus C00013364,26686880,S,,S,S,S,S
1280.10032,ERR419204,Staphylococcus aureus C00013371,26686880,S,,S,S,S,R
1280.10033,ERR419206,Staphylococcus aureus C00013373,26686880,S,,S,S,S,R
1280.10034,ERR419207,Staphylococcus aureus C00013374,26686880,S,,S,R,S,R
1280.10035,ERR419209,Staphylococcus aureus C00013376,26686880,R,,S,S,S,R
1280.10036,ERR419210,Staphylococcus aureus C00013377,26686880,S,,S,S,S,R
1280.10037,ERR419215,Staphylococcus aureus C00013382,26686880,S,,S,S,S,R
1280.10038,ERR419217,Staphylococcus aureus C00013384,26686880,S,,S,S,S,R
1280.10039,ERR419221,Staphylococcus aureus C00013388,26686880,S,,S,S,S,R
1280.1004,ERR419223,Staphylococcus aureus C00013390,26686880,S,,R,S,S,S
1280.10041,ERR419224,Staphylococcus aureus C00013391,26686880,S,,S,S,S,R
1280.10042,ERR419226,Staphylococcus aureus C00013393,26686880,S,,S,R,S,R
1280.10043,ERR419227,Staphylococcus aureus C00013394,26686880,S,,S,S,S,R
1280.10044,ERR419228,Staphylococcus aureus C00013395,26686880,S,,S,S,S,S
1280.10045,ERR419229,Staphylococcus aureus C00013396,26686880,S,,S,R,S,R
1280.10046,ERR419235,Staphylococcus aureus C00013402,26686880,S,,S,S,S,R
1280.10047,ERR419237,Staphylococcus aureus C00013404,26686880,S,,S,S,S,R
1280.10048,ERR419239,Staphylococcus aureus C00013406,26686880,S,,S,S,S,R
1280.10049,ERR419241,Staphylococcus aureus C00013408,26686880,S,,S,R,S,S
1280.10948,,Staphylococcus aureus strain 3688STDY6124971,26806258,,S,S,S,,R
1280.10976*,ERR1069919,Staphylococcus aureus strain 3688STDY6124821,,,S,S,S,,R
1280.10994,,Staphylococcus aureus strain 3688STDY6124848,26806258,,S,S,S,,R
1280.11011,,Staphylococcus aureus strain 3688STDY6124900,26806258,,S,S,S,,R
1280.11024,,Staphylococcus aureus strain 3688STDY6124922,26806258,,S,S,S,,R
1280.11026,,Staphylococcus aureus strain 3688STDY6124923,26806258,,S,S,S,,R
1280.11029,,Staphylococcus aureus strain 3688STDY6124926,26806258,,S,S,S,,R
1280.1103,,Staphylococcus aureus strain 3688STDY6124927,26806258,,S,S,S,,R
1280.11031,,Staphylococcus aureus strain 3688STDY6124929,26806258,,S,S,S,,R
1280.11032,,Staphylococcus aureus strain 3688STDY6124930,26806258,,S,S,S,,R
1280.11033,,Staphylococcus aureus strain 3688STDY6124931,26806258,,S,S,S,,R
1280.11036,,Staphylococcus aureus strain 3688STDY6124933,26806258,,R,R,S,,R
1280.11037,,Staphylococcus aureus strain 3688STDY6124934,26806258,,S,S,S,,R
1280.11038,,Staphylococcus aureus strain 3688STDY6124935,26806258,,S,S,S,,R
1280.11039,,Staphylococcus aureus strain 3688STDY6124936,26806258,,S,S,S,,R
1280.1104,,Staphylococcus aureus strain 3688STDY6124937,26806258,,S,S,S,,R
1280.11042,,Staphylococcus aureus strain 3688STDY6124878,26806258,,S,S,S,,R
1280.11043,,Staphylococcus aureus strain 3688STDY6124939,26806258,,S,S,S,,R
1280.11049,,Staphylococcus aureus strain 3688STDY6124949,26806258,,S,S,S,,R
1280.1105,,Staphylococcus aureus strain 3688STDY6124879,26806258,,R,R,S,,R
1280.11054,,Staphylococcus aureus strain 3688STDY6124957,26806258,,S,S,S,,R
1280.11118,,Staphylococcus aureus strain 3688STDY6124966,26806258,,S,S,S,,R
1280.1115,,Staphylococcus aureus strain 3688STDY6125057,26806258,,S,S,S,,S
