PATRIC ID,Run Accession,Genome Name,Publication (pubmed ID),Amikacin,Ampicillin/Sulbactam,Aztreonam,Cefazolin,Cefepime,Cefoxitin,Ceftazidime,Ceftriaxone,Cefuroxime sodium,Ciprofloxacin,Gentamicin,Imipenem,Levofloxacin,Meropenem,Nitrofurantoin,Piperacillin/Tazobactam,Tetracycline,Tobramycin,Trimethoprim/Sulfamethoxazole
573.12858,SRR5973251,Klebsiella pneumoniae 3243,29323230,<=4,>16/8,16,>32,>16,<=4,16,>32,,>2,>8,<=0.25,<=1,<=0.125,>64,>64/4,>8,>8,>2/38
573.12859,SRR5973253,Klebsiella pneumoniae 3248,29323230,<=4,8/4,>16,>32,<=0.5,<=4,>16,32,,1,1,<=0.25,<=1,<=0.125,<=16,4/4,2,1,<=0.5/9.5
573.12860,SRR5973293,Klebsiella pneumoniae 3316,29323230,32,>16/8,>16,>32,>16,16,>16,>32,,>2,2,<=0.25,>4,<=0.125,>64,>64/4,4,>8,>2/38
573.12861,SRR5973408,Klebsiella pneumoniae 35,29323230,<=4,8/4,<=1,2,<=0.5,<=4,<=0.5,<=0.5,8,<=0.5,<=0.5,0.5,<=1,<=0.125,64,<=2/4,<=1,1,<=0.5/9.5
573.12862,SRR5973237,Klebsiella pneumoniae 3288,29323230,32,16/8,>16,>32,1,<=4,>16,8,,>2,2,<=0.25,>4,<=0.125,,8/4,4,>8,>2/38
573.12863,SRR5973325,Klebsiella pneumoniae 105,29323230,<=4,8/4,<=1,<=1,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,<=0.25,<=1,<=0.125,,4/4,<=1,1,<=0.5/9.5
573.12864,SRR5973336,Klebsiella pneumoniae 3376,29323230,<=4,>16/8,>16,>32,,>16,>16,>32,,>2,8,>8,>4,>8,>64,>64/4,8,>8,<=0.5/9.5
573.12865,SRR5973255,Klebsiella pneumoniae 34,29323230,<=4,8/4,<=1,<=1,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,<=0.25,<=1,<=0.125,,4/4,2,1,<=0.5/9.5
573.12867,SRR5973322,Klebsiella pneumoniae 3345,29323230,<=4,>16/8,>16,>32,16,>16,>16,>32,,>2,<=0.5,8,>4,>8,,>64/4,8,<=0.5,<=0.5/9.5
573.12868,SRR5973363,Klebsiella pneumoniae 78,29323230,<=4,8/4,<=1,<=1,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,<=0.25,<=1,<=0.125,32,4/4,<=1,1,<=0.5/9.5
573.12869,SRR5973284,Klebsiella pneumoniae 3229,29323230,<=4,>16/8,>16,>32,>16,<=4,>16,>32,,>2,1,<=0.25,<=1,<=0.125,>64,>64/4,>8,>8,>2/38
573.12870,SRR5973356,Klebsiella pneumoniae 3399,29323230,<=4,>16/8,>16,>32,>16,,>16,>32,,>2,1,<=0.25,>4,,>64,,4,>8,>2/38
573.12871,SRR5973354,Klebsiella pneumoniae 94,29323230,<=4,8/4,<=1,<=1,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,0.5,<=1,<=0.125,>64,4/4,2,1,<=0.5/9.5
573.12872,SRR5973311,Klebsiella pneumoniae 15,29323230,<=4,8/4,<=1,<=1,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,<=0.25,<=1,<=0.125,64,4/4,>8,1,<=0.5/9.5
573.12873,SRR5973326,Klebsiella pneumoniae 106,29323230,<=4,8/4,<=1,2,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,<=0.25,<=1,<=0.125,64,4/4,<=1,1,<=0.5/9.5
573.12874,SRR5973241,Klebsiella pneumoniae 3294,29323230,<=4,16/8,>16,>32,2,>16,>16,16,,>2,4,<=0.25,>4,<=0.125,,16/4,>8,8,<=0.5/9.5
