PATRIC ID,Run Accession,Genome Name,Publication,Ampicillin,Amoxicillin-Clavulanate,Ceftriaxone,Chloramphenicol,Sulfisoxazole,Cefoxitin,Gentamycin,Kanamycin,Streptomycin,Tetracycline,Ceftiofur
590.13107,SRR1177335,Salmonella enterica SRR1177335,30333126,<=1,<=1,<=0.25,8,,8,>16,,>64,>32,0.5
590.13138,SRR1177356,Salmonella enterica SRR1177356,30333126,2,<=1,<=0.25,8,,4,0.5,,,>32,1
590.17784,SRR1177360,Salmonella enterica SRR1177360,30333126,<=1,<=1,<=0.25,4,,2,0.5,,,<=4,0.5
590.13178,SRR1177369,Salmonella enterica SRR1177369,30333126,<=1,<=1,<=0.25,4,,2,0.5,,64,>32,0.5
590.13206,SRR1181521,Salmonella enterica SRR1181521,30333126,<=1,<=1,<=0.25,8,,2,<=0.25,,>64,>32,0.5
590.13304,SRR1181529,Salmonella enterica SRR1181529,30333126,2,2,<=0.25,8,,4,<=0.25,,>64,>32,1
590.13365,SRR1181532,Salmonella enterica SRR1181532,30333126,<=1,<=1,<=0.25,4,,2,<=0.25,,,>32,0.5
590.1343,SRR1181559,Salmonella enterica SRR1181559,30333126,<=1,<=1,<=0.25,4,,2,<=0.25,,,<=4,0.5
590.13438,SRR1181560,Salmonella enterica SRR1181560,30333126,<=1,<=1,<=0.25,4,,2,0.5,,,<=4,0.5
590.13485,SRR1185781,Salmonella enterica SRR1185781,30333126,<=1,<=1,<=0.25,8,,4,<=0.25,,,>32,1
590.13576,SRR1185792,Salmonella enterica SRR1185792,30333126,<=1,<=1,<=0.25,8,,4,<=0.25,,,<=4,1
590.13849,SRR1195625,Salmonella enterica SRR1195625,30333126,<=1,<=1,<=0.25,4,,4,<=0.25,,,<=4,0.5
590.13884,SRR1195631,Salmonella enterica SRR1195631,30333126,>32,32,4,8,,>16,0.5,,>64,>32,8
590.13951,SRR1195643,Salmonella enterica SRR1195643,30333126,<=1,<=1,<=0.25,8,,4,0.5,,,<=4,1
590.13999,SRR1195649,Salmonella enterica SRR1195649,30333126,<=1,<=1,<=0.25,4,,2,<=0.25,,64,32,0.5
590.14057,SRR1195663,Salmonella enterica SRR1195663,30333126,<=1,<=1,<=0.25,4,,2,0.5,,,<=4,0.5
