isolate_id,taxon_name,sample_name,AMC,AMI,AMP,AMS,AMX,AZT,CAZ,CEP,CFZ,CHL,CIP,CL,CLI,CRO,CTX,CXM,DOR,DOX,ERP,ERY,FA,FEP,FOX,GEN,IMI,KAN,LEV,MET,MIN,MRP,NAL,NIT,NMN,OFL,OXA,PEN,PTZ,RIF,SIZ,SPT,STR,SXT,TCC,TET,TGC,TMP,TOB,study_accession,secondary_sample_accession,experiment_accession,run_accession,tax_id,scientific_name,fastq_ftp,submitted_ftp,sra_ftp
111739,Acinetobacter baumannii,SAMEA1317920,NA,R,R,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,R,R,R,NA,NA,NA,R,R,NA,R,NA,NA,NA,NA,NA,NA,R,R,NA,R,R,NA,NA,NA,PRJEB2801,ERS083414,ERX095931,ERR119659,470,Acinetobacter baumannii,ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/ERR119659/ERR119659_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/ERR119659/ERR119659_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR119/ERR119659/7521_8#27.bam,NA
111740,Acinetobacter baumannii,SAMEA1317922,NA,NA,R,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,NA,NA,R,R,NA,NA,NA,NA,R,NA,PRJEB2801,ERS083423,ERX095940,ERR119668,470,Acinetobacter baumannii,ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/ERR119668/ERR119668_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/ERR119668/ERR119668_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR119/ERR119668/7521_8#36.bam,NA
111741,Acinetobacter baumannii,SAMEA1317924,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,NA,NA,R,R,NA,NA,NA,NA,R,NA,PRJEB2801,ERS083419,ERX095936,ERR119664,470,Acinetobacter baumannii,ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/ERR119664/ERR119664_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/ERR119664/ERR119664_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR119/ERR119664/7521_8#32.bam,NA
111743,Acinetobacter baumannii,SAMEA1317927,NA,NA,R,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,NA,NA,R,R,NA,R,R,NA,NA,NA,PRJEB2801,ERS083415,ERX095932,ERR119660,470,Acinetobacter baumannii,ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/ERR119660/ERR119660_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/ERR119660/ERR119660_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR119/ERR119660/7521_8#28.bam,NA
111744,Acinetobacter baumannii,SAMEA1317930,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,NA,NA,R,R,NA,NA,R,NA,R,NA,PRJEB2801,ERS083426,ERX095943,ERR119671,470,Acinetobacter baumannii,ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/ERR119671/ERR119671_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/ERR119671/ERR119671_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR119/ERR119671/7521_8#39.bam,NA
111745,Acinetobacter baumannii,SAMEA1317931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,PRJEB2801,ERS083425,ERX095942,ERR119670,470,Acinetobacter baumannii,ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/ERR119670/ERR119670_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/ERR119670/ERR119670_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR119/ERR119670/7521_8#38.bam,NA
111746,Acinetobacter baumannii,SAMEA1317937,NA,R,R,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,R,R,R,NA,NA,NA,R,R,NA,R,NA,NA,NA,NA,NA,NA,R,R,NA,R,R,NA,NA,NA,PRJEB2801,ERS083434,ERX095951,ERR119679,470,Acinetobacter baumannii,ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/ERR119679/ERR119679_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/ERR119679/ERR119679_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR119/ERR119679/7521_8#47.bam,NA
133125,Acinetobacter baumannii,SAMEA1317939,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,NA,NA,R,R,NA,NA,R,NA,R,NA,PRJEB2801,ERS083412,ERX095929,ERR119657,470,Acinetobacter baumannii,ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/ERR119657/ERR119657_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/ERR119657/ERR119657_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR119/ERR119657/7521_8#25.bam,NA
112462,Acinetobacter baumannii,SAMEA1465988,NA,NA,R,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,NA,NA,R,R,NA,R,R,NA,R,NA,PRJEB2801,ERS083390,ERX087516,ERR110082,470,Acinetobacter baumannii,ftp.sra.ebi.ac.uk/vol1/fastq/ERR110/ERR110082/ERR110082_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR110/ERR110082/ERR110082_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR110/ERR110082/7468_2#75.bam,NA
112463,Acinetobacter baumannii,SAMEA1466008,NA,R,R,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,R,R,R,NA,NA,NA,R,NA,NA,R,NA,NA,NA,NA,NA,NA,R,R,NA,R,R,NA,R,R,PRJEB2801,ERS083389,ERX087515,ERR110081,470,Acinetobacter baumannii,ftp.sra.ebi.ac.uk/vol1/fastq/ERR110/ERR110081/ERR110081_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR110/ERR110081/ERR110081_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR110/ERR110081/7468_2#74.bam,NA
