isolate_id,taxon_name,sample_name,AMC,AMI,AMP,AMS,AMX,AZT,CAZ,CEP,CFZ,CHL,CIP,CL,CLI,CRO,CTX,CXM,DOR,DOX,ERP,ERY,FA,FEP,FOX,GEN,IMI,KAN,LEV,MET,MIN,MRP,NAL,NIT,NMN,OFL,OXA,PEN,PTZ,RIF,SIZ,SPT,STR,SXT,TCC,TET,TGC,TMP,TOB,run_accession
103720,Escherichia coli,ERS356740,S,S,S,NA,NA,S,S,I,NA,NA,S,NA,NA,NA,S,NA,NA,NA,S,NA,NA,S,S,S,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,S,S,ERR434643
103721,Escherichia coli,ERS356741,R,S,R,NA,NA,S,S,I,NA,NA,R,NA,NA,NA,S,NA,NA,NA,S,NA,NA,S,S,S,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,R,S,ERR434259
103722,Escherichia coli,ERS356743,S,S,R,NA,NA,S,S,I,NA,NA,R,NA,NA,NA,S,NA,NA,NA,S,NA,NA,S,I,S,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,R,S,ERR434739
103723,Escherichia coli,ERS356744,R,S,R,NA,NA,R,I,R,NA,NA,R,NA,NA,NA,R,NA,NA,NA,S,NA,NA,I,S,S,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,R,R,ERR434740
103724,Escherichia coli,ERS356745,S,S,S,NA,NA,S,S,S,NA,NA,S,NA,NA,NA,S,NA,NA,NA,S,NA,NA,S,S,S,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,S,S,ERR434835
103725,Escherichia coli,ERS356746,S,S,R,NA,NA,S,S,I,NA,NA,R,NA,NA,NA,S,NA,NA,NA,S,NA,NA,S,S,S,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,R,S,ERR434741
103726,Escherichia coli,ERS356747,R,S,R,NA,NA,S,S,I,NA,NA,S,NA,NA,NA,S,NA,NA,NA,S,NA,NA,S,S,S,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,R,S,ERR434645
103727,Escherichia coli,ERS356748,R,S,R,NA,NA,S,S,I,NA,NA,S,NA,NA,NA,S,NA,NA,NA,S,NA,NA,S,S,S,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,R,S,ERR434742
103728,Escherichia coli,ERS356749,S,S,R,NA,NA,S,S,S,NA,NA,S,NA,NA,NA,S,NA,NA,NA,S,NA,NA,S,S,S,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,R,S,ERR434260
103729,Escherichia coli,ERS356750,S,S,S,NA,NA,S,S,S,NA,NA,S,NA,NA,NA,S,NA,NA,NA,S,NA,NA,S,S,S,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,S,S,ERR434836
103730,Escherichia coli,ERS356751,S,S,S,NA,NA,S,S,S,NA,NA,S,NA,NA,NA,S,NA,NA,NA,S,NA,NA,S,S,S,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,S,S,ERR434837
103731,Escherichia coli,ERS356753,R,S,R,NA,NA,S,S,I,NA,NA,S,NA,NA,NA,S,NA,NA,NA,S,NA,NA,S,S,S,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,S,S,ERR439666
103732,Escherichia coli,ERS356754,R,I,R,NA,NA,S,S,I,NA,NA,R,NA,NA,NA,S,NA,NA,NA,S,NA,NA,S,S,S,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,R,R,ERR439667
103733,Escherichia coli,ERS356755,R,S,R,NA,NA,S,S,I,NA,NA,S,NA,NA,NA,S,NA,NA,NA,S,NA,NA,S,S,S,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,R,S,ERR434261
103734,Escherichia coli,ERS356756,S,S,S,NA,NA,S,S,I,NA,NA,S,NA,NA,NA,S,NA,NA,NA,S,NA,NA,S,S,S,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,S,S,ERR434838
103735,Escherichia coli,ERS356757,S,S,R,NA,NA,S,S,I,NA,NA,S,NA,NA,NA,S,NA,NA,NA,S,NA,NA,S,S,R,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,S,I,ERR439629
103736,Escherichia coli,ERS356758,S,S,S,NA,NA,S,S,S,NA,NA,S,NA,NA,NA,S,NA,NA,NA,S,NA,NA,S,S,S,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,S,S,ERR434839
103737,Escherichia coli,ERS356759,S,S,R,NA,NA,S,S,I,NA,NA,S,NA,NA,NA,S,NA,NA,NA,S,NA,NA,S,S,S,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,R,S,ERR434931
103738,Escherichia coli,ERS356760,S,S,S,NA,NA,S,S,S,NA,NA,S,NA,NA,NA,S,NA,NA,NA,S,NA,NA,S,S,S,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,S,S,ERR435027
103739,Escherichia coli,ERS356761,S,S,S,NA,NA,S,S,S,NA,NA,S,NA,NA,NA,S,NA,NA,NA,S,NA,NA,S,S,S,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,S,S,ERR439668
