isolate_id,taxon_name,sample_name,AMC,AMI,AMP,AMS,AMX,AZT,CAZ,CEP,CFZ,CHL,CIP,CL,CLI,CRO,CTX,CXM,DOR,DOX,ERP,ERY,FA,FEP,FOX,GEN,IMI,KAN,LEV,MET,MIN,MRP,NAL,NIT,NMN,OFL,OXA,PEN,PTZ,RIF,SIZ,SPT,STR,SXT,TCC,TET,TGC,TMP,TOB,run_accession
121600,Pseudomonas aeruginosa,SAMN02360656,NA,S,NA,NA,NA,NA,S,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,SRR1014018
121600,Pseudomonas aeruginosa,SAMN02360656,NA,S,NA,NA,NA,NA,S,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,SRR1014019
121600,Pseudomonas aeruginosa,SAMN02360656,NA,S,NA,NA,NA,NA,S,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,SRR1014020
121600,Pseudomonas aeruginosa,SAMN02360656,NA,S,NA,NA,NA,NA,S,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,SRR1014021
121600,Pseudomonas aeruginosa,SAMN02360656,NA,S,NA,NA,NA,NA,S,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,SRR1014022
121600,Pseudomonas aeruginosa,SAMN02360656,NA,S,NA,NA,NA,NA,S,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,SRR1014023
121601,Pseudomonas aeruginosa,SAMN02360658,NA,S,NA,NA,NA,NA,S,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,SRR1014545
121601,Pseudomonas aeruginosa,SAMN02360658,NA,S,NA,NA,NA,NA,S,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,SRR1014546
121601,Pseudomonas aeruginosa,SAMN02360658,NA,S,NA,NA,NA,NA,S,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,SRR1014547
121601,Pseudomonas aeruginosa,SAMN02360658,NA,S,NA,NA,NA,NA,S,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,SRR1014548
