isolate_id,taxon_name,sample_name,AMC,AMI,AMP,AMS,AMX,AZT,CAZ,CEP,CFZ,CHL,CIP,CL,CLI,CRO,CTX,CXM,DOR,DOX,ERP,ERY,FA,FEP,FOX,GEN,IMI,KAN,LEV,MET,MIN,MRP,NAL,NIT,NMN,OFL,OXA,PEN,PTZ,RIF,SIZ,SPT,STR,SXT,TCC,TET,TGC,TMP,TOB,run_accession
105483,Staphylococcus aureus,SAMEA1021787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,R,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,ERR053013
105484,Staphylococcus aureus,SAMEA1021807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,R,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,ERR053015
105485,Staphylococcus aureus,SAMEA1021821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,ERR053034
105486,Staphylococcus aureus,SAMEA1021823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,R,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,ERR053014
105487,Staphylococcus aureus,SAMEA1021832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,ERR053033
105488,Staphylococcus aureus,SAMEA1021848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,ERR053017
105489,Staphylococcus aureus,SAMEA1021849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,ERR053032
105490,Staphylococcus aureus,SAMEA1021856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,ERR053016
105491,Staphylococcus aureus,SAMEA1021870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,ERR053031
105492,Staphylococcus aureus,SAMEA1021876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,ERR053020
105493,Staphylococcus aureus,SAMEA1021877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,R,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,ERR053029
