Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,STRAIN,SAMPLE_TYPE,BIOMATERIAL_PROVIDER,host_tissue_sampled,Host_disease,collected_by,Lat_Lon,Clinical_isolate_IDs,Actual_MICs,CountryOfOrigin,Host
SRR12354224,WGS,602,335386240,PRJNA649313,SAMN15663263,Pathogen.cl,189141215,UNIVERSITY OF OTAGO,2015,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX8853710,Germany,Europe,Germany,Illumina MiSeq,Respiratory: Endotracheal aspirate,1271047,PAIRED,RANDOM,GENOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-07-30T00:00:00Z,1271047,SRP274338,IHMA_1271047,NA,NA,NA,not collected,IHMA,NA,1271047,0.064,NA,Human
SRR12354225,WGS,602,280976878,PRJNA649313,SAMN15663262,Pathogen.cl,161935123,UNIVERSITY OF OTAGO,2015,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX8853709,Spain,Europe,Spain,Illumina MiSeq,INT: Wound,1268230,PAIRED,RANDOM,GENOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-07-30T00:00:00Z,1268230,SRP274338,IHMA_1268230,NA,NA,NA,not collected,IHMA,NA,1268230,R,NA,Human
SRR12354226,WGS,602,324165562,PRJNA649313,SAMN15663253,Pathogen.cl,185724039,UNIVERSITY OF OTAGO,2015,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX8853708,Australia,Oceania,Australia,Illumina MiSeq,GU: Urine,1254434,PAIRED,RANDOM,GENOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-07-30T00:00:00Z,1254434,SRP274338,IHMA_1254434,NA,NA,NA,not collected,IHMA,NA,1254434,0.064,NA,Human
SRR12354227,WGS,602,293393128,PRJNA649313,SAMN15663252,Pathogen.cl,167011202,UNIVERSITY OF OTAGO,2015,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX8853707,Australia,Oceania,Australia,Illumina MiSeq,INT: Cellulitis/Erysipelas,1252420,PAIRED,RANDOM,GENOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-07-30T00:00:00Z,1252420,SRP274338,IHMA_1252420,NA,NA,NA,not collected,IHMA,NA,1252420,0.064,NA,Human
SRR12354228,WGS,602,258595120,PRJNA649313,SAMN15663261,Pathogen.cl,148263748,UNIVERSITY OF OTAGO,2015,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX8853706,Russia,Europe,Russia,Illumina MiSeq,Respiratory: Endotracheal aspirate,1266654,PAIRED,RANDOM,GENOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-07-30T00:00:00Z,1266654,SRP274338,IHMA_1266654,NA,NA,NA,not collected,IHMA,NA,1266654,1.5,NA,Human
SRR12354229,WGS,602,291602178,PRJNA649313,SAMN15663260,Pathogen.cl,167630568,UNIVERSITY OF OTAGO,2015,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX8853705,Poland,Europe,Poland,Illumina MiSeq,Respiratory: Bronchoalveolar lavage,1265577,PAIRED,RANDOM,GENOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-07-30T00:00:00Z,1265577,SRP274338,IHMA_1265577,NA,NA,NA,not collected,IHMA,NA,1265577,0.064,NA,Human
SRR12354230,WGS,602,280885976,PRJNA649313,SAMN15663259,Pathogen.cl,160489383,UNIVERSITY OF OTAGO,2015,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX8853704,Greece,Europe,Greece,Illumina MiSeq,GU: Urine,1260990,PAIRED,RANDOM,GENOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-07-30T00:00:00Z,1260990,SRP274338,IHMA_1260990,NA,NA,NA,not collected,IHMA,NA,1260990,R,NA,Human
SRR12354233,WGS,602,291678632,PRJNA649313,SAMN15663256,Pathogen.cl,162914591,UNIVERSITY OF OTAGO,2015,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX8853701,Italy,Europe,Italy,Illumina MiSeq,Respiratory: Endotracheal aspirate,1257763,PAIRED,RANDOM,GENOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-07-30T00:00:00Z,1257763,SRP274338,IHMA_1257763,NA,NA,NA,not collected,IHMA,NA,1257763,12(R),NA,Human
SRR12354234,WGS,602,253052506,PRJNA649313,SAMN15663291,Pathogen.cl,145988118,UNIVERSITY OF OTAGO,2017,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX8853700,Brazil,South America,Brazil,Illumina MiSeq,GU: Urine,1709299,PAIRED,RANDOM,GENOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-07-30T00:00:00Z,1709299,SRP274338,IHMA_1709299,NA,NA,NA,not collected,IHMA,NA,1709299,0.125,NA,Human
SRR12354235,WGS,602,262301032,PRJNA649313,SAMN15663290,Pathogen.cl,149511387,UNIVERSITY OF OTAGO,2017,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX8853699,Mexico,North America,Mexico,Illumina MiSeq,Respiratory: Endotracheal aspirate,1690076,PAIRED,RANDOM,GENOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-07-30T00:00:00Z,1690076,SRP274338,IHMA_1690076,NA,NA,NA,not collected,IHMA,NA,1690076,R,NA,Human
