Accession,Name,Collection,AMP_RIS,AZM_RIS,CEP_RIS,CHL_RIS,CST_RIS,MEM_RIS,SMX_RIS,SXT_RIS,TMP_RIS,TCY_RIS,CIP_RIS
ERR1837134,ERS1545410,Britto2018,S,,S,S,,,,S,,,S
ERR1837135,ERS1545411,Britto2018,S,,S,S,,,,S,,,IS
ERR1837136,ERS1545412,Britto2018,S,,S,S,,,,S,,,IS
ERR1837137,ERS1545413,Britto2018,S,,S,S,,,,S,,,IS
ERR1837138,ERS1545414,Britto2018,S,,S,S,,,,S,,,IS
ERR1837139,ERS1545415,Britto2018,S,,S,S,,,,S,,,IS
ERR1837140,ERS1545416,Britto2018,S,,S,S,,,,S,,,IS
ERR1837141,ERS1545417,Britto2018,S,,S,S,,,,S,,,IS
ERR1837142,ERS1545418,Britto2018,R,,S,S,,,,S,,,IS
ERR1837143,ERS1545419,Britto2018,S,,S,S,,,,S,,,IS
ERR1837144,ERS1545420,Britto2018,S,,S,S,,,,S,,,IS
ERR1837146,ERS1545422,Britto2018,R,,S,R,,,,R,,,S
ERR1837147,ERS1545423,Britto2018,R,,S,R,,,,R,,,IS
ERR1837148,ERS1545424,Britto2018,S,,S,S,,,,S,,,IS
ERR1837149,ERS1545425,Britto2018,S,,S,S,,,,S,,,S
ERR1837150,ERS1545426,Britto2018,S,,S,S,,,,S,,,IS
ERR1837151,ERS1545427,Britto2018,S,,S,S,,,,S,,,S
ERR1837152,ERS1545428,Britto2018,S,,S,S,,,,S,,,IS
ERR1837154,ERS1545430,Britto2018,S,,S,S,,,,S,,,IS
ERR1837155,ERS1545431,Britto2018,S,,S,S,,,,S,,,S
ERR1837156,ERS1545432,Britto2018,S,,S,S,,,,S,,,IS
ERR1837157,ERS1545433,Britto2018,S,,S,S,,,,S,,,S
ERR1837158,ERS1545434,Britto2018,S,,S,S,,,,S,,,IS
ERR1837159,ERS1545435,Britto2018,S,,S,S,,,,S,,,IS
ERR1837160,ERS1545436,Britto2018,S,,S,S,,,,S,,,S
ERR1837161,ERS1545437,Britto2018,S,,S,S,,,,S,,,S
ERR1837162,ERS1545438,Britto2018,S,,S,S,,,,S,,,IS
ERR1837163,ERS1545439,Britto2018,S,,S,S,,,,S,,,IS
ERR1837164,ERS1545440,Britto2018,S,,S,S,,,,S,,,IS
ERR1837165,ERS1545441,Britto2018,S,,S,S,,,,S,,,IS
ERR1837166,ERS1545442,Britto2018,S,,S,S,,,,S,,,IS
ERR1837168,ERS1545444,Britto2018,S,,S,S,,,,S,,,IS
ERR1837169,ERS1545445,Britto2018,S,,S,S,,,,S,,,IS
ERR1837171,ERS1545447,Britto2018,S,,S,S,,,,S,,,IS
ERR1837172,ERS1545448,Britto2018,S,,S,S,,,,S,,,IS
