Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Collection_ID,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolate,Isolation_source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,ST,Clonal_Complex,Index,ID,Speciemen,Species,Sequence Type (ST),Clonal Complex (CC),Ciprofloxacin (ECOFF= 0.5 mg/L),Nalidixic acid (ECOFF= 16 mg/L),Tetracycline (ECOFF=2 mg/L),Erythromycin (ECOFF= 4 mg/L For C. jejuni and =8 mg/L for C. coli),Streptomycin (ECOFF= 4 mg/L),Gentamicin (ECOFF= 2mg/L)
SRR10257442,WGS,430,101046003,PRJNA576513,SAMN13011815,Pathogen.env,65205965,UNIVERSITY OF BATH,SheppardLab and Mohamed ElHadidy,2018,Egypt99,public,"wgmlst_sig,sra,fastq,realign","s3,ncbi","ncbi.public,s3.us-east-1",SRX6975468,Egypt,Africa,Egypt: Cairo,Illumina MiSeq,Egypt99,human,30.0448 N 31.1222 E,MilSeq35_S76_ElHadidy_Egypt99,PAIRED,RANDOM,GENOMIC,Campylobacter coli,ILLUMINA,2019-10-10T00:00:00Z,SKS_7707,SRP225063,7950,ST-828 complex,7707,Camp_7707,Human stool,Campylobacter coli,ST7950,ST-828 ClonalComplex,0.12,2,32,1,2,0.25
SRR10257443,WGS,410,153074558,PRJNA576513,SAMN13011814,Pathogen.env,101090578,UNIVERSITY OF BATH,SheppardLab and Mohamed ElHadidy,2017,Egypt98,public,"sra,wgmlst_sig,realign,fastq","ncbi,s3","s3.us-east-1,ncbi.public",SRX6975467,Egypt,Africa,Egypt: Cairo,Illumina MiSeq,Egypt98,human,30.0448 N 31.1222 E,MilSeq35_S75_ElHadidy_Egypt98,PAIRED,RANDOM,GENOMIC,Campylobacter coli,ILLUMINA,2019-10-10T00:00:00Z,SKS_7706,SRP225063,1681,NA,7706,Camp_7706,Human stool,Campylobacter coli,ST1681,NA,0.12,32,4,2,0.5,1
SRR10257444,WGS,378,174545925,PRJNA576513,SAMN13011813,Pathogen.env,112473362,UNIVERSITY OF BATH,SheppardLab and Mohamed ElHadidy,2017,Egypt97,public,"wgmlst_sig,fastq,sra,realign","s3,ncbi","s3.us-east-1,ncbi.public",SRX6975466,Egypt,Africa,Egypt: Cairo,Illumina MiSeq,Egypt97,human,30.0448 N 31.1222 E,MilSeq35_S74_ElHadidy_Egypt97,PAIRED,RANDOM,GENOMIC,Campylobacter coli,ILLUMINA,2019-10-10T00:00:00Z,SKS_7705,SRP225063,832,ST-828 complex,7705,Camp_7705,Human stool,Campylobacter coli,ST832,ST-828 ClonalComplex,16,32,64,1,1,0.25
SRR10257445,WGS,471,101574329,PRJNA576513,SAMN13011835,Pathogen.env,55014282,UNIVERSITY OF BATH,SheppardLab and Mohamed ElHadidy,2018,Egypt16,public,"fastq,realign,sra,wgmlst_sig","s3,ncbi","ncbi.public,s3.us-east-1",SRX6975465,Egypt,Africa,Egypt: Cairo,Illumina MiSeq,Egypt16,chicken,30.0448 N 31.1222 E,MilSeq35_S16_Egypt16,PAIRED,RANDOM,GENOMIC,Campylobacter jejuni,ILLUMINA,2019-10-10T00:00:00Z,SKS_7730,SRP225063,945,ST-1287 complex,7730,Camp_7730,Broiler carcass,Campylobacter jejuni,ST945,ST-1287 ClonalComplex,0.12,16,0.5,1,1,1
SRR10257446,WGS,387,119450658,PRJNA576513,SAMN13011812,Pathogen.env,77486827,UNIVERSITY OF BATH,SheppardLab and Mohamed ElHadidy,2017,Egypt96,public,"realign,fastq,wgmlst_sig,sra","ncbi,s3","s3.us-east-1,ncbi.public",SRX6975464,Egypt,Africa,Egypt: Cairo,Illumina MiSeq,Egypt96,human,30.0448 N 31.1222 E,MilSeq35_S73_ElHadidy_Egypt96,PAIRED,RANDOM,GENOMIC,Campylobacter coli,ILLUMINA,2019-10-10T00:00:00Z,SKS_7704,SRP225063,830,ST-828 complex,7704,Camp_7704,Human stool,Campylobacter coli,ST830,ST-828 ClonalComplex,8,32,64,16,0.5,1
SRR10257447,WGS,386,49951167,PRJNA576513,SAMN13011811,Pathogen.env,32112485,UNIVERSITY OF BATH,SheppardLab and Mohamed ElHadidy,2017,Egypt95,public,"fastq,sra,wgmlst_sig,realign","ncbi,s3","ncbi.public,s3.us-east-1",SRX6975463,Egypt,Africa,Egypt: Cairo,Illumina MiSeq,Egypt95,human,30.0448 N 31.1222 E,MilSeq35_S72_ElHadidy_Egypt95,PAIRED,RANDOM,GENOMIC,Campylobacter coli,ILLUMINA,2019-10-10T00:00:00Z,SKS_7703,SRP225063,872,ST-828 complex,7703,Camp_7703,Human stool,Campylobacter coli,ST872,ST-828 ClonalComplex,8,64,32,1,1,0.5
SRR10257448,WGS,370,52261755,PRJNA576513,SAMN13011810,Pathogen.env,33737232,UNIVERSITY OF BATH,SheppardLab and Mohamed ElHadidy,2017,Egypt94,public,"wgmlst_sig,fastq,realign,sra","s3,ncbi","ncbi.public,s3.us-east-1",SRX6975462,Egypt,Africa,Egypt: Cairo,Illumina MiSeq,Egypt94,human,30.0448 N 31.1222 E,MilSeq35_S71_ElHadidy_Egypt94,PAIRED,RANDOM,GENOMIC,Campylobacter coli,ILLUMINA,2019-10-10T00:00:00Z,SKS_7702,SRP225063,NA,NA,7702,Camp_7702,Human stool,Campylobacter coli,ST10071,ST-828 ClonalComplex,16,64,0.5,32,1,1
SRR10257449,WGS,411,95047690,PRJNA576513,SAMN13011809,Pathogen.env,62783636,UNIVERSITY OF BATH,SheppardLab and Mohamed ElHadidy,2018,Egypt93,public,"wgmlst_sig,sra,fastq,realign","s3,ncbi","ncbi.public,s3.us-east-1",SRX6975461,Egypt,Africa,Egypt: Cairo,Illumina MiSeq,Egypt93,human,30.0448 N 31.1222 E,MilSeq35_S70_ElHadidy_Egypt93,PAIRED,RANDOM,GENOMIC,Campylobacter coli,ILLUMINA,2019-10-10T00:00:00Z,SKS_7701,SRP225063,830,ST-828 complex,7701,Camp_7701,Human stool,Campylobacter coli,ST830,ST-828 ClonalComplex,16,64,0.5,1,1,0.5
SRR10257450,WGS,386,123339740,PRJNA576513,SAMN13011808,Pathogen.env,79870667,UNIVERSITY OF BATH,SheppardLab and Mohamed ElHadidy,2018,Egypt92,public,"realign,wgmlst_sig,sra,fastq","s3,ncbi","s3.us-east-1,ncbi.public",SRX6975460,Egypt,Africa,Egypt: Cairo,Illumina MiSeq,Egypt92,human,30.0448 N 31.1222 E,MilSeq35_S69_ElHadidy_Egypt92,PAIRED,RANDOM,GENOMIC,Campylobacter coli,ILLUMINA,2019-10-10T00:00:00Z,SKS_7700,SRP225063,1016,ST-828 complex,7700,Camp_7700,Human stool,Campylobacter coli,ST1016,ST-828 ClonalComplex,16,32,64,128,8,8
SRR10257451,WGS,413,50176801,PRJNA576513,SAMN13011807,Pathogen.env,33628613,UNIVERSITY OF BATH,SheppardLab and Mohamed ElHadidy,2018,Egypt91,public,"fastq,wgmlst_sig,sra,realign","ncbi,s3","ncbi.public,s3.us-east-1",SRX6975459,Egypt,Africa,Egypt: Cairo,Illumina MiSeq,Egypt91,human,30.0448 N 31.1222 E,MilSeq35_S68_ElHadidy_Egypt91,PAIRED,RANDOM,GENOMIC,Campylobacter coli,ILLUMINA,2019-10-10T00:00:00Z,SKS_7699,SRP225063,827,ST-828 complex,7699,Camp_7699,Human stool,Campylobacter coli,ST827,ST-828 ClonalComplex,4,32,0.5,1,8,8
