labnumber,source,country,lineage,WGSlocation,SRA,Bioproject,phenotypicmethod,Agentsroutinelytestedinthis,Criticalconcentrations,Isoniazid,Rifampicin,Ethambutol,Pyrazinamide,study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,fastq_ftp,submitted_ftp,sra_ftp,Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,Experiment,GENOTYPE,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_disease,Host,Instrument,Isolate,Isolation_Source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,DATASTORE filetype,DATASTORE provider,DATASTORE region
16.0617190,Birmingham,UK,Delhi,UK,ERR2512416,NA,MGIT 960,HREZ,H 0.1µg/mL; R 1µg/mL; E 5µg/mL; Z 100µg/mL,S,S,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13.0614462,Birmingham,UK,Delhi,UK,ERR2512417,NA,MGIT 960,HREZ,H 0.1µg/mL; R 1µg/mL; E 5µg/mL; Z 100µg/mL,S,S,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.0615374,Birmingham,UK,Delhi,UK,ERR2512418,NA,MGIT 960,HREZ,H 0.1µg/mL; R 1µg/mL; E 5µg/mL; Z 100µg/mL,S,S,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.0609451,Birmingham,UK,Beijing,UK,ERR2512419,NA,MGIT 960,HREZ,H 0.1µg/mL; R 1µg/mL; E 5µg/mL; Z 100µg/mL,R,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13.0613340,Birmingham,UK,Delhi,UK,ERR2513047,NA,MGIT 960,HREZ,H 0.1µg/mL; R 1µg/mL; E 5µg/mL; Z 100µg/mL,R,S,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.0603178,Birmingham,UK,Delhi,UK,ERR2512421,NA,MGIT 960,HREZ,H 0.1µg/mL; R 1µg/mL; E 5µg/mL; Z 100µg/mL,S,S,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16.0609105,Birmingham,UK,EAI,UK,ERR2512422,NA,MGIT 960,HREZ,H 0.1µg/mL; R 1µg/mL; E 5µg/mL; Z 100µg/mL,S,S,S,n/a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12.0617128,Birmingham,UK,X-type,UK,ERR2512423,NA,MGIT 960,HREZ,H 0.1µg/mL; R 1µg/mL; E 5µg/mL; Z 100µg/mL,S,S,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13.0613511,Birmingham,UK,LAM,UK,ERR2512424,NA,MGIT 960,HREZ,H 0.1µg/mL; R 1µg/mL; E 5µg/mL; Z 100µg/mL,S,S,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.0603170,Birmingham,UK,Haarlem,UK,ERR2512425,NA,MGIT 960,HREZ,H 0.1µg/mL; R 1µg/mL; E 5µg/mL; Z 100µg/mL,S,S,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13.0611347,Birmingham,UK,EAI,UK,ERR2512426,NA,MGIT 960,HREZ,H 0.1µg/mL; R 1µg/mL; E 5µg/mL; Z 100µg/mL,S,S,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
