run_accession,study_accession,accession number,tax_id,scientific_name,submitted_ftp,sample ID,source species,organism,year of isolation,clinical rol,sample,geo loc,owner State,AMC,AMP,AZT,FOX,CRO,CHL,CIP,GEN,MER,NAL,STR,FIZ,TET,TRISUL
SRR14766326,PRJNA736314,SAMN19642025,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024128-094,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,UNKNOWN,LUNG,USA,IL,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   64.0000,>   32.0000,=   0.2500,=   1.0000,<=   0.0600,>   32.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766327,PRJNA736314,SAMN19641950,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024128-072,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,INFECTION,"LUNG, LIVER, INTEST",USA,TX,>   32.0000,>   32.0000,=   8.0000,>   32.0000,=   16.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.5000
SRR14766328,PRJNA736314,SAMN19642009,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024128-062,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,INFECTION,LUNG,USA,IA,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   2.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766329,PRJNA736314,SAMN19641972,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024128-056,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,INFECTION,LIVER,USA,MN,>   32.0000,>   32.0000,=   4.0000,=   32.0000,=   8.0000,>   32.0000,=   0.2500,=   1.0000,<=   0.0600,>   32.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766330,PRJNA736314,SAMN19641991,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024128-037,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,UNKNOWN,FECES,USA,MI,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766331,PRJNA736314,SAMN19642008,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024128-028,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,INFECTION,LUNG,USA,IA,>   32.0000,>   32.0000,=   4.0000,=   32.0000,=   16.0000,>   32.0000,<=   0.0150,=   0.5000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,<=   0.1200
SRR14766332,PRJNA736314,SAMN19642029,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024128-026,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,INFECTION,LUNG,USA,IN,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766333,PRJNA736314,SAMN19641944,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024128-001,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,UNKNOWN,LIVER,USA,SD,>   32.0000,>   32.0000,=   2.0000,=   16.0000,=   8.0000,>   32.0000,=   0.1200,=   0.5000,<=   0.0600,>   32.0000,>   64.0000,>   256.0000,=   32.0000,<=   0.1200
SRR14766334,PRJNA736314,SAMN19641992,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024127-077,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,INFECTION,BRAIN,USA,WI,>   32.0000,>   32.0000,=   4.0000,>   32.0000,>   64.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,=   32.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766335,PRJNA736314,SAMN19642045,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-006979-365,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2014,INFECTION,FECES,USA,NY,>   32.0000,>   32.0000,=   4.0000,=   32.0000,=   16.0000,>   32.0000,<=   0.0150,=   1.0000,<=   0.0600,=   2.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766336,PRJNA736314,SAMN19642055,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024127-066,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,INFECTION,MILK,USA,NY,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766337,PRJNA736314,SAMN19642054,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024127-065,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,INFECTION,LNMES,USA,NY,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766338,PRJNA736314,SAMN19642024,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024125-089,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,INFECTION,INTEST,USA,IL,>   32.0000,>   32.0000,=   4.0000,=   32.0000,=   16.0000,>   32.0000,=   0.2500,=   0.5000,<=   0.0600,>   32.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766339,PRJNA736314,SAMN19641943,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024125-086,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,UNKNOWN,UNKNOWN,USA,SD,<=   1.0000,=   2.0000,=   4.0000,=   8.0000,<=   0.2500,>   32.0000,=   0.0300,=   0.5000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.5000
SRR14766340,PRJNA736314,SAMN19642023,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024125-038,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,INFECTION,LUNG,USA,IL,>   32.0000,>   32.0000,=   8.0000,>   32.0000,=   16.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766341,PRJNA736314,SAMN19641971,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024125-033,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,INFECTION,LUNG,USA,MN,=   2.0000,<=   1.0000,=   8.0000,=   4.0000,<=   0.2500,>   32.0000,=   0.0300,=   0.5000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.5000
SRR14766342,PRJNA736314,SAMN19642007,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024125-031,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,INFECTION,FECES,USA,IA,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,=   8.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766343,PRJNA736314,SAMN19642063,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024125-024,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,UNKNOWN,LUNG,USA,KY,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   16.0000,>   32.0000,=   0.0300,=   2.0000,<=   0.0600,=   8.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
