BioSample,Run,Imipenem,Meropenem,Doripenem,OXA-23 (ARO:3001418),QacEdelta1 (ARO:3005010),Sul1 (ARO:3000410),mphE (ARO:3003741),msrE (ARO:3003109),ANT(3'')-II (ARO:3002601),aacC1 (ARO:3002528),YafP (UniProtKB:Q47158),AphA6 (ARO:3002652),xerD (UniProtKB:D0CB56)
SAMN02370992,SRR1006421,9 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02371021,SRR1008836;SRR1008837,6 (R),NA (NA),NA (NA),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02371023,SRR1008840,10 (R),NA (NA),NA (NA),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02371024,SRR1008841,16 (R),NA (NA),NA (NA),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02371025,SRR1008842;SRR1008843,9 (R),NA (NA),NA (NA),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02371026,SRR1008844;SRR1008845,9 (R),NA (NA),NA (NA),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02371027,SRR1008846;SRR1008847;SRR1008848,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,NO,NO
SAMN02371028,SRR1008849;SRR1008850,6 (R),NA (NA),NA (NA),NO,NO,NO,YES,YES,YES,YES,YES,NO,NO
SAMN02371029,SRR1008851;SRR1008852,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,NO,NO
SAMN02371030,SRR1008853,26 (S),NA (NA),NA (NA),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02371031,SRR1008854;SRR1008855,9 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02371032,SRR1008856,8 (R),6 (R),6 (R),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02371033,SRR1008857,8 (R),6 (R),6 (R),YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02371034,SRR1008858,8 (R),6 (R),6 (R),NO,NO,NO,YES,YES,YES,YES,YES,NO,NO
SAMN02371035,SRR1008859,7 (R),6 (R),6 (R),YES,YES,YES,YES,YES,NO,NO,NO,YES,NO
SAMN02371037,SRR1008861,8 (R),NA (NA),NA (NA),YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02371038,SRR1008862;SRR1008863,10 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02371039,SRR1008864;SRR1008865,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02371040,SRR1008866;SRR1008867,10 (R),6 (R),6 (R),YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02371041,SRR1008868,11 (R),NA (NA),NA (NA),YES,NO,NO,NO,NO,NO,NO,NO,YES,NO
SAMN02371042,SRR1008869,15 (R),10 (R),NA (NA),NO,YES,YES,YES,YES,YES,YES,YES,NO,NO
SAMN02371043,SRR1008870,16 (R),NA (NA),NA (NA),NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02371045,SRR1008872;SRR1008873,6 (R),NA (NA),NA (NA),NO,NO,NO,YES,YES,YES,YES,YES,NO,NO
SAMN02371046,SRR1008874,9 (R),NA (NA),NA (NA),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02371047,SRR1008875;SRR1008876,8 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02371048,SRR1008877,9 (R),NA (NA),NA (NA),NO,NO,NO,YES,YES,YES,YES,YES,NO,NO
SAMN02371049,SRR1008878,15 (R),11 (R),6 (R),NO,NO,NO,NO,NO,YES,YES,YES,NO,NO
SAMN02371051,SRR1008880;SRR1008881,28 (S),22 (S),20 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02371052,SRR1008882,9 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02371053,SRR1008883,9 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02371054,SRR1008884,8 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,NO,NO
SAMN02371055,SRR1008885,6 (R),NA (NA),NA (NA),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02371056,SRR1008886,8 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02371057,SRR1008887;SRR1008888,9 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,NO,NO
SAMN02371058,SRR1008889,29 (S),NA (NA),NA (NA),NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02371059,SRR1008890;SRR1008891,9 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02380502,SRR1015238;SRR1015239,11 (R),6 (R),8 (R),YES,YES,YES,YES,YES,YES,YES,YES,NO,NO
SAMN02380504,SRR1015242;SRR1015243,27 (S),22 (S),24 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02380506,SRR1015246;SRR1015247,7 (R),6 (R),6 (R),YES,YES,YES,YES,YES,NO,NO,NO,YES,NO
SAMN02380507,SRR1015248;SRR1015249;SRR1015250,6 (R),6 (R),6 (R),YES,YES,YES,YES,YES,NO,NO,NO,YES,NO
SAMN02380508,SRR1015262;SRR1015263,31 (S),25 (S),30 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02380509,SRR1015264,31 (S),25 (S),25 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02380511,SRR1015268,30 (S),20 (S),24 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02380513,SRR1015270,32 (S),26 (S),26 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02380514,SRR1015272,10 (R),8 (R),6 (R),YES,YES,YES,YES,YES,YES,YES,YES,NO,NO
SAMN02380516,SRR1015275,6 (R),6 (R),6 (R),YES,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02380521,SRR1015281,29 (S),20 (S),24 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02380522,SRR1015283;SRR1015284,30 (S),24 (S),25 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02380523,SRR1015287;SRR1015288,6 (R),6 (R),6 (R),YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02380524,SRR1015289;SRR1015290,27 (S),23 (S),24 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02380525,SRR1015291;SRR1015292,35 (S),28 (S),27 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02380526,SRR1015295,29 (S),23 (S),25 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02380527,SRR1015296;SRR1015297,6 (R),6 (R),6 (R),YES,NO,YES,YES,YES,NO,NO,NO,NO,YES
SAMN02380528,SRR1015299,7 (R),6 (R),6 (R),YES,YES,YES,YES,YES,YES,YES,YES,NO,NO
