data_source,isolate_name,sample_name,fraction,AMC,AMI,AZT,CAZ,CFZ,CIP,CRO,CTX,CXM,ERT,FEP,FOX,GEN,IMI,LEV,MER,MIN,NIT,PTZ,TET,TOB,TSU,run_accession
ndaro,SAMN02138557,PDT000019224.2,train,NA,S,NA,NA,R,S,NA,S,NA,S,NA,NA,S,S,NA,S,NA,R,NA,NA,NA,NA,SRR850980
ndaro,SAMN02138557,PDT000019224.2,train,NA,S,NA,NA,R,S,NA,S,NA,S,NA,NA,S,S,NA,S,NA,R,NA,NA,NA,NA,SRR850981
ndaro,SAMN02138557,PDT000019224.2,train,NA,S,NA,NA,R,S,NA,S,NA,S,NA,NA,S,S,NA,S,NA,R,NA,NA,NA,NA,SRR850982
ndaro,SAMN02138557,PDT000019224.2,train,NA,S,NA,NA,R,S,NA,S,NA,S,NA,NA,S,S,NA,S,NA,R,NA,NA,NA,NA,SRR850983
ndaro,SAMN02138558,PDT000019047.1,train,NA,S,NA,NA,R,S,NA,S,NA,S,NA,NA,S,S,NA,S,NA,R,NA,NA,NA,NA,SRR850984
ndaro,SAMN02138558,PDT000019047.1,train,NA,S,NA,NA,R,S,NA,S,NA,S,NA,NA,S,S,NA,S,NA,R,NA,NA,NA,NA,SRR850985
ndaro,SAMN02138558,PDT000019047.1,train,NA,S,NA,NA,R,S,NA,S,NA,S,NA,NA,S,S,NA,S,NA,R,NA,NA,NA,NA,SRR850986
ndaro,SAMN02138558,PDT000019047.1,train,NA,S,NA,NA,R,S,NA,S,NA,S,NA,NA,S,S,NA,S,NA,R,NA,NA,NA,NA,SRR850987
ndaro,SAMN02138559,PDT000019223.2,train,NA,S,NA,NA,R,S,NA,S,NA,S,NA,NA,S,S,NA,S,NA,R,NA,NA,NA,NA,SRR850988
ndaro,SAMN02138559,PDT000019223.2,train,NA,S,NA,NA,R,S,NA,S,NA,S,NA,NA,S,S,NA,S,NA,R,NA,NA,NA,NA,SRR850989
ndaro,SAMN02138559,PDT000019223.2,train,NA,S,NA,NA,R,S,NA,S,NA,S,NA,NA,S,S,NA,S,NA,R,NA,NA,NA,NA,SRR850990
ndaro,SAMN02138559,PDT000019223.2,train,NA,S,NA,NA,R,S,NA,S,NA,S,NA,NA,S,S,NA,S,NA,R,NA,NA,NA,NA,SRR850991
ndaro,SAMN02138561,PDT000019221.2,train,NA,S,NA,NA,R,S,NA,S,NA,S,NA,NA,S,S,NA,S,NA,R,NA,NA,NA,NA,SRR850996
ndaro,SAMN02138561,PDT000019221.2,train,NA,S,NA,NA,R,S,NA,S,NA,S,NA,NA,S,S,NA,S,NA,R,NA,NA,NA,NA,SRR850997
ndaro,SAMN02138561,PDT000019221.2,train,NA,S,NA,NA,R,S,NA,S,NA,S,NA,NA,S,S,NA,S,NA,R,NA,NA,NA,NA,SRR850998
ndaro,SAMN02138561,PDT000019221.2,train,NA,S,NA,NA,R,S,NA,S,NA,S,NA,NA,S,S,NA,S,NA,R,NA,NA,NA,NA,SRR850999
