data_source,sample_name,isolate_name,fraction,CIP,CLI,CXM,ERY,GEN,LEV,MET,MOX,OXA,PEN,TET,run_accession
patric,SAMEA1021787,1280.7376,train,S,R,NA,R,R,NA,NA,NA,NA,NA,R,ERR053013
patric,SAMEA1021807,1280.9407,train,S,R,NA,R,R,NA,NA,NA,NA,NA,R,ERR053015
patric,SAMEA1021821,1280.9384,train,R,R,NA,R,R,NA,NA,NA,NA,NA,R,ERR053034
patric,SAMEA1021823,1280.9406,train,S,R,NA,R,R,NA,NA,NA,NA,NA,R,ERR053014
patric,SAMEA1021832,1280.9383,train,R,R,NA,R,R,NA,NA,NA,NA,NA,R,ERR053033
patric,SAMEA1021848,1280.9368,train,R,R,NA,R,R,NA,NA,NA,NA,NA,R,ERR053017
patric,SAMEA1021849,1280.9382,train,R,R,NA,R,R,NA,NA,NA,NA,NA,R,ERR053032
patric,SAMEA1021856,1280.9367,train,R,R,NA,R,R,NA,NA,NA,NA,NA,R,ERR053016
patric,SAMEA1021870,1280.9381,train,R,R,NA,R,R,NA,NA,NA,NA,NA,R,ERR053031
patric,SAMEA1021876,1280.9371,train,R,R,NA,R,R,NA,NA,NA,NA,NA,R,ERR053020
patric,SAMEA1021877,1280.9379,train,S,R,NA,R,R,NA,NA,NA,NA,NA,R,ERR053029
patric,SAMEA1021900,1280.9369,train,R,R,NA,R,R,NA,NA,NA,NA,NA,R,ERR053018
patric,SAMEA1021909,1280.9402,train,R,R,NA,R,R,NA,NA,NA,NA,NA,R,ERR053042
patric,SAMEA1021910,1280.9378,train,R,R,NA,R,R,NA,NA,NA,NA,NA,R,ERR053027
patric,SAMEA1021914,1280.9401,train,R,R,NA,R,R,NA,NA,NA,NA,NA,R,ERR053041
patric,SAMEA1021915,1280.9405,train,R,R,NA,R,R,NA,NA,NA,NA,NA,R,ERR053046
patric,SAMEA1021922,1280.9377,train,R,R,NA,R,R,NA,NA,NA,NA,NA,R,ERR053026
patric,SAMEA1021934,1280.9376,train,R,R,NA,R,R,NA,NA,NA,NA,NA,R,ERR053025
patric,SAMEA1021951,1280.9404,test,R,R,NA,R,R,NA,NA,NA,NA,NA,R,ERR053044
patric,SAMEA1021952,1280.9375,test,R,R,NA,R,R,NA,NA,NA,NA,NA,R,ERR053024
patric,SAMEA1021954,1280.9403,train,R,R,NA,R,R,NA,NA,NA,NA,NA,R,ERR053043
patric,SAMEA1021970,1280.9388,test,R,R,NA,R,R,NA,NA,NA,NA,NA,R,ERR053037
patric,SAMEA1021972,1280.7374,train,S,R,NA,R,R,NA,NA,NA,NA,NA,R,ERR053008
patric,SAMEA1021973,1280.9374,test,R,R,NA,R,R,NA,NA,NA,NA,NA,R,ERR053023
patric,SAMEA1021981,1280.9386,train,S,R,NA,R,R,NA,NA,NA,NA,NA,R,ERR053009
patric,SAMEA1021986,1280.9387,train,R,R,NA,R,R,NA,NA,NA,NA,NA,R,ERR053036
patric,SAMEA1021994,1280.7372,train,S,R,NA,R,R,NA,NA,NA,NA,NA,S,ERR053010
patric,SAMEA1021995,1280.9385,train,R,R,NA,R,R,NA,NA,NA,NA,NA,R,ERR053035
patric,SAMEA1021999,1280.9372,train,R,R,NA,R,R,NA,NA,NA,NA,NA,R,ERR053021
patric,SAMEA1022003,1280.7373,train,S,R,NA,R,R,NA,NA,NA,NA,NA,S,ERR053011
patric,SAMEA1022005,1280.9399,train,R,R,NA,R,R,NA,NA,NA,NA,NA,R,ERR053039
patric,SAMEA1022012,1280.9373,train,R,R,NA,R,R,NA,NA,NA,NA,NA,R,ERR053022
patric,SAMEA1022014,1280.9398,train,R,R,NA,R,R,NA,NA,NA,NA,NA,R,ERR053038
patric,SAMEA1022020,1280.7375,train,S,R,NA,R,R,NA,NA,NA,NA,NA,R,ERR053012
patric,SAMEA2335069,1280.8789,test,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410034
patric,SAMEA2335071,1280.8791,test,S,NA,NA,S,S,NA,S,NA,NA,S,S,ERR410036
patric,SAMEA2335072,1280.9425,test,S,NA,NA,S,S,NA,S,NA,NA,S,S,ERR410037
patric,SAMEA2335073,1280.9427,train,S,NA,NA,S,S,NA,S,NA,NA,R,R,ERR410038
patric,SAMEA2335074,1280.9426,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410039
patric,SAMEA2335075,1280.9428,test,S,NA,NA,S,S,NA,S,NA,NA,R,R,ERR410040
patric,SAMEA2335076,1280.8785,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410041
patric,SAMEA2335077,1280.8795,test,S,NA,NA,S,S,NA,S,NA,NA,S,S,ERR410042
patric,SAMEA2335078,1280.9429,test,S,NA,NA,S,S,NA,S,NA,NA,S,S,ERR410043
patric,SAMEA2335079,1280.8797,test,S,NA,NA,S,S,NA,S,NA,NA,S,S,ERR410044
patric,SAMEA2335080,1280.8798,test,S,NA,NA,S,S,NA,S,NA,NA,S,S,ERR410045
patric,SAMEA2335081,1280.8799,test,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410046
