Accession,SAMPLE,BIOSAMPLE,N,Database,file
ERR1228258,ERS845911,SAMEA3538762,1,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1228300,ERS846011,SAMEA3538862,2,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217210,ERS845733,SAMEA3538584,3,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1541557,ERS1037067,SAMEA3729918,4,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217198,ERS845721,SAMEA3538572,5,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1204870,ERS807106,SAMEA3499957,6,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1228252,ERS845903,SAMEA3538754,7,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1334581,ERS956847,SAMEA3649698,8,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1541392,ERS1036817,SAMEA3729668,9,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1541371,ERS1036963,SAMEA3729814,10,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217180,ERS845703,SAMEA3538554,11,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1205067,ERS807196,SAMEA3500047,12,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1334633,ERS956935,SAMEA3649786,13,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1228224,ERS845902,SAMEA3538753,14,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1228363,ERS846086,SAMEA3538937,15,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1289802,ERS956669,SAMEA3649520,16,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1374899,ERS1028308,SAMEA3721159,17,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1415751,ERS1028282,SAMEA3721133,18,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217156,ERS845679,SAMEA3538530,19,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1374975,ERS980167,SAMEA3673018,20,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1374908,ERS1028340,SAMEA3721191,21,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1541435,ERS1036903,SAMEA3729754,22,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1541521,ERS1037031,SAMEA3729882,23,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1415611,ERS1028131,SAMEA3720982,24,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1541282,ERS1034872,SAMEA3727723,25,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1541494,ERS1037004,SAMEA3729855,26,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217418,ERS845761,SAMEA3538612,27,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1415573,ERS1028090,SAMEA3720941,28,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1228259,ERS845913,SAMEA3538764,29,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217041,ERS819271,SAMEA3512122,30,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1205073,ERS807205,SAMEA3500056,31,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1514852,ERS1034767,SAMEA3727618,32,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1514890,ERS1034805,SAMEA3727656,33,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217456,ERS845958,SAMEA3538809,34,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1228227,ERS845912,SAMEA3538763,35,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1374960,ERS980152,SAMEA3673003,36,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1514877,ERS1034792,SAMEA3727643,37,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217349,ERS822352,SAMEA3515203,38,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1374900,ERS1028314,SAMEA3721165,39,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1204872,ERS807112,SAMEA3499963,40,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1334442,ERS956818,SAMEA3649669,41,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1228280,ERS845946,SAMEA3538797,42,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1334574,ERS956637,SAMEA3649488,43,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1289789,ERS956656,SAMEA3649507,44,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217027,ERS819257,SAMEA3512108,45,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1228262,ERS845917,SAMEA3538768,46,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1415658,ERS1028211,SAMEA3721062,47,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1541261,ERS1034851,SAMEA3727702,48,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1415766,ERS1028299,SAMEA3721150,49,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217245,ERS822240,SAMEA3515091,50,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1541352,ERS1036926,SAMEA3729777,51,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1228208,ERS845863,SAMEA3538714,52,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1514897,ERS1034812,SAMEA3727663,53,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1334509,ERS956572,SAMEA3649423,54,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1374995,ERS980188,SAMEA3673039,55,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217355,ERS822358,SAMEA3515209,56,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1334599,ERS956884,SAMEA3649735,57,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1228299,ERS845991,SAMEA3538842,58,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1374890,ERS1028256,SAMEA3721107,59,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
