Assembly,Level,WGS,BioSample,Isolate,Taxonomy,Source,District,Date of isolation,Read length (bp),Read number (bp),Rawdata (bp),Q20 (bp),Rate of Q20,Q30 (bp),Rate of Q30,Number of contigs,Largest contig length (bp),Total length (bp),QC ratio (%),N50 (bp),No. of CDS,BioSamples accessions,SNP cluster,Ampicillin,Ampicillin-sulbactam,Piperacillin,Piperacillin-tazobactam,Cefuroxime,Cefotetan,Ceftazidime,Ceftriaxone,Cefepime,Aztreonam,Imipenem,Amikacin,Gentamicin,Tobramycin
GCA_016916425.1,Contig,JADOQR000000000,SAMN16708142,SLM278,Salmonella enterica,Pork,Daxing,"Oct. 1st, 2017",150,6861940,1029291000,1027887300,99.86%,990107850,96.19%,42,949199,4787019,52.06,464183,4454,SAMN16708142 ,NA,≥32,≥32,64,16,16,≤4,≤1,≤1,≤1,≤1,≤1,16,≥16,≥16
GCA_016916415.1,Contig,JADOQS000000000,SAMN16708143,SLM279,Salmonella enterica,Chicken,Huairou,"Oct. 1st, 2017",150,5811554,871733100,870154950,99.82%,831952500,95.44%,21,1319040,4656170,52.1,489749,4365,SAMN16708143 ,PDS000026869.146,≥32,≥32,≥128,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016916395.1,Contig,JADOQV000000000,SAMN16708146,SLM282,Salmonella enterica,Chicken,Huairou,"Oct. 1st, 2017",150,9390156,1408523400,1406518500,99.86%,1354098750,96.14%,23,1549246,4725894,52.09,489749,4446,SAMN16708146 ,PDS000026869.146,≥32,≥32,≥128,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016916375.1,Contig,JADOQY000000000,SAMN16708149,SLM285,Salmonella enterica,Chicken,Tongzhou,"Oct. 1st, 2017",150,9442362,1416354300,1413855750,99.82%,1353339150,95.55%,31,1093476,4759341,52.28,513767,4469,SAMN16708149 ,PDS000081904.1,≤2,≤2,≤4,≤4,4,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016916345.1,Contig,JADOQX000000000,SAMN16708148,SLM284,Salmonella enterica,Chicken,Tongzhou,"Oct. 1st, 2017",150,11055430,1658314500,1655508300,99.83%,1584439950,95.55%,26,1280047,4991170,51.93,408970,4715,SAMN16708148 ,NA,≥32,8,16,≤4,4,≤4,≤1,≤1,≤1,≤1,2,≥64,≥16,≥16
GCA_016916335.1,Contig,JADOQW000000000,SAMN16708147,SLM283,Salmonella enterica,Chicken,Huairou,"Oct. 1st, 2017",150,6005536,900830400,899637450,99.87%,866079600,96.14%,41,503733,4889286,52.13,256854,4596,SAMN16708147 ,NA,≤2,≤2,≤4,≤4,4,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016916315.1,Contig,JADOQZ000000000,SAMN16708150,SLM286,Salmonella enterica,Chicken,Tongzhou,"Oct. 1st, 2017",150,5562982,834447300,832697700,99.79%,794011650,95.15%,69,425633,4756043,52.04,153513,4458,SAMN16708150 ,PDS000043691.12,≥32,≥32,≥128,16,≥64,≤4,4,≥64,4,16,≤1,4,≥16,≥16
GCA_016916295.1,Contig,JADORB000000000,SAMN16708152,SLM288,Salmonella enterica,Beef,Haidian,"Oct. 1st, 2017",150,8420624,1263093600,1261170900,99.85%,1211240850,95.89%,32,681234,4742668,52.02,365167,4401,SAMN16708152 ,PDS000031615.2,≤2,≤2,≤4,≤4,4,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016916275.1,Contig,JADORA000000000,SAMN16708151,SLM287,Salmonella enterica,Chicken,Chaoyang,"Oct. 1st, 2017",150,6578392,986758800,984646800,99.79%,939756900,95.24%,21,1549243,4756296,52.09,489656,4492,SAMN16708151 ,PDS000004748.44,≥32,≥32,≥128,8,≥64,8,2,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016916255.1,Contig,JADORC000000000,SAMN16708153,SLM289,Salmonella enterica,Pork,Xicheng,"Oct. 1st, 2017",150,7878916,1181837400,1179406500,99.79%,1125627000,95.24%,29,658813,4640590,52.23,421460,4303,SAMN16708153 ,PDS000078401.3,≤2,≤2,≤4,≤4,4,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
