study_accession,sample_accession,sra_accessions,experiment_accession,run_accession,tax_id,scientific_name,fastq_ftp,submitted_ftp,sra_ftp,sample_set,comid,species,Rifampicin,Isoniazid,Ethambutol,Kanamycin,Capreomycin,Amikacin,Streptomycin,Ciprofloxacin,Moxifloxacin,Amoxicillin
PRJEB5162,SAMEA2297131,ERS389518,ERX366668,ERR400307,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/ERR400307/ERR400307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/ERR400307/ERR400307_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR400/ERR400307/C00016493.bam,NA,MTBC_A3,C00016493,NA,S,S,S,NA,NA,NA,S,NA,NA,NA
PRJEB5162,SAMEA2297132,ERS389519,ERX366669,ERR400308,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/ERR400308/ERR400308_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/ERR400308/ERR400308_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR400/ERR400308/C00016494.bam,NA,MTBC_A3,C00016494,NA,S,S,S,NA,NA,NA,S,NA,NA,NA
PRJEB5162,SAMEA2297133,ERS389520,ERX366670,ERR400309,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/ERR400309/ERR400309_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/ERR400309/ERR400309_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR400/ERR400309/C00016496.bam,NA,MTBC_A3,C00016496,NA,S,S,S,NA,NA,NA,S,NA,NA,NA
PRJEB5162,SAMEA2297135,ERS389522,ERX366672,ERR400311,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/ERR400311/ERR400311_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/ERR400311/ERR400311_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR400/ERR400311/C00016499.bam,NA,MTBC_A3,C00016499,NA,S,S,S,NA,NA,NA,S,NA,NA,NA
PRJEB5162,SAMEA2297136,ERS389523,ERX366673,ERR400312,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/ERR400312/ERR400312_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/ERR400312/ERR400312_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR400/ERR400312/C00016500.bam,NA,MTBC_A3,C00016500,NA,S,S,S,NA,NA,NA,S,NA,NA,NA
PRJEB5162,SAMEA2297137,ERS389524,ERX366674,ERR400313,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/ERR400313/ERR400313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/ERR400313/ERR400313_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR400/ERR400313/C00016501.bam,NA,MTBC_A3,C00016501,NA,S,S,S,NA,NA,NA,S,NA,NA,NA
PRJEB5162,SAMEA2297138,ERS389525,ERX366675,ERR400314,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/ERR400314/ERR400314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/ERR400314/ERR400314_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR400/ERR400314/C00016502.bam,NA,MTBC_A3,C00016502,NA,S,S,S,NA,NA,NA,S,NA,NA,NA
PRJEB5162,SAMEA2297140,ERS389527,ERX366677,ERR400316,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/ERR400316/ERR400316_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/ERR400316/ERR400316_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR400/ERR400316/C00016504.bam,NA,MTBC_A3,C00016504,NA,S,S,S,NA,NA,NA,S,NA,NA,NA
PRJEB5162,SAMEA2297141,ERS389528,ERX366678,ERR400317,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/ERR400317/ERR400317_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/ERR400317/ERR400317_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR400/ERR400317/C00016505.bam,NA,MTBC_A3,C00016505,NA,S,S,S,NA,NA,NA,S,NA,NA,NA
PRJEB5162,SAMEA2297142,ERS389529,ERX366679,ERR400318,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/ERR400318/ERR400318_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/ERR400318/ERR400318_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR400/ERR400318/C00016507.bam,NA,MTBC_A3,C00016507,NA,S,S,S,NA,NA,NA,S,NA,NA,NA
