Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Isolate,Isolation_Source,Sample ID,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SAMPLE_TYPE,SRA Study,STRAIN,Dataset,Sample_type,ST,ampicillin_MIC,ampicillin_RIS,ampicillin_genotypic_prediction_v.1,pbp5,vancomycin_MIC,vancomycin_RIS,vancomycin_genotypic_prediction,VanA_depth,VanA_diffs,VanH.Pt_depth,VanX_depth,VanX_diffs,VanY.A_depth,VanY.A_diffs,VanR.A_depth,VanS.A_depth,VanB_depth,VanB_diffs,VanH.B_depth,VanX.B_depth,VanY.B_depth,VanR.B_depth,VanS.B_depth,gentamicin.high.level_RIS,gentamicin_genotypic_prediction,Aac6.Aph2_depth,Aac6.Aph2_diffs,Aph3..Ia_depth,Aph3..Ia_diffs,Aph3.III_depth,Aph3.III_diffs,Aac6.Ii_depth,Aac6.Ii_diffs,Ant6.Ia_depth,Ant6.Ia_diffs,ciprofloxacin_MIC,ciprofloxacin_RIS,ciprofloxacin_genotypic_prediction,levofloxacin_MIC,levofloxacin_RIS,levofloxacin_genotypic_prediction,gyrA 84,parC 82,tetracycline_MIC,tetracycline_RIS,tetracycline_genotypic_prediction,doxycycline_MIC,doxycycline_RIS,doxycycline_genotypic_prediction_v.1,TetL_depth,TetL_diffs,TetM_depth,TetM_diffs,TetS_depth,TetS_diffs,TetU_depth,TetU_diffs,linezolid_MIC,linezolid_RIS,linezolid_genotypic_prediction,23S_G2576T_AlleleFraction,poxtA,cfrB
SRR16346979,WGS,263,1139720457,PRJNA771404,SAMN22135184,"Microbe\, viral or environmental",506544032,MASSACHUSETTS GENERAL HOSPITAL,2017-03,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX12624942,USA,North America,USA: Boston,Homo sapiens,NextSeq 500,P-7719,"biopsy\,pubic bone",Efm-102,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-102,Isolate,SRP341454,not available,Derivation,"biopsy,pubic bone",18,32,R,R,485A,32,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.802,1snp,195.417,223.072,197.632,240.545,238.638,S,S,NA,NA,NA,NA,766.892,0 snps,227.984,2snp,954.235,0 snps,8,R,R,8,R,R,Y,I,1,S,S,0.5,S,S,NA,NA,NA,NA,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16346980,WGS,280,163802247,PRJNA771404,SAMN22135145,"Microbe\, viral or environmental",69503075,MASSACHUSETTS GENERAL HOSPITAL,2016-08,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX12624897,USA,North America,USA: Boston,Homo sapiens,NextSeq 500,P-9883,rectal,Efm-63,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-63,Isolate,SRP341454,not available,Derivation,rectal,117,32,R,R,485A,32,R,R,44.611,0 snps,64.573,48.438,34snp,46.774,0 snps,41.912,48.225,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,NA,NA,76.334,0 snps,15.64,2snp,63.097,0 snps,8,R,R,8,R,R,Y,I,1,S,S,0.5,S,S,NA,NA,NA,NA,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16346981,WGS,277,158968275,PRJNA771404,SAMN22135144,"Microbe\, viral or environmental",68316372,MASSACHUSETTS GENERAL HOSPITAL,2016-08,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX12624896,USA,North America,USA: Boston,Homo sapiens,NextSeq 500,P-10661,rectal,Efm-62,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-62,Isolate,SRP341454,not available,Derivation,rectal,17,32,R,R,485A,32,R,R,69.495,1snp,85.884,73.549,34snp,63.393,1snp,54.479,71.616,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,NA,NA,73.354,1snp,12.398,2snp,76.364,1indel,8,R,R,8,R,R,Y,R,16,R,R,8,I,R,NA,NA,29.409,43snp,NA,NA,1041.944,3snp,2,S,S,0,NA,NA
SRR16346982,WGS,288,125711678,PRJNA771404,SAMN22135143,"Microbe\, viral or environmental",48644941,MASSACHUSETTS GENERAL HOSPITAL,2016-08,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX12624895,USA,North America,USA: Boston,Homo sapiens,NextSeq 500,P-390,abdominal,Efm-61,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-61,Isolate,SRP341454,not available,Derivation,abdominal,18,32,R,R,485A,32,R,R,84.66,1snp,129.067,88.016,34snp,28.164,1snp,75.471,98.479,NA,NA,NA,NA,NA,NA,NA,S,S,10.745,143holes,NA,NA,NA,NA,17.78,2snp,58.735,0 snps,8,R,R,8,R,R,Y,R,16,R,R,8,I,R,NA,NA,19.059,43snp91holes,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16346983,WGS,263,263658464,PRJNA771404,SAMN22135089,"Microbe\, viral or environmental",119796037,MASSACHUSETTS GENERAL HOSPITAL,2016-03,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX12624894,USA,North America,USA: Boston,Homo sapiens,Illumina MiSeq,P-4545,blood culture,Efm-7,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-7,Isolate,SRP341454,not available,Derivation,blood culture,117,32,R,R,485A,32,R,R,105.179,0 snps,102.286,94.593,34snp,121.183,0 snps,106.723,117.057,NA,NA,NA,NA,NA,NA,NA,R,R,97.621,0 snps,NA,NA,143.134,0 snps,73.085,2snp,129.652,0 snps,8,R,R,8,R,R,Y,I,1,S,S,0.5,S,S,NA,NA,NA,NA,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16346984,WGS,263,900983959,PRJNA771404,SAMN22135142,"Microbe\, viral or environmental",395667230,MASSACHUSETTS GENERAL HOSPITAL,2016-07,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX12624893,USA,North America,USA: Boston,Homo sapiens,NextSeq 500,P-7901,urine,Efm-60,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-60,Isolate,SRP341454,not available,Derivation,urine,117,32,R,R,485A,32,R,R,235.297,0 snps,242.584,229.757,34snp,244.183,0 snps,216.039,252.867,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,NA,NA,449.675,0 snps,208.407,2snp,497.801,0 snps,8,R,R,8,R,R,Y,I,1,S,S,0.5,S,S,NA,NA,NA,NA,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16346985,WGS,279,361018257,PRJNA771404,SAMN22135141,"Microbe\, viral or environmental",154813887,MASSACHUSETTS GENERAL HOSPITAL,2016-07,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX12624892,USA,North America,USA: Boston,Homo sapiens,NextSeq 500,P-3256,urine,Efm-59,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-59,Isolate,SRP341454,not available,Derivation,urine,412,NA,R,R,485A,NA,R,R,209.578,1snp,253.985,199.279,34snp,NA,NA,148.568,222.688,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.084,129holes,NA,NA,1.682,1snp,45.14,2snp,NA,NA,NA,NA,R,NA,R,R,Y,R,NA,R,R,NA,R,R,65.722,1snp34holes,149.036,16snp,NA,NA,NA,NA,NA,S,R,0.699145299,NA,NA
SRR16346986,WGS,278,237290067,PRJNA771404,SAMN22135140,"Microbe\, viral or environmental",103047504,MASSACHUSETTS GENERAL HOSPITAL,2016-07,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX12624891,USA,North America,USA: Boston,Homo sapiens,NextSeq 500,P-1568,"abdominal\,left lower quadrant",Efm-58,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-58,Isolate,SRP341454,not available,Derivation,"abdominal,left lower quadrant",NF,2,S,S,485M,0.5,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,NA,NA,NA,NA,53.293,1snp,NA,NA,1,S,S,2,S,S,S,S,1,S,S,0.5,S,S,NA,NA,NA,NA,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16346987,WGS,274,380280742,PRJNA771404,SAMN22135139,"Microbe\, viral or environmental",166838614,MASSACHUSETTS GENERAL HOSPITAL,2016-07,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX12624890,USA,North America,USA: Boston,Homo sapiens,NextSeq 500,P-12500,rectal,Efm-57,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-57,Isolate,SRP341454,not available,Derivation,rectal,736,32,R,R,485A,32,R,R,144.71,1snp,227.561,184.78,34snp,319.559,0 snps,157.395,235.525,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,NA,NA,180.177,0 snps,65.058,2snp,329.368,1indel,8,R,R,8,R,R,R,R,16,R,R,16,R,R,116.554,1snp34holes,115.264,48snp106holes,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16346988,WGS,277,257877790,PRJNA771404,SAMN22135138,"Microbe\, viral or environmental",112239630,MASSACHUSETTS GENERAL HOSPITAL,2016-07,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX12624889,USA,North America,USA: Boston,Homo sapiens,NextSeq 500,P-17401,stool,Efm-56,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-56,Isolate,SRP341454,not available,Derivation,stool,18,32,R,R,485A,32,R,R,150.442,1snp,185.132,177.093,34snp,258.056,1snp,165.336,200.232,NA,NA,NA,NA,NA,NA,NA,S,S,142.88,129holes,NA,NA,184.111,1snp,47.647,2snp,278.029,0 snps,8,R,R,8,R,R,Y,R,16,R,R,8,I,R,NA,NA,68.476,39snp1indel,NA,NA,NA,NA,2,S,S,0,NA,NA
