study_accession,sample_accession,ERS Number,experiment_accession,run_accession,tax_id,scientific_name,fastq_ftp,submitted_ftp,sra_ftp,id,__latitude,__longitude,MLST,spa,SCCMec,country,country__colour,country__shape,city,source,HosCom,mrsa,mrsa__colour,mrsa__shape,mrsa__groupcolour,PCG,FOX,CIP,MOX,AMI,GEN,TOB,ERY,CLI,TET,FUS,MUP,RIF,TRI,eta,PVL,chp,sak,scn,sea_sep,lukM,sasX,tstH,acr
PRJEB2478,SAMEA698630,ERS026663,ERX012519,ERR033238,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/fastq/ERR033/ERR033238/ERR033238_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR033/ERR033238/ERR033238_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR033/ERR033238/4238_1#0.srf,ftp.sra.ebi.ac.uk/vol1/err/ERR033/ERR033238,173_BE_8,50.48435,3.834886,8,t068,Ivc,Belgium,#3C8106,circle,BAUDOUR,BC,CO,1,#ED462F,circle,#ED462F,resistant,resistant,resistant,NA,NA,NA,NA,resistant,resistant,NA,NA,NA,NA,NA,NA,NA,NA,sak,scn,sea,NA,NA,NA,NA
PRJEB2478,SAMEA698593,ERS026667,ERX012519,ERR033238,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/fastq/ERR033/ERR033238/ERR033238_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR033/ERR033238/ERR033238_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR033/ERR033238/4238_1#0.srf,ftp.sra.ebi.ac.uk/vol1/err/ERR033/ERR033238,187_BE_5,50.37672,4.413766,5,t002,IVc,Belgium,#3C8106,circle,MONTIGNIES-LE-TILLEUL,BC,HA,1,#ED462F,circle,#ED462F,resistant,resistant,resistant,resistant,resistant,NA,resistant,NA,NA,resistant,NA,NA,NA,NA,NA,NA,chp,sak,scn,sep,NA,NA,NA,NA
PRJEB2478,SAMEA698505,ERS026658,ERX012519,ERR033238,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/fastq/ERR033/ERR033238/ERR033238_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR033/ERR033238/ERR033238_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR033/ERR033238/4238_1#0.srf,ftp.sra.ebi.ac.uk/vol1/err/ERR033/ERR033238,48_BE_45,50.96356,5.500185,45,t2537,Ivk*,Belgium,#3C8106,circle,GENK,PF,NA,1,#ED462F,circle,#FFF734,resistant,resistant,resistant,resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chp,sak,scn,NA,NA,NA,NA,NA
PRJEB2478,SAMEA698628,ERS026661,ERX012519,ERR033238,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/fastq/ERR033/ERR033238/ERR033238_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR033/ERR033238/ERR033238_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR033/ERR033238/4238_1#0.srf,ftp.sra.ebi.ac.uk/vol1/err/ERR033/ERR033238,15_BE_45,50.85128,2.884192,45,t1402,IV,Belgium,#3C8106,circle,IEPER,BC,CO,1,#ED462F,circle,#FFF734,resistant,resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chp,sak,scn,NA,NA,NA,NA,NA
PRJEB2478,SAMEA698592,ERS026664,ERX012519,ERR033238,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/fastq/ERR033/ERR033238/ERR033238_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR033/ERR033238/ERR033238_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR033/ERR033238/4238_1#0.srf,ftp.sra.ebi.ac.uk/vol1/err/ERR033/ERR033238,159_BE_8,50.48435,3.834886,8,t121,IVx,Belgium,#3C8106,circle,BAUDOUR,BC,HA,1,#ED462F,circle,#ED462F,resistant,resistant,resistant,resistant,resistant,NA,resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sak,scn,sea,NA,NA,NA,NA
PRJEB2478,SAMEA698590,ERS026662,ERX012519,ERR033238,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/fastq/ERR033/ERR033238/ERR033238_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR033/ERR033238/ERR033238_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR033/ERR033238/4238_1#0.srf,ftp.sra.ebi.ac.uk/vol1/err/ERR033/ERR033238,170_BE_8,50.47788,4.187975,8,t008,IVc,Belgium,#3C8106,circle,LA LOUVIERE,BC,HA,1,#ED462F,circle,#FFF734,resistant,resistant,resistant,NA,resistant,NA,resistant,resistant,resistant,NA,NA,NA,NA,NA,NA,NA,NA,sak,scn,sea,NA,NA,NA,NA
PRJEB2478,SAMEA698629,ERS026660,ERX012519,ERR033238,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/fastq/ERR033/ERR033238/ERR033238_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR033/ERR033238/ERR033238_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR033/ERR033238/4238_1#0.srf,ftp.sra.ebi.ac.uk/vol1/err/ERR033/ERR033238,49_BE_45,50.94466,3.123372,45,t038,Ivk*,Belgium,#3C8106,circle,ROESELARE,BC,HA,1,#ED462F,circle,#ED462F,resistant,resistant,resistant,resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chp,sak,scn,NA,NA,NA,NA,NA
PRJEB2478,SAMEA698514,ERS026657,ERX012519,ERR033238,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/fastq/ERR033/ERR033238/ERR033238_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR033/ERR033238/ERR033238_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR033/ERR033238/4238_1#0.srf,ftp.sra.ebi.ac.uk/vol1/err/ERR033/ERR033238,168_BE_8,51.05401,3.721696,8,t008,Ivc,Belgium,#3C8106,circle,GENT,BC,CO,1,#ED462F,circle,#ED462F,resistant,resistant,resistant,NA,NA,NA,NA,resistant,resistant,NA,resistant,NA,NA,NA,NA,NA,NA,sak,scn,sea,NA,NA,NA,NA
PRJEB2478,SAMEA698513,ERS026656,ERX012519,ERR033238,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/fastq/ERR033/ERR033238/ERR033238_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR033/ERR033238/ERR033238_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR033/ERR033238/4238_1#0.srf,ftp.sra.ebi.ac.uk/vol1/err/ERR033/ERR033238,46_BE_45,51.20941,3.22523,45,t740,IVk*,Belgium,#3C8106,circle,Brugge,BC,CO,1,#ED462F,circle,#ED462F,resistant,resistant,resistant,resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chp,sak,scn,NA,NA,NA,NA,NA
PRJEB2478,SAMEA698513,ERS026656,ERX2004434,ERR033239,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/fastq/ERR033/ERR033239/ERR033239_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR033/ERR033239/ERR033239_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR033/ERR033239/4238_1#1.srf,NA,46_BE_45,51.20941,3.22523,45,t740,IVk*,Belgium,#3C8106,circle,Brugge,BC,CO,1,#ED462F,circle,#ED462F,resistant,resistant,resistant,resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chp,sak,scn,NA,NA,NA,NA,NA
