run_accession,study_accession,NCBI BioSample Accession,tax_id,scientific_name,submitted_ftp,Study ID,Food Microbe Tracker IDb,Farm ID,Isolation Sourcec,Isolation Date (MM/DD/YY),NCBI Sequence Read Archive (SRA) Accession,Pulsed Field Gel Electrophoresis (PFGE) Type Number,Traditional Laboratory-Assigned Serotype,SeqSero2 Predicted Serotype,SISTR Serotype (Antigen),SISTR Serotype (cgMLST),WGS Phylogeny Serotype Clusterd,Used as a Reference for Within-Serotype SNP Calling (Serotype)e,Amikacin MIC,Amikacin  NARMS Breakpoint,Amikacin SIR,Amoxicillin/Clavulanic Acid MIC,Amoxicillin/Clavulanic Acid  NARMS Breakpoint,Amoxicillin/Clavulanic Acid SIR,Ampicillin MIC,Ampicillin  NARMS Breakpoint,Ampicillin SIR,Cefoxitin MIC,Cefoxitin  NARMS Breakpoint,Cefoxitin SIR,Ceftiofur MIC,Ceftiofur  NARMS Breakpoint,Ceftiofur SIR,Ceftriaxone MIC,Ceftriaxone  NARMS Breakpoint,Ceftriaxone SIR,Chloramphenicol MIC,Chloramphenicol  NARMS Breakpoint,Chloramphenicol SIR,Ciprofloxacin MIC,Ciprofloxacin  NARMS Breakpoint,Ciprofloxacin SIR,Gentamicin MIC,Gentamicin  NARMS Breakpoint,Gentamicin SIR,Kanamycin MIC,Kanamycin  NARMS Breakpoint,Kanamycin SIR,Nalidixic Acid MIC,Nalidixic Acid  NARMS Breakpoint,Nalidixic Acid SIR,Streptomycin MIC,Streptomycin  NARMS Breakpoint,Streptomycin SIR,Sulfamethoxazole/Trimethoprim MIC,Sulfamethoxazole/Trimethoprim  NARMS Breakpoint,Sulfamethoxazole/Trimethoprim SIR,Sulfisoxazole MICf,Sulfisoxazole  NARMS Breakpointf,Sulfisoxazole SIRf,Tetracycline MIC,Tetracycline  NARMS Breakpoint,Tetracycline SIR,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,GC (%),N50,N75,L50,L75,# N's per 100 kbp,Marker lineage,Completeness,Contamination
SRR15539692,PRJNA756552,SAMN20884410,90371,Salmonella enterica subsp. enterica serovar Typhimurium,NA,ENV_TYPH_25_07-01-08_R8-1622,FSL R8-1622,25,Farm environment,01/07/2008,NA,CU-1034,Typhimurium,Typhimurium O5- (Typhimurium Copenhagen),Typhimurium|Lagos,Typhimurium,Typhimurium/Typhimurium Copenhagen,No (Not Applicable),2,16;32;64,S,16,8;16;32,I,32,8;16;32,R,2,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,1,4;8;16,S,64,16;32;64,R,2,16;32,S,64,32;64,R,0.12,2;4,S,256,256;512,R,32,4;8;16,R,114,77,54,44,33,25,5142317,5126718,5076319,5015882,4822373,4549293,114,659729,5142317,52.15,225890,91624,7,16,0,f__Enterobacteriaceae (UID5139),100,0.22
SRR15539693,PRJNA756552,SAMN20884401,486999,Salmonella enterica subsp. enterica serovar Meleagridis,NA,ENV_MELA_11_09-28-08_R8-2244,FSL R8-2244,11,Farm environment,28/09/2008,NA,CU-1028,Meleagridis,Meleagridis,Meleagridis|Calabar,Meleagridis,Meleagridis,No (Not Applicable),1,16;32;64,S,1,8;16;32,S,1,8;16;32,S,4,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,8,16;32;64,S,4,16;32,S,32,32;64,S,0.12,2;4,S,32,256;512,S,4,4;8;16,S,100,69,57,51,45,32,4809518,4800544,4771777,4723753,4613911,4169535,100,280261,4809518,52.11,134662,74337,12,24,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539694,PRJNA756552,SAMN20884400,108619,Salmonella enterica subsp. enterica serovar Newport,NA,ENV_NEWP_35_12-09-08_R8-3136,FSL R8-3136,35,Farm environment,09/12/2008,NA,CU-126,Newport,Newport,Newport|Bardo|Ferruch|Kottbus,Newport,Newport,No (Not Applicable),1,16;32;64,S,32,8;16;32,R,32,8;16;32,R,32,8;16;32,R,8,2;4;8,R,32,1;2;4,R,32,8;16;32,R,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,8,16;32;64,S,2,16;32,S,64,32;64,R,0.12,2;4,S,256,256;512,R,32,4;8;16,R,102,66,54,51,43,29,4914329,4900894,4877693,4860364,4706441,4164318,102,379807,4914329,52.18,173207,80220,11,22,0,f__Enterobacteriaceae (UID5139),100,0.24
SRR15539695,PRJNA756552,SAMN20884499,486999,Salmonella enterica subsp. enterica serovar Meleagridis,NA,ENV_MELA_01_01-10-08_R8-0165,FSL R8-0165,1,Farm environment,10/01/2008,NA,CU-175,Meleagridis,Meleagridis,Meleagridis|Calabar,Meleagridis,Meleagridis,No (Not Applicable),NA,16;32;64,S,NA,8;16;32,S,NA,8;16;32,S,NA,8;16;32,S,NA,2;4;8,S,NA,1;2;4,S,NA,8;16;32,S,NA,0.06;0.12 - 0.5;1,S,NA,4;8;16,S,NA,16;32;64,S,NA,16;32,S,NA,32;64,S,NA,2;4,S,NA,256;512,S,NA,4;8;16,S,79,51,42,37,34,26,4806523,4798237,4778001,4740216,4683583,4379299,79,550703,4806523,52.12,211802,104988,8,16,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539696,PRJNA756552,SAMN20884498,108619,Salmonella enterica subsp. enterica serovar Newport,NA,ENV_NEWP_62_05-28-09_R8-4026,FSL R8-4026,62,Farm environment,28/05/2009,NA,CU-121,Newport,Newport,Newport|Bardo|Ferruch|Kottbus,Newport,Newport,No (Not Applicable),1,16;32;64,S,32,8;16;32,R,32,8;16;32,R,32,8;16;32,R,8,2;4;8,R,32,1;2;4,R,32,8;16;32,R,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,64,16;32;64,R,4,16;32,S,64,32;64,R,0.12,2;4,S,256,256;512,R,32,4;8;16,R,138,100,70,63,46,32,4922724,4907782,4836719,4789074,4490575,3989672,138,323444,4922724,52.2,128585,58896,13,27,0,f__Enterobacteriaceae (UID5139),99.9,0.27
SRR15539697,PRJNA756552,SAMN20884497,108619,Salmonella enterica subsp. enterica serovar Newport,NA,BOV_NEWP_62_10-14-08_R8-2874,FSL R8-2874,62,Bovine,14/10/2008,NA,CU-121,Newport,Newport,Newport|Bardo|Ferruch|Kottbus,Newport,Newport,No (Not Applicable),1,16;32;64,S,32,8;16;32,R,32,8;16;32,R,32,8;16;32,R,8,2;4;8,R,32,1;2;4,R,32,8;16;32,R,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,64,16;32;64,R,2,16;32,S,64,32;64,R,0.12,2;4,S,256,256;512,R,32,4;8;16,R,87,51,26,23,18,13,4928359,4914724,4864175,4841953,4748542,4559957,87,1251270,4928359,52.17,496091,260432,4,7,0,f__Enterobacteriaceae (UID5139),100,0.22
SRR15539698,PRJNA756552,SAMN20884496,486999,Salmonella enterica subsp. enterica serovar Meleagridis,NA,ENV_MELA_01_06-13-08_R8-1406,FSL R8-1406,1,Farm environment,13/06/2008,NA,CU-175,Meleagridis,Meleagridis,Meleagridis|Calabar,Meleagridis,Meleagridis,Yes (Meleagridis),1,16;32;64,S,1,8;16;32,S,1,8;16;32,S,4,8;16;32,S,1,2;4;8,S,0.12,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,8,16;32;64,S,4,16;32,S,32,32;64,S,0.12,2;4,S,32,256;512,S,4,4;8;16,S,63,28,21,19,19,14,4810323,4800586,4787371,4771597,4771597,4589396,63,927679,4810323,52.12,492508,265085,4,7,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539699,PRJNA756552,SAMN20884495,108619,Salmonella enterica subsp. enterica serovar Newport,NA,BOV_NEWP_17_12-12-07_R8-0206,FSL R8-0206,17,Bovine,12/12/2007,NA,PFGE not performed,Newport,Newport,Newport|Bardo|Ferruch|Kottbus,Newport,Newport,No (Not Applicable),1,16;32;64,S,32,8;16;32,R,32,8;16;32,R,32,8;16;32,R,8,2;4;8,R,32,1;2;4,R,32,8;16;32,R,0.015,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,64,16;32;64,R,2,16;32,S,64,32;64,R,0.25,2;4,S,256,256;512,R,32,4;8;16,R,114,62,35,31,27,21,4977902,4962082,4905649,4876871,4810962,4622002,114,849097,4977902,52.17,300186,145597,6,12,0,f__Enterobacteriaceae (UID5139),100,0.22
SRR15539700,PRJNA756552,SAMN20884494,58712,Salmonella enterica subsp. enterica serovar Anatum,NA,ENV_ANAT_39_11-13-07_R6-0929,FSL R6-0929,39,Farm environment,13/11/2007,NA,CU-423,Anatum var. 15+,Anatum,Anatum|Hayindogo,Anatum,Anatum,No (Not Applicable),1,16;32;64,S,1,8;16;32,S,1,8;16;32,S,4,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,8,16;32;64,S,4,16;32,S,32,32;64,S,0.12,2;4,S,32,256;512,S,4,4;8;16,S,74,48,40,36,31,25,4819142,4810341,4787892,4758345,4667732,4474176,74,632466,4819142,52.12,240816,107064,7,15,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539701,PRJNA756552,SAMN20884493,90371,Salmonella enterica subsp. enterica serovar Typhimurium,NA,BOV_TYPH_17_12-12-07_R8-0208,FSL R8-0208,17,Bovine,12/12/2007,NA,CU-71,Typhimurium* (Cerro),Typhimurium O5- (Typhimurium Copenhagen),Typhimurium|Lagos,Typhimurium,Typhimurium/Typhimurium Copenhagen,Yes (Typhimurium/Typhimurium Copenhagen),1,16;32;64,S,1,8;16;32,S,1,8;16;32,S,2,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,8,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,1.25,16;32;64,S,4,16;32,S,8,32;64,S,0.12,2;4,S,16,256;512,S,4,4;8;16,S,75,51,43,42,30,24,4745192,4735625,4720787,4714776,4497523,4277736,75,430362,4745192,52.19,191687,114026,8,15,0,f__Enterobacteriaceae (UID5139),100,0.04
