run_accession,study_accession,Accession No,tax_id,scientific_name,submitted_ftp,No.,Isolate ID,Depth of coverage,Lineage,Sub-lineage,RD,"NCBI BioProject 
accession no.",Isolate set,DR type,ofloxacin,gatifloxacin,levofloxacin,moxifloxacin
SRR5709748,PRJNA390471,SAMN07236299,1773,Mycobacterium tuberculosis,NA,52,WMB276,79.14,East-Asian,Lineage 2.1,(RD105),PRJNA390471,training set,Pre-XDR,R,S,R,R
SRR5709749,PRJNA390471,SAMN07236298,1773,Mycobacterium tuberculosis,NA,51,WMB275,91.3,East-Asian,Lineage 2.2.1.1,"(RD105,207,181,150)",PRJNA390471,training set,Pre-XDR,R,S,R,R
SRR5709750,PRJNA390471,SAMN07236304,1773,Mycobacterium tuberculosis,NA,57,WMB282,117.64,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,FQR,R,S,S,S
SRR5709751,PRJNA390471,SAMN07236276,1773,Mycobacterium tuberculosis,NA,29,WMB252,89.23,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pre-XDR,R,S,S,S
SRR5709752,PRJNA390471,SAMN07236277,1773,Mycobacterium tuberculosis,NA,30,WMB253,49.59,Euro-American,"Lineage 4.2, 4.4, 4.7, H37Rv like and others",(pks15/1:7D),PRJNA390471,training set,Pre-XDR,R,S,R,R
SRR5709753,PRJNA390471,SAMN07236300,1773,Mycobacterium tuberculosis,NA,53,WMB277,47.74,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pre-XDR,R,S,S,S
SRR5709754,PRJNA390471,SAMN07236268,1773,Mycobacterium tuberculosis,NA,21,WMB244,62.57,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pre-XDR,R,R,R,R
SRR5709755,PRJNA390471,SAMN07236269,1773,Mycobacterium tuberculosis,NA,22,WMB245,51.92,Indo-Oceanic,Lineage 1,(RD239),PRJNA390471,training set,Pre-XDR,R,S,R,R
SRR5709756,PRJNA390471,SAMN07236270,1773,Mycobacterium tuberculosis,NA,23,WMB246,66.46,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pre-XDR,R,S,R,R
SRR5709757,PRJNA390471,SAMN07236271,1773,Mycobacterium tuberculosis,NA,24,WMB247,59.63,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pre-XDR,R,S,R,S
SRR5709758,PRJNA390471,SAMN07236272,1773,Mycobacterium tuberculosis,NA,25,WMB248,78.86,Indo-Oceanic,Lineage 1,(RD239),PRJNA390471,training set,FQR,R,S,S,S
SRR5709759,PRJNA390471,SAMN07236273,1773,Mycobacterium tuberculosis,NA,26,WMB249,102.36,East-Asian,Lineage 2.2.2,"(RD105,207)",PRJNA390471,training set,Pre-XDR,R,S,S,R
SRR5709760,PRJNA390471,SAMN07236274,1773,Mycobacterium tuberculosis,NA,27,WMB250,59.2,East-Asian,Lineage 2.2.2,"(RD105,207)",PRJNA390471,training set,Pre-XDR,R,S,R,R
