ID,DCM (2),Species(3),Source,Source grouped by anatomical site,Computerome QC_pipeline output Sample,Bases (MB),Qual Bases (MB),Qual bases %,Reads,Qual reads,Qual reads %,Most common adapter (count),2. Most common adapter (count),Other adapters (count),N50,No ctgs,longest,total bps,ENA accession number (ERS),ENA accession number (ERR),Species,MIC panel,amikacin,ampicillin,ampicillin/sulbactam,aztreonam,cefazolin,cefepime,cephalothin,meropenem,ertapenem,cefuroxime,gentamicin,ciprofloxacin,piperacillin/tazobactam,cefoxitin,trimethoprim,sulfamethoxazole,cefpodoxime,ceftazidime,tobramycin,tigecycline,ticarcillin/clavulanic acid,ceftriaxone,tetracycline,colistin
1D-001,F11,Escherichia coli,Tracheal secretion,Respiratory system,DTU2018-629-PRJ1139-Escherichia-coli-1D-001_R1_001,230,167,72.61%,1558918,1300692,83.44%,47,32,42,340322,122,665560,5214835,ERS4415788,ERR4013380,Escherichia coli,GN3F + FRCOL,≤8,>32,16/8,≤4,≤4,≤4,16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,>16,0.5
1D-002,F11,Escherichia coli,Urine,Urine,DTU2018-630-PRJ1139-Escherichia-coli-1D-002_R1_001,344,274,79.60%,2327278,2052426,88.19%,71,48,110,191538,99,356851,5168590,ERS4415789,ERR4013381,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.5
1D-003,F11,Escherichia coli,Urine,Urine,DTU2018-631-PRJ1139-Escherichia-coli-1D-003_R1_001,341,265,77.73%,2297928,1998500,86.97%,64,47,82,153254,136,525671,5269139,ERS4415790,ERR4013382,Escherichia coli,GN3F + FRCOL,≤8,>32,8/4,≤4,≤4,≤4,8,≤1,≤2,≤4,>16,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,>8,≤1,≤16/2,≤1,2,0.5
1D-004,F11,Escherichia coli,Blood,Blood,DTU2018-632-PRJ1139-Escherichia-coli-1D-004_R1_001,179,154,86.22%,1272964,1165940,91.59%,98,66,100,106108,161,347646,5174137,ERS4415791,ERR4013383,Escherichia coli,GN3F + FRCOL,≤8,>32,32/16,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,>4,≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,32/2,≤1,1,0.25
1D-005,F10,Escherichia coli,Urine,Urine,DTU2018-633-PRJ1139-Escherichia-coli-1D-005_R1_001,451,369,81.83%,3041594,2732600,89.84%,75,47,123,213500,105,711016,5184528,ERS4415792,ERR4013384,Escherichia coli,GN3F + FRCOL,≤8,>32,≤4/2,8,>32,≤4,>16,≤1,≤2,>32,≤2,>4,≤16/4,8,>4/76,NA,>16,8,≤4,≤1,≤16/2,16,2,0.5
1D-006,F10,Escherichia coli,Urine,Urine,DTU2018-634-PRJ1139-Escherichia-coli-1D-006_R1_001,398,311,78.13%,2693492,2353268,87.37%,89,78,143,353020,103,616589,5221587,ERS4415793,ERR4013385,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.5
1D-007,F10,Escherichia coli,Urine,Urine,DTU2018-635-PRJ1139-Escherichia-coli-1D-007_R1_001,529,423,79.93%,3615192,3192898,88.32%,161,132,232,372245,129,652202,5111097,ERS4415794,ERR4013386,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.5
1D-008,F10,Escherichia coli,Urine,Urine,DTU2018-636-PRJ1139-Escherichia-coli-1D-008_R1_001,405,315,77.75%,2742032,2381972,86.87%,76,62,110,229601,52,450904,5094578,ERS4415795,ERR4013387,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,8,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.5
1D-009,F10,Escherichia coli,Blood,Blood,DTU2018-637-PRJ1139-Escherichia-coli-1D-009_R1_001,347,273,78.93%,2338210,2055690,87.92%,55,29,94,133546,88,303288,4773274,ERS4415796,ERR4013388,Escherichia coli,GN3F + FRCOL,≤8,>32,8/4,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,>16,0.25
1D-010,F10,Escherichia coli,Urine,Urine,DTU2018-638-PRJ1139-Escherichia-coli-1D-010_R1_001,743,616,82.81%,5131224,4606116,89.77%,282,199,468,381526,76,671801,5207066,ERS4415797,ERR4013389,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.25
