Assembly,Level,run_accession,sample_accession,sample,Taxonomy,CC,mecA Type,Penicillin MIC ug/ml + 15ug/ml Clavulanic acid,Penicillin MIC ug/ml,Amoxicillin MIC ug/ml + 15ug/ml Clavulanic acid,Amoxicillin MIC ug/ml,Number,Isolate,ENA accession,Penicillin/clavulanic acid susceptibility based on ECOFF of ≤2.0 µg/ml.,fastq_ftp,year
GCA_019103985.1,Contig,JAHRUY000000000,SAMN19372456,SRSAAA140002,Staphylococcus aureus,59,S2,0.25,4,1,8,NA,NA,NA,NA,NA,NA
GCA_019103965.1,Contig,JAHRUZ000000000,SAMN19372455,SRSAAA140001,Staphylococcus aureus,59,S2,4,8,4,8,NA,NA,NA,NA,NA,NA
GCA_019103945.1,Contig,JAHRUX000000000,SAMN19372457,SRSAAA140003,Staphylococcus aureus,59,S6,0.125,8,0.5,8,NA,NA,NA,NA,NA,NA
GCA_019103905.1,Contig,JAHRUW000000000,SAMN19372458,SRSAAA140004,Staphylococcus aureus,5,R3,32,16,32,32,NA,NA,NA,NA,NA,NA
GCA_019103885.1,Contig,JAHRUT000000000,SAMN19372461,SRSAAA140007,Staphylococcus aureus,59,S7,<0.03125,0.25,0.5,0.5,NA,NA,NA,NA,NA,NA
GCA_019103845.1,Contig,JAHRUS000000000,SAMN19372462,SRSAAA140008,Staphylococcus aureus,5,R4,16,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019103825.1,Contig,JAHRUQ000000000,SAMN19372464,SRSAAA140010,Staphylococcus aureus,59,S6,0.125,8,0.5,8,NA,NA,NA,NA,NA,NA
GCA_019103805.1,Contig,JAHRUR000000000,SAMN19372463,SRSAAA140009,Staphylococcus aureus,others,S7,0.0625,4,0.5,4,NA,NA,NA,NA,NA,NA
GCA_019103785.1,Contig,JAHRUP000000000,SAMN19372465,SRSAAA140011,Staphylococcus aureus,5,R3,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019103765.1,Scaffold,JAHRUN000000000,SAMN19372467,SRSAAA140013,Staphylococcus aureus,5,R3,32,16,32,16,NA,NA,NA,NA,NA,NA
GCA_019103745.1,Contig,JAHRUO000000000,SAMN19372466,SRSAAA140012,Staphylococcus aureus,5,R3,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019103715.1,Contig,JAHRUL000000000,SAMN19372469,SRSAAA140015,Staphylococcus aureus,88,S3,0.5,4,1,4,NA,NA,NA,NA,NA,NA
GCA_019103705.1,Scaffold,JAHRUM000000000,SAMN19372468,SRSAAA140014,Staphylococcus aureus,59,S2,0.5,4,1,4,NA,NA,NA,NA,NA,NA
GCA_019103685.1,Contig,JAHRUK000000000,SAMN19372470,SRSAAA140016,Staphylococcus aureus,8,S7,<0.03125,2,0.25,4,NA,NA,NA,NA,NA,NA
GCA_019103665.1,Contig,JAHRUJ000000000,SAMN19372471,SRSAAA140017,Staphylococcus aureus,others,S2,1,8,8,8,NA,NA,NA,NA,NA,NA
GCA_019103645.1,Scaffold,JAHRUI000000000,SAMN19372472,SRSAAA140018,Staphylococcus aureus,5,R5,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019103625.1,Contig,JAHRUH000000000,SAMN19372473,SRSAAA140019,Staphylococcus aureus,59,S2,0.25,4,1,8,NA,NA,NA,NA,NA,NA
