isolate_id,taxon_name,sample_name,AMC,AMI,AMP,AMS,AMX,AZT,CAZ,CEP,CFZ,CHL,CIP,CL,CLI,CRO,CTX,CXM,DOR,DOX,ERP,ERY,FA,FEP,FOX,GEN,IMI,KAN,LEV,MET,MIN,MRP,NAL,NIT,NMN,OFL,OXA,PEN,PTZ,RIF,SIZ,SPT,STR,SXT,TCC,TET,TGC,TMP,TOB,study_accession,secondary_sample_accession,experiment_accession,run_accession,tax_id,scientific_name,fastq_ftp,submitted_ftp,sra_ftp,sample_accession
113472,Klebsiella pneumoniae,SAMEA2273516,R,NA,NA,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,S,R,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PRJEB5065,ERS380911,ERX452106,ERR486274,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/ERR486/ERR486274/ERR486274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR486/ERR486274/ERR486274_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR486/ERR486274/12045_5#84.bam,NA,NA
113476,Klebsiella pneumoniae,SAMEA2273526,R,NA,NA,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,R,R,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PRJEB5065,ERS380921,ERX452581,ERR486749,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/ERR486/ERR486749/ERR486749_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR486/ERR486749/ERR486749_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR486/ERR486749/12082_4#68.bam,NA,NA
113477,Klebsiella pneumoniae,SAMEA2273527,S,NA,NA,NA,NA,NA,S,NA,NA,NA,R,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,I,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PRJEB5065,ERS380922,ERX452116,ERR486284,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/ERR486/ERR486284/ERR486284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR486/ERR486284/ERR486284_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR486/ERR486284/12045_5#94.bam,NA,NA
113478,Klebsiella pneumoniae,SAMEA2273528,S,NA,NA,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,S,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PRJEB5065,ERS380923,ERX452117,ERR486285,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/ERR486/ERR486285/ERR486285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR486/ERR486285/ERR486285_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR486/ERR486285/12045_5#95.bam,NA,NA
113479,Klebsiella pneumoniae,SAMEA2273529,I,NA,NA,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,S,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PRJEB5065,ERS380924,ERX452582,ERR486750,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/ERR486/ERR486750/ERR486750_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR486/ERR486750/ERR486750_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR486/ERR486750/12082_4#69.bam,NA,NA
113481,Klebsiella pneumoniae,SAMEA2273532,S,NA,NA,NA,NA,NA,S,NA,NA,NA,I,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,R,S,S,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,PRJEB5065,ERS380927,ERX452120,ERR486288,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/ERR486/ERR486288/ERR486288_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR486/ERR486288/ERR486288_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR486/ERR486288/12045_6#2.bam,NA,NA
133204,Klebsiella pneumoniae,SAMEA2273533,I,NA,NA,NA,NA,NA,S,NA,NA,NA,R,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,S,R,S,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,PRJEB5065,ERS380928,ERX452121,ERR486289,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/ERR486/ERR486289/ERR486289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR486/ERR486289/ERR486289_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR486/ERR486289/12045_6#3.bam,NA,NA
113482,Klebsiella pneumoniae,SAMEA2273534,R,NA,NA,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,R,R,S,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,PRJEB5065,ERS380929,ERX452122,ERR486290,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/ERR486/ERR486290/ERR486290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR486/ERR486290/ERR486290_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR486/ERR486290/12045_6#4.bam,NA,NA
113483,Klebsiella pneumoniae,SAMEA2273535,I,NA,NA,NA,NA,NA,S,NA,NA,NA,R,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,R,S,S,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,PRJEB5065,ERS380930,ERX452583,ERR486751,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/ERR486/ERR486751/ERR486751_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR486/ERR486751/ERR486751_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR486/ERR486751/12082_4#70.bam,NA,NA
113484,Klebsiella pneumoniae,SAMEA2273536,S,NA,NA,NA,NA,NA,I,NA,NA,NA,R,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,R,S,S,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,PRJEB5065,ERS380931,ERX452123,ERR486291,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/ERR486/ERR486291/ERR486291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR486/ERR486291/ERR486291_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR486/ERR486291/12045_6#5.bam,NA,NA
113485,Klebsiella pneumoniae,SAMEA2273537,S,NA,NA,NA,NA,NA,S,NA,NA,NA,S,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,R,S,S,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,PRJEB5065,ERS380932,ERX452124,ERR486292,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/ERR486/ERR486292/ERR486292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR486/ERR486292/ERR486292_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR486/ERR486292/12045_6#6.bam,NA,NA
113486,Klebsiella pneumoniae,SAMEA2273539,S,NA,NA,NA,NA,NA,S,NA,NA,NA,I,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,I,S,S,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,PRJEB5065,ERS380934,ERX452126,ERR486294,244366,Klebsiella variicola,ftp.sra.ebi.ac.uk/vol1/fastq/ERR486/ERR486294/ERR486294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR486/ERR486294/ERR486294_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR486/ERR486294/12045_6#9.bam,NA,NA
