Assembly,Level,WGS,BioSample,Strain,Taxonomy,NewBaps,Genome.Set,Pathogen,Serotype,Source,Year,P__MLSB_Erythromycin,P__MLSB_Tilmicosin,P__MLSB_Tylosin,P__MLSB_Lincomycin,P__Pleuro_Tiamulin,G__MLSB_ermB_M_O,G__MLSB_ermG_M_S,G__MLSB_ermT_M_S,G__MLSB_linB_M_O,G__MLSB_lnuB__M_O,G__MLSB_lnuC_M_O,G__MLSB_mefA_M_O,G__MLSB__msrD_M_O,G__Pleuro_lsaE_M_O,G__Pleuro_vgaF_C_N,P__Fluoro_Enrofloxacin,P__Fluoro_Marbofloxacin,G__Fluoro_GyrA_81_V_O,G__Fluoro_GyrA_85_V_O,G__Fluoro_ParC_79_V_O,P__Tetra_Tetracycline,P__Tetra_Doxycycline,G__Tetra_tet44_M_S,G__Tetra_tetM__M_O,G__Tetra_tetO_M_O,G__Tetra_tetW__M_O,G__Tetra_tet_40_M_O,G__Tetra_tetL_M_O,G__Tetra_tet_O.W.32.O_M_O,G__Tetra_tetM1_M_S,G__Tetra_tetM2__M_S,G__Tetra_tetM3__M_S,G__Tetra_tetO1_M_S,P__Amino_Spectinomycin,G__Amino_ant_4_Ib_M_S,G__Amino_ant_6_Ia_M_O,G__Amino_ant_6_Ib_M_S,G__Amino_ant_9_Ia_M_O,G__Amino_aph_3_IIIa_M_S,G__Amino_ant_1_M_U,G__Amino_aadE1_M_U,G__Amino_aadE2_M_U,P__TMP_Trimethoprim,G__TMP_DHFR_102_V_N,G__TMP_DHFRPromoter_S_N,G__TMP_dfrF_M_S,G__TMP_dfrK_M_S,P__Phen_Florifenicol,G__Phen_cat_M_S,P__Beta_Amoxicillin,P__Beta_Cefquinome,P__Beta_Ceftiofur,P__Beta_Penicillin,G__Beta_PBP2B.hap_V_N,G__Beta_PBP2X.hap_V_N,G__Beta_PBP2X_551_V_N,G__Beta_PBP2X_569_V_O,G__Beta_PBP2X_594.596_V_O,G__Beta_MraY.hap_V_N
GCA_013268515.1,Contig,JABLRL000000000,SAMN14933469,FX328_4,Streptococcus suis,4,Lola_Vietnam,NON-CLINICAL,2,Pig,2007,0.016,1,0.125,0.125,0.12,no,no,no,no,no,no,no,no,no,no,0.5,0.25,no,no,no,32,4,no,yes,no,no,no,no,no,yes,no,no,no,128,no,yes,no,no,no,no,no,no,0.06,no,no,no,no,0.5,no,0.015,0.015,0.06,0.5,no,no,no,no,no,no
GCA_013268715.1,Contig,JABLRB000000000,SAMN14933459,FX28_2,Streptococcus suis,4,Lola_Vietnam,NON-CLINICAL,2,Pig,2006,0.015,2,0.25,0.25,1,no,no,no,no,no,no,no,no,no,no,1,0.5,no,no,no,16,4,no,yes,no,no,no,no,no,yes,no,no,no,64,no,yes,no,no,no,no,no,no,0.125,no,no,no,no,1,no,0.015,0.03,0.25,0.031,no,no,no,no,no,no
GCA_013268675.1,Contig,JABLRE000000000,SAMN14933462,FX50_2,Streptococcus suis,4,Lola_Vietnam,NON-CLINICAL,2,Pig,2006,0.015,2,0.25,0.5,1,no,no,no,no,no,no,no,no,no,no,1,0.5,no,no,no,32,4,no,yes,no,no,no,no,no,yes,no,no,no,128,no,yes,no,no,no,no,no,no,0.06,no,no,no,no,1,no,0.015,0.03,0.25,0.031,no,no,no,no,no,no
GCA_013268625.1,Contig,JABLRF000000000,SAMN14933463,FX507_1,Streptococcus suis,4,Lola_Vietnam,NON-CLINICAL,2,Pig,2007,0.25,1024,64,128,0.5,yes,no,no,no,no,no,no,no,no,no,2,0.5,no,no,no,128,8,no,no,yes,no,no,no,no,no,no,no,no,256,no,yes,no,no,no,no,no,no,0.125,no,no,no,no,2,no,0.03,0.03,0.25,0.031,no,no,no,no,no,no
GCA_013268655.1,Contig,JABLRD000000000,SAMN14933461,FX14,Streptococcus suis,4,Lola_Vietnam,NON-CLINICAL,2,Pig,2006,0.015,4,0.25,0.25,0.5,no,no,no,no,no,no,no,no,no,no,1,0.5,no,no,no,32,4,no,yes,no,no,no,no,no,yes,no,no,no,128,no,yes,no,no,no,no,no,no,0.125,no,no,no,no,1,no,0.015,0.03,0.25,0.031,no,no,no,no,no,no
GCA_013268615.1,Contig,JABLRG000000000,SAMN14933464,FX543_1,Streptococcus suis,4,Lola_Vietnam,NON-CLINICAL,2,Pig,2007,32,1024,32,128,0.25,yes,no,no,no,no,no,no,no,no,no,2,0.5,no,no,no,64,4,no,yes,yes,no,no,no,no,no,no,no,no,128,no,yes,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.015,0.03,0.125,0.031,no,no,no,no,no,no
GCA_013268595.1,Contig,JABLRH000000000,SAMN14933465,FX419,Streptococcus suis,4,Lola_Vietnam,NON-CLINICAL,2,Pig,2007,2,8,4,128,0.03,yes,no,no,no,yes,no,no,no,yes,no,2,0.5,no,no,no,128,4,no,no,no,no,no,yes,yes,no,no,no,no,256,no,yes,no,no,no,no,no,no,0.06,no,no,no,no,2,yes,0.015,0.03,0.25,0.031,no,no,no,no,no,no
GCA_013268575.1,Contig,JABLRI000000000,SAMN14933466,FX415_6,Streptococcus suis,4,Lola_Vietnam,NON-CLINICAL,2,Pig,2007,2,16,16,128,0.03,yes,no,no,no,yes,no,no,no,yes,no,2,1,no,no,no,128,8,no,yes,no,no,no,yes,yes,no,no,no,no,256,no,yes,no,no,no,no,no,no,0.06,no,no,no,no,2,yes,0.015,0.03,0.25,0.031,no,no,no,no,no,no
GCA_013268555.1,Contig,JABLRJ000000000,SAMN14933467,FX230,Streptococcus suis,4,Lola_Vietnam,NON-CLINICAL,2,Pig,2007,0.06,2,0.125,0.25,0.5,yes,no,no,no,no,no,no,no,no,no,1,0.5,no,no,no,32,4,no,yes,yes,no,no,no,no,yes,no,no,no,128,no,no,no,no,no,no,no,no,0.06,no,no,no,no,1,no,0.015,0.015,0.125,0.031,no,no,no,no,no,no
GCA_013268535.1,Contig,JABLRK000000000,SAMN14933468,FX275,Streptococcus suis,4,Lola_Vietnam,NON-CLINICAL,2,Pig,2007,32,1024,256,128,0.5,yes,no,no,no,no,no,no,no,no,no,2,0.5,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,256,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.015,0.03,0.125,0.031,no,no,no,no,no,no
