Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Isolate ID,Collection_Date,Isolation_Source,Host_disease,Number of Bases,Number of Reads,Number of Assembled Contigs,Assembly Size (bp),N50,%GC,Fold Coverage,MLST,Capsule Locus Type,Meropenem Etest MIC (mg/L),Ertapenem Etest MIC (mg/L),Imipenem Etest MIC (mg/L)
SRR14532033,WGS,302,604465080,PRJNA395086,SAMN17600208,Pathogen.cl,224224421,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX10876908,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE171,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE171,SRP319780,CRE-171,2014-05,Non-bronchoscopic bronchoalveolar lavage,NA,604465080,4003080,223,5902594,126755,56.83,102,ST258,NA,4,>32,8
SRR14532034,WGS,302,490031844,PRJNA395086,SAMN17600207,Pathogen.cl,182840653,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX10876907,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE170,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE170,SRP319780,CRE-170,2014-04,sputum,NA,490031844,3245244,282,5560330,135548,57.16,88,ST15,KL24,8,16,2
SRR14532035,WGS,302,728637816,PRJNA395086,SAMN17600206,Pathogen.cl,293393052,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX10876906,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE168,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE168,SRP319780,CRE-168,2014-03,urine,NA,728637816,4825416,135,5889840,137534,56.84,124,ST258,KL107,4,8,8
SRR14532036,WGS,302,1765511932,PRJNA395086,SAMN17600205,Pathogen.cl,690803100,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX10876905,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE167,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE167,SRP319780,CRE-167,2014-03,urine,NA,1765511932,11692132,445,5930523,130288,56.85,298,ST258,KL107,4,8,16
SRR14532037,WGS,302,1079489034,PRJNA395086,SAMN17600204,Pathogen.cl,438173129,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX10876904,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE166,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE166,SRP319780,CRE-166,2014-02,bronchoalveolar lavage,NA,1079489034,7148934,565,5992407,129666,56.95,180,ST258,KL107,4,>32,>32
SRR14532038,WGS,302,886024210,PRJNA395086,SAMN17600203,Pathogen.cl,356621072,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX10876903,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE165,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE165,SRP319780,CRE-165,2014-01,Endotracheal secretion,NA,886024210,5867710,189,5850305,134034,57.01,151,ST258,KL107,>32,>32,>32
SRR14532039,WGS,302,792029428,PRJNA395086,SAMN17600202,Pathogen.cl,305979642,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX10876902,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE163,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE163,SRP319780,CRE-163,2013-12,urine,NA,792029428,5245228,399,5442788,128701,57.3,146,ST15,NA,2,4,4
SRR14532040,WGS,302,834055748,PRJNA395086,SAMN17600201,Pathogen.cl,330553191,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX10876901,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE161,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE161,SRP319780,CRE-161,2013-11,blood,Bacteremia,834055748,5523548,344,5940379,137925,56.99,140,ST258,KL107,4,8,8
SRR14532041,WGS,302,547460164,PRJNA395086,SAMN17600200,Pathogen.cl,208481664,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX10876900,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE160,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE160,SRP319780,CRE-160,2013-10,urine,NA,547460164,3625564,464,5962832,130143,56.97,92,ST258,KL107,8,8,16
SRR14532042,WGS,302,797408350,PRJNA395086,SAMN17600199,Pathogen.cl,299061776,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX10876899,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE157,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE157,SRP319780,CRE-157,2013-10,urine,NA,797408350,5280850,263,5796313,134034,57.08,138,ST258,KL107,2,4,1
