Assembly,Level,WGS,BioSample,Isolate,Taxonomy,BioProject,Accession,Tax ID,Year,City,Contigs,Genome Size,Longest Scaffold,N50,bases >= Q40,% GC,CDS,repeat_region,tRNA,tmRNA,AMX (P),CHL (P),CIP (P),PEF (P),SXT (P),AZM (P),CFM (P),CTR (P)
GCA_013277645.1,Contig,VXHH00000000,SAMN12740243,PGS-21,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740243,90370,2000,New Delhi,68,4938667,489024,172185,4938596,51.8,4793,2,73,1,R,S,R,R,R,S,S,S
GCA_013277635.1,Contig,VXIC00000000,SAMN12740262,PGS-40,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740262,90370,2011,Vellore,58,4726905,489024,172185,4725533,52,4552,1,72,1,S,S,R,R,S,S,S,S
GCA_013277625.1,Contig,VXHR00000000,SAMN12740252,PGS-30,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740252,90370,2009,New Delhi,58,4773966,489025,185482,4773893,52,4623,1,72,1,S,S,R,R,R,S,S,S
GCA_013277815.1,Contig,VXIP00000000,SAMN12740273,PGS-51,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740273,90370,2012,Vellore,70,4824201,489024,161362,4821490,51.9,4666,1,72,1,S,S,R,R,S,S,S,S
GCA_013280455.1,Contig,VXDV00000000,SAMN12740231,PGS-9,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740231,90370,2001,New Delhi,54,4725499,489024,185482,4725077,52,4558,1,70,1,S,S,R,R,S,S,S,S
GCA_013280425.1,Contig,VXFG00000000,SAMN12740307,PGS-85,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740307,90370,2015,New Delhi,95,4875374,489022,185480,4866891,52,4729,1,74,1,R,R,R,R,R,S,S,S
GCA_013280355.1,Contig,VXDW00000000,SAMN12740275,PGS-53,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740275,90370,2006,New Delhi,60,4749763,489025,172185,4749433,52,4590,1,73,1,R,R,R,R,R,S,S,S
GCA_013280375.1,Contig,VXDX00000000,SAMN12740276,PGS-54,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740276,90370,2011,wardha,56,4757532,489024,172256,4757096,52,4595,1,72,1,S,S,R,R,S,S,S,S
GCA_013280365.1,Contig,VXDU00000000,SAMN12740223,PGS-1,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740223,90370,1994,New Delhi,56,4711659,466515,170518,4711218,52,4546,1,73,1,S,S,S,S,S,S,S,S
GCA_013280335.1,Contig,VXDY00000000,SAMN12740277,PGS-55,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740277,90370,2010,Shimla,52,4725014,488965,172162,4724482,52,4556,1,72,1,S,S,R,R,S,S,S,S
GCA_013280305.1,Contig,VXEA00000000,SAMN12740279,PGS-57,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740279,90370,2011,wardha,61,4724003,479952,150840,4721421,52,4556,1,71,1,S,S,R,R,S,S,S,S
GCA_013280295.1,Contig,VXDZ00000000,SAMN12740278,PGS-56,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740278,90370,2010,Shimla,69,4785356,466485,179238,4783427,52,4639,1,70,1,S,S,R,R,S,S,S,S
GCA_013280265.1,Contig,VXEC00000000,SAMN12740280,PGS-58,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740280,90370,2010,Vellore,67,4785047,466487,150762,4784375,52,4647,1,72,1,S,S,R,R,S,S,S,S
GCA_013280255.1,Scaffold,VXEB00000000,SAMN12740232,PGS-10,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740232,90370,2010,Shimla,56,4724761,489024,185482,4722134,52,4559,1,67,1,S,S,R,R,S,S,S,S
GCA_013280235.1,Contig,VXED00000000,SAMN12740281,PGS-59,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740281,90370,2012,Vellore,53,4724727,489024,172169,4723976,52,4557,1,71,1,S,S,R,R,S,S,S,S
GCA_013280195.1,Contig,VXEF00000000,SAMN12740283,PGS-61,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740283,90370,2012,Vellore,52,4725157,489024,172185,4723991,52,4554,1,73,1,S,S,R,R,S,S,S,S
GCA_013280185.1,Contig,VXEE00000000,SAMN12740282,PGS-60,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740282,90370,2010,Vellore,53,4724684,489024,161362,4724123,52,4557,1,72,1,S,S,R,R,S,S,S,S
GCA_013280175.1,Contig,VXEG00000000,SAMN12740284,PGS-62,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740284,90370,2010,Vellore,54,4723934,419939,158493,4720473,52,4557,1,68,1,S,S,R,R,S,S,S,S
GCA_013280155.1,Contig,VXEH00000000,SAMN12740285,PGS-63,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740285,90370,2010,New Delhi,54,4708923,466529,172713,4708822,52,4549,1,69,1,S,S,R,R,S,S,S,S
GCA_013280135.1,Contig,VXEI00000000,SAMN12740233,PGS-11,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740233,90370,2010,Chennai,58,4726896,489024,173746,4726002,52,4556,1,72,1,S,S,R,R,S,S,S,S
GCA_013280095.1,Scaffold,VXEJ00000000,SAMN12740286,PGS-64,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740286,90370,2009,New Delhi,72,4724643,489024,149788,4718687,52,4553,1,71,1,S,S,R,R,S,S,S,S
GCA_013280075.1,Contig,VXEM00000000,SAMN12740289,PGS-67,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740289,90370,2010,Vellore,57,4727373,489024,185482,4724614,52,4558,1,73,1,S,S,R,R,S,S,S,S
GCA_013280065.1,Contig,VXEK00000000,SAMN12740287,PGS-65,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740287,90370,2000,New Delhi,53,4712194,489024,153693,4711788,52,4546,1,70,1,S,S,R,R,S,S,S,S
GCA_013280055.1,Contig,VXEL00000000,SAMN12740288,PGS-66,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740288,90370,2014,New Delhi,54,4740355,466505,172214,4739911,52,4571,1,70,1,S,S,R,R,S,S,S,S
GCA_013280025.1,Contig,VXEN00000000,SAMN12740234,PGS-12,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740234,90370,2010,Chennai,57,4725841,489012,172215,4725176,52,4562,1,71,1,S,S,R,R,S,S,S,S
GCA_013280005.1,Contig,VXEO00000000,SAMN12740290,PGS-68,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740290,90370,2010,New Delhi,55,4726520,489024,172185,4725983,52,4556,1,72,1,S,S,R,R,S,S,S,S
GCA_013279995.1,Contig,VZQW00000000,SAMN12740291,PGS-69,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740291,90370,2010,New Delhi,63,4856687,489024,185482,4856314,52,4716,1,73,1,R,R,R,R,R,S,S,S
GCA_013279965.1,Contig,VXEP00000000,SAMN12740292,PGS-70,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740292,90370,2011,New Delhi,49,4727032,489024,185482,4726610,52,4562,1,71,1,S,S,R,R,S,S,S,S
GCA_013279955.1,Scaffold,VXEQ00000000,SAMN12740293,PGS-71,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740293,90370,2010,Vellore,55,4725487,489024,161362,4725219,52,4555,1,72,1,S,S,R,R,S,S,S,S
GCA_013279905.1,Contig,VXES00000000,SAMN12740295,PGS-73,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740295,90370,2012,Vellore,53,4677750,466483,172185,4677585,52.1,4516,1,71,1,S,S,R,R,S,S,S,S
GCA_013279915.1,Contig,VXER00000000,SAMN12740294,PGS-72,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740294,90370,2012,Vellore,65,4891987,466485,153675,4891818,52,4771,1,73,1,S,S,R,R,S,S,S,S
GCA_013279885.1,Contig,VXET00000000,SAMN12740296,PGS-74,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740296,90370,2016,New Delhi,55,4724816,489024,172185,4724431,52,4554,1,72,1,S,S,R,R,S,S,S,S
GCA_013279865.1,Contig,VXEV00000000,SAMN12740297,PGS-75,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740297,90370,2016,New Delhi,116,4792197,489022,161360,4780327,51.9,4622,1,74,1,S,S,R,R,S,S,S,S
GCA_013279855.1,Contig,VXEU00000000,SAMN12740235,PGS-13,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740235,90370,2011,Orissa,56,4688033,466470,172186,4687668,52.1,4512,1,71,1,S,S,S,S,S,S,S,S
GCA_013279815.1,Contig,VXEW00000000,SAMN12740298,PGS-76,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740298,90370,2008,New Delhi,190,4802515,489022,185480,4764791,51.9,4587,1,74,1,S,S,R,R,S,S,S,S
