Isolate,Accession,Coverage,Total sequence length,Number of contigs,Contig N50,AMC,AMP,AZM,FOX,TIO,CRO,CHL,CIP,GEN,KAN,NAL,STR,FIS,TET,SMX
N33429PS,JWZR00000000,34.1,5369966,302,76563,=       8,>      32,=       4,=       4,=    0.25,<=    0.25,>      32,<=   0.015,=     0.5,<=       8,=       2,=      64,>     256,>      32,<=    0.12
N33443PS,JUDP00000000,46.1,5089115,186,108140,=       4,=       4,=       8,=       4,=     0.5,<=    0.25,>      32,<=   0.015,=       1,<=       8,=       2,=      64,>     256,>      32,<=    0.12
N33552PS,JUDO00000000,41.5,5193766,311,71052,=      32,>      32,=       4,>      32,>       8,=      16,=       8,<=   0.015,=     0.5,<=       8,=       2,<=      32,<=      16,<=       4,<=    0.12
N33574PS,JWZQ00000000,52.7,4951030,144,106428,=       4,=       2,=       4,=       8,=     0.5,<=    0.25,>      32,=    0.25,=       1,<=       8,>      32,>      64,>     256,=      32,=     0.5
N33561PS,JUDN00000000,81.3,5604162,344,62024,=       4,=       2,=       2,=       8,=     0.5,<=    0.25,=       4,=    0.12,=     0.5,<=       8,=      32,=      64,>     256,>      32,>       4
N33591PS,JWZP00000000,34.6,4927955,185,101452,=       8,>      32,=       4,=       4,=     0.5,<=    0.25,>      32,<=   0.015,=       1,<=       8,=       4,=      64,>     256,>      32,<=    0.12
N33601PS,JUDM00000000,95,4902042,82,199292,=       8,>      32,=       8,=       4,=     0.5,<=    0.25,>      32,<=   0.015,=     0.5,<=       8,=       2,<=      32,>     256,=      32,=    0.25
N33624PS,JWZO00000000,114,5142274,96,207258,=      32,>      32,=       4,>      32,=       8,=      16,>      32,>       4,=       1,<=       8,>      32,=      64,>     256,>      32,<=    0.12
N33633PS,JUDL00000000,71.9,5220860,245,79822,=      32,>      32,=       4,>      32,=       2,=       2,>      32,=    0.25,=       1,<=       8,>      32,>      64,>     256,>      32,=    0.25
N33640PS,JUDK00000000,88,4976592,83,207518,=       8,>      32,=       4,=       8,=     0.5,<=    0.25,>      32,>       4,=       1,<=       8,>      32,=      64,>     256,>      32,=    0.25
N33651PS,JUDJ00000000,39.9,4940996,147,111742,=       8,>      32,=       4,=       4,=     0.5,<=    0.25,>      32,<=   0.015,=       1,<=       8,=       4,=      64,>     256,>      32,<=    0.12
N33653PS,JWZN00000000,91.1,5123663,394,47955,=      32,>      32,=       4,>      32,>       8,=      16,>      32,=    0.03,=       1,<=       8,=       2,>      64,>     256,>      32,<=    0.12
N33687PS,JUDI00000000,58.5,5025006,106,137211,=      32,>      32,=       4,>      32,=       8,=      16,>      32,<=   0.015,=       1,<=       8,=       2,>      64,>     256,>      32,=     0.5
N33707PS,JUDH00000000,104.6,5514640,299,83360,=      32,>      32,=       4,>      32,=       4,=      16,>      32,<=   0.015,=       1,<=       8,=       1,>      64,>     256,=      32,<=    0.12
N33719PS,JUDG00000000,83.6,4989016,107,154487,=      32,>      32,=       8,>      32,>       8,=      16,>      32,<=   0.015,=       1,<=       8,=       2,>      64,>     256,>      32,<=    0.12
N33720PS,JWZM00000000,71.1,4956211,206,90563,=       8,>      32,=       4,=       2,=    0.25,<=    0.25,=       4,<=   0.015,=     0.5,<=       8,=       2,=      64,>     256,>      32,>       4
N33742PS,JUDF00000000,43.4,5216182,279,73753,=       2,=       2,=       4,=       4,=     0.5,<=    0.25,=       8,=    0.25,=       1,>      64,>      32,>      64,>     256,>      32,<=    0.12
N33804PS,JUDE00000000,62.2,5055014,122,195794,=      32,>      32,=       4,>      32,>       8,=      16,=       4,<=   0.015,=     0.5,<=       8,=       2,<=      32,<=      16,<=       4,<=    0.12
N33806PS,JUDD00000000,90.3,5052200,107,148517,=      32,>      32,=       4,>      32,>       8,=      16,=       8,<=   0.015,=       1,<=       8,=       2,=       8,<=      16,<=       4,<=    0.12
N33825PS,JWZL00000000,70.5,5276762,113,234152,=       8,>      32,=       2,=       4,=     0.5,<=    0.25,>      32,>       4,=     0.5,<=       8,>      32,>      64,>     256,>      32,>       4
N33849PS,JUDC00000000,101.6,5104369,143,117309,=       4,=       2,=       8,=       4,=     0.5,<=    0.25,>      32,=    0.25,=     0.5,<=       8,>      32,>      64,>     256,=      32,=    0.25
N33857PS,JWZK00000000,83.2,5002900,97,193789,=       4,=       2,=       4,=       4,=     0.5,<=    0.25,=      32,>       4,=       1,<=       8,>      32,<=      32,>     256,>      32,>       4
N33922PS,JUDB00000000,58.9,5048863,138,129965,=       4,=       2,=       4,=       8,=     0.5,<=    0.25,>      32,=    0.25,=     0.5,<=       8,>      32,>      64,>     256,>      32,=    0.25
N33978PS,JWZJ00000000,56.8,5302173,257,96252,=       8,>      32,=       8,=       4,=    0.25,<=    0.25,>      32,=    0.25,=       1,<=       8,=       8,<=      32,>     256,>      32,>       4
N34054PS,JUDA00000000,61.8,4941295,253,106276,=      16,>      32,=       4,=       4,=     0.5,<=    0.25,>      32,=    0.12,=     0.5,<=       8,>      32,<=      32,>     256,>      32,<=    0.12
